<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ABRD;W;09/10/23;000000;310;312.2;290.8;298.2;1617510
ABRD;W;16/10/23;000000;300;306;289;292.8;1289570
ABRD;W;23/10/23;000000;293.8;298;286;289;713070
ABRD;W;30/10/23;000000;291.6;300;286.8;293.4;764160
ABRD;W;06/11/23;000000;295.8;304.8;291.8;294.2;892230
ABRD;W;13/11/23;000000;294.4;306.6;262.8;297;2620760
ABRD;W;20/11/23;000000;297.2;304.4;286.4;288.6;678920
ABRD;W;27/11/23;000000;288.8;292;270.4;275;1064510
ABRD;W;04/12/23;000000;275;275.6;228;242.4;2078620
ABRD;W;11/12/23;000000;242.6;258;237;252.6;1125810
ABRD;W;18/12/23;000000;254;285;251.8;281.2;1523970
ABRD;W;25/12/23;000000;283;292.8;261;263.4;1432520
ABRD;W;01/01/24;000000;264.2;277;263.8;267.4;312300
ABRD;W;08/01/24;000000;268.6;279.6;267.4;274.2;608790
ABRD;W;15/01/24;000000;274.2;281.2;270;272.8;574080
ABRD;W;22/01/24;000000;274;279.6;271;274.4;373190
ABRD;W;29/01/24;000000;276.4;290;272.2;281.6;1324380
ABRD;W;05/02/24;000000;281.8;289;275.2;275.8;437860
ABRD;W;12/02/24;000000;274.8;278.4;254.2;271;692530
ABRD;W;19/02/24;000000;272;274.4;250.4;255.4;400360
ABRD;W;26/02/24;000000;261.6;273.8;259.2;260;519420
ABRD;W;04/03/24;000000;260.6;265.6;254.4;260;691640
ABRD;W;11/03/24;000000;262;263.8;251.8;255.6;326490
ABRD;W;18/03/24;000000;255.8;263;252.6;254;406520
ABRD;W;25/03/24;000000;254;258.8;251.2;254.2;239740
ABRD;W;01/04/24;000000;254.4;291.2;254.2;278.6;3482960
ABRD;W;08/04/24;000000;279.6;304.6;279.2;290.2;3924440
ABRD;W;15/04/24;000000;294.2;305;289;290.8;1397190
ABRD;W;22/04/24;000000;290.2;309.2;288;297.4;1569800
ABRD;W;29/04/24;000000;297.4;299.6;290.4;293;430970
ABRD;W;06/05/24;000000;293.8;306.6;292;299;951220
ABRD;W;13/05/24;000000;300;315;299.8;303;1319910
ABRD;W;20/05/24;000000;303.4;305;278;286;763910
ABRD;W;27/05/24;000000;287.6;287.6;259.2;262.4;811240
ABRD;W;03/06/24;000000;262.8;279.6;243.6;277;862190
ABRD;W;10/06/24;000000;279.6;288;255;274.8;578960
ABRD;W;17/06/24;000000;281;282.8;250;262.2;429810
ABRD;W;24/06/24;000000;263;275;261.4;265.8;472920
ABRD;W;01/07/24;000000;266;272.6;253;258.4;359950
ABRD;W;08/07/24;000000;259.8;260;216;226.6;1000760
ABRD;W;15/07/24;000000;218.2;230;212.2;227;880210
ABRD;W;22/07/24;000000;228.2;244.8;223.4;232.2;741420
ABRD;W;29/07/24;000000;226;232.8;222;226.4;328030
ABRD;W;05/08/24;000000;220;228;211;221.2;463840
ABRD;W;12/08/24;000000;221.6;237.2;214.6;224.8;690590
ABRD;W;19/08/24;000000;225.4;229.2;201;203.6;568160
ABRD;W;26/08/24;000000;214;216.6;198.6;200.8;394800
ABRD;W;02/09/24;000000;198;203.8;186.4;198.8;380240
ABRD;W;09/09/24;000000;201.8;210.6;197.4;203;412640
ABRD;W;16/09/24;000000;204.8;215.6;201.8;209.8;391490
ABRD;W;23/09/24;000000;211;224.6;205.2;212.2;605240
ABRD;W;30/09/24;000000;214;218;204.2;206.4;283470
ABRD;W;07/10/24;000000;207.6;207.6;201.6;202.2;174850
ABRD;W;14/10/24;000000;202.4;208.6;200.6;202;316730
ABRD;W;21/10/24;000000;203;205;190;191.6;237730
ABRD;W;28/10/24;000000;187;193;181.8;188;243490
ABRD;W;04/11/24;000000;188.8;204.2;188.2;201.2;321180
ABRD;W;11/11/24;000000;203.2;208.4;183.6;191;932040
ABRD;W;18/11/24;000000;187;193.6;180.6;183.8;417020
ABRD;W;25/11/24;000000;183;183;149.8;166.2;679570
ABRD;W;02/12/24;000000;167.8;175.4;165.2;170.8;228310
ABRD;W;09/12/24;000000;172.6;177.6;163;165;156760
ABRD;W;16/12/24;000000;164.4;172;151.2;170.4;672580
ABRD;W;23/12/24;000000;171.8;188.4;166.8;171.4;838390
ABRD;W;30/12/24;000000;174.4;181.4;172.8;176.4;156930
ABRD;W;06/01/25;000000;175.8;187;173;181.2;477290
ABRD;W;13/01/25;000000;184.8;191.2;178.8;189;558300
ABRD;W;20/01/25;000000;195;207.8;184;192.4;964290
ABRD;W;27/01/25;000000;194;194;184.6;191.2;302300
ABRD;W;03/02/25;000000;191;192.8;175.8;180;535320
ABRD;W;10/02/25;000000;182.8;196.2;180.2;187.6;387140
ABRD;W;17/02/25;000000;190.2;192;185.2;187;308380
ABRD;W;24/02/25;000000;189.4;210.6;187;197.6;1572890
ABRD;W;03/03/25;000000;197.6;235.4;191.4;209.8;6278360
ABRD;W;10/03/25;000000;213;217.8;202;206.4;658290
ABRD;W;17/03/25;000000;209;219.6;207;210;806860
ABRD;W;24/03/25;000000;210.2;211.8;195.4;195.4;341620
ABRD;W;31/03/25;000000;196.6;212.4;181;181;529360
ABRD;W;07/04/25;000000;177.4;186.8;173;182.8;371310
ABRD;W;14/04/25;000000;183.2;188.8;182.8;184;167950
ABRD;W;21/04/25;000000;184.6;189;183.2;185.4;149360
ABRD;W;28/04/25;000000;186.2;193;180;180;196850
