<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ASTR;W;09/10/23;000000;466.2;466.2;466.2;466.2;854970
ASTR;W;16/10/23;000000;540;651.7;480.1;480.75;31483323
ASTR;W;23/10/23;000000;477;522.8;467;499.1;7121631
ASTR;W;30/10/23;000000;498.5;506;475.05;496;2008869
ASTR;W;06/11/23;000000;497.95;531.9;496.2;507.05;2255368
ASTR;W;13/11/23;000000;508.9;540;490;533.45;3353333
ASTR;W;20/11/23;000000;537.3;550;501.05;508.2;2907620
ASTR;W;27/11/23;000000;507.9;508.15;470;476.4;1849164
ASTR;W;04/12/23;000000;476;480.9;450;461.9;1808140
ASTR;W;11/12/23;000000;463.5;487.4;444;474.7;1669269
ASTR;W;18/12/23;000000;476.85;523.7;476.85;516.4;2533460
ASTR;W;25/12/23;000000;517.4;529.55;493.05;501.5;1193321
ASTR;W;01/01/24;000000;506.25;518.95;502.25;514.6;417700
ASTR;W;08/01/24;000000;514.5;544;510.65;524.9;2426308
ASTR;W;15/01/24;000000;529.35;531.8;516.55;517.85;816835
ASTR;W;22/01/24;000000;520.05;568.7;510.75;567.95;4235438
ASTR;W;29/01/24;000000;570;581.7;544.15;551.6;4204798
ASTR;W;05/02/24;000000;551.75;563.65;533;541.05;1522761
ASTR;W;12/02/24;000000;543.4;587.7;541.4;559.4;3872322
ASTR;W;19/02/24;000000;561.1;565;528.5;545;1079652
ASTR;W;26/02/24;000000;547;578.85;547;572.85;1609674
ASTR;W;04/03/24;000000;574.85;584.6;557;573.5;1458994
ASTR;W;11/03/24;000000;575.4;579.4;550.75;561.3;935473
ASTR;W;18/03/24;000000;564.35;618.75;553.5;596.4;4789591
ASTR;W;25/03/24;000000;598.6;722.95;596.4;694.9;15842192
ASTR;W;01/04/24;000000;700.2;716.3;645.05;663.5;6741740
ASTR;W;08/04/24;000000;663;671.85;605;622.5;7209150
ASTR;W;15/04/24;000000;617.9;621.8;572;610.25;24387362
ASTR;W;22/04/24;000000;614.7;639.5;608.2;617.95;10948908
ASTR;W;29/04/24;000000;618.15;631.95;601;621;3368342
ASTR;W;06/05/24;000000;621;624.75;609.25;622.4;1700663
ASTR;W;13/05/24;000000;626.7;655;625;632.15;6463966
ASTR;W;20/05/24;000000;633.1;634.1;610.15;612;4472198
ASTR;W;27/05/24;000000;610.6;612;566.45;573.15;4777315
ASTR;W;03/06/24;000000;573.85;616.2;550;605.7;4249164
ASTR;W;10/06/24;000000;610.25;631.25;559;627.75;3964637
ASTR;W;17/06/24;000000;628.6;635.8;580.05;594;3557356
ASTR;W;24/06/24;000000;598.5;600.25;581;582.2;1512425
ASTR;W;01/07/24;000000;582.3;591.7;550.6;554.8;2370862
ASTR;W;08/07/24;000000;554.85;555.5;507.85;540.55;3797017
ASTR;W;15/07/24;000000;543;576.95;516;565.95;2343521
ASTR;W;22/07/24;000000;569.1;577.95;531.55;535.4;2183763
ASTR;W;29/07/24;000000;536.9;573.4;515.6;549.65;3167994
ASTR;W;05/08/24;000000;546;579;528.55;555.75;3986132
ASTR;W;12/08/24;000000;554.95;563.95;542.1;547.1;1196771
ASTR;W;19/08/24;000000;544.9;546.4;516;525.5;1679194
ASTR;W;26/08/24;000000;537;560;525.5;531.4;2645898
ASTR;W;02/09/24;000000;529.2;550;500.45;538.05;2905919
ASTR;W;09/09/24;000000;539.95;555.35;518.4;538.1;1686128
ASTR;W;16/09/24;000000;538.45;584.9;538.45;576.45;3453216
ASTR;W;23/09/24;000000;580;589.4;547.2;567.05;2549262
ASTR;W;30/09/24;000000;567.8;572.4;533.45;542;2598900
ASTR;W;07/10/24;000000;542;544.05;522.5;532.65;1860038
ASTR;W;14/10/24;000000;546.95;552.15;532.5;537.5;2395795
ASTR;W;21/10/24;000000;537.35;549;517.3;519.85;1671447
ASTR;W;28/10/24;000000;515.25;515.3;494.05;498.05;2143630
ASTR;W;04/11/24;000000;498.35;511.05;483;499.2;2088127
ASTR;W;11/11/24;000000;504.1;517.8;491.25;508;2111622
ASTR;W;18/11/24;000000;503.6;525;490.5;494;4376955
ASTR;W;25/11/24;000000;495.05;497;416.2;448.4;4233754
ASTR;W;02/12/24;000000;451;464.5;415.2;439.7;3071907
ASTR;W;09/12/24;000000;440.15;444.75;411.05;411.25;1774620
ASTR;W;16/12/24;000000;410.9;478.2;400;472;3200905
ASTR;W;23/12/24;000000;481.2;488;446.3;460.85;3596886
ASTR;W;30/12/24;000000;465.25;477.4;462.5;468.6;756910
ASTR;W;06/01/25;000000;468.6;494;464.75;481;1364743
ASTR;W;13/01/25;000000;485.25;507.95;480.3;507.85;2124472
ASTR;W;20/01/25;000000;509.35;519.6;488.1;514.3;2131254
ASTR;W;27/01/25;000000;515.6;537.75;491.4;525.3;4491171
ASTR;W;03/02/25;000000;525.4;526.5;506.05;514.35;1596943
ASTR;W;10/02/25;000000;515.3;528.45;463.25;472;8687607
ASTR;W;17/02/25;000000;472.55;476;446.05;450;6599542
ASTR;W;24/02/25;000000;451.3;462.75;435.15;443.2;8810467
ASTR;W;03/03/25;000000;443.2;454.8;428.75;442.8;4631867
ASTR;W;10/03/25;000000;444.35;452.45;435;439.6;2301096
ASTR;W;17/03/25;000000;440.3;445.55;431.15;432.7;2634517
ASTR;W;24/03/25;000000;433.75;433.9;403;404.15;2559923
ASTR;W;31/03/25;000000;408.4;438;403.55;421.25;7295850
