<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBMXA;D;10/10/23;000000;18.0569;18.1009;17.9915;18.0722;2182672560.259719
SBMXA;D;11/10/23;000000;18.1084;18.2313;18.073;18.2181;3640712765.453802
SBMXA;D;12/10/23;000000;17.8428;18.1259;17.8428;18.1068;3453974044.709713
SBMXA;D;13/10/23;000000;18.1534;18.2232;18.1165;18.2072;2755771847.066347
SBMXA;D;16/10/23;000000;18.2722;18.4528;18.2722;18.4486;3567921537.625711
SBMXA;D;17/10/23;000000;18.4727;18.5472;18.411;18.517;3891113600.858283
SBMXA;D;18/10/23;000000;18.5535;18.6158;18.4058;18.5387;4362111219.761303
SBMXA;D;19/10/23;000000;18.5034;18.6018;18.4418;18.5725;3080625959.652536
SBMXA;D;20/10/23;000000;18.59;18.6524;18.4657;18.6512;3739681895.0901
SBMXA;D;23/10/23;000000;18.666;18.7319;18.5328;18.6187;3614092441.438309
SBMXA;D;24/10/23;000000;18.5694;18.6343;18.4687;18.6256;3104037097.915587
SBMXA;D;25/10/23;000000;18.624;18.6518;18.523;18.6265;3167747410.095061
SBMXA;D;26/10/23;000000;18.6799;18.7297;18.3801;18.391;4191381464.736853
SBMXA;D;27/10/23;000000;18.377;18.4908;18.1767;18.3913;3905148815.081587
SBMXA;D;30/10/23;000000;18.4349;18.5146;18.3662;18.4069;2478564741.079002
SBMXA;D;31/10/23;000000;18.3702;18.404;18.1197;18.258;2786501265.100628
SBMXA;D;01/11/23;000000;18.2145;18.3352;18.2037;18.2883;1862569307.772291
SBMXA;D;02/11/23;000000;18.3601;18.4122;18.2346;18.2346;2422534918.17916
SBMXA;D;03/11/23;000000;18.2955;18.3235;18.1494;18.299;2481662679.014628
SBMXA;D;06/11/23;000000;18.3049;18.4591;18.2914;18.4501;1873042781.736254
SBMXA;D;07/11/23;000000;18.479;18.5146;18.4123;18.5134;2358942499.260209
SBMXA;D;08/11/23;000000;18.4728;18.5753;18.4408;18.5076;2788829041.684227
SBMXA;D;09/11/23;000000;18.485;18.5043;18.3771;18.4754;2230187518.058262
SBMXA;D;10/11/23;000000;18.4486;18.5109;18.4146;18.4869;2454375087.383306
SBMXA;D;13/11/23;000000;18.4809;18.542;18.4498;18.5217;2480704344.790345
SBMXA;D;14/11/23;000000;18.4378;18.4378;18.2032;18.3163;3276191511.978028
SBMXA;D;15/11/23;000000;18.2174;18.3659;18.1491;18.3311;2765898398.054415
SBMXA;D;16/11/23;000000;18.287;18.3336;18.1603;18.182;2020539042.583828
SBMXA;D;17/11/23;000000;18.0831;18.2897;17.9719;18.2797;2625483867.058142
SBMXA;D;20/11/23;000000;18.2695;18.3383;18.2129;18.2848;2102619024.189635
SBMXA;D;21/11/23;000000;18.2248;18.3505;18.207;18.3476;2322973595.991147
SBMXA;D;22/11/23;000000;18.3747;18.465;18.3594;18.4163;2925992102.154478
SBMXA;D;23/11/23;000000;18.4324;18.4627;18.3479;18.3609;2069908829.370343
SBMXA;D;24/11/23;000000;18.3812;18.4215;18.2618;18.3415;2560884491.424325
SBMXA;D;27/11/23;000000;18.3551;18.3777;18.1168;18.1885;3869204957.159054
SBMXA;D;28/11/23;000000;18.1792;18.2243;17.9989;18.2182;2976901756.540013
SBMXA;D;29/11/23;000000;18.2158;18.2405;18.0873;18.0873;2451337197.370813
SBMXA;D;30/11/23;000000;18.1048;18.1048;17.9342;18.0426;2758377462.012996
SBMXA;D;01/12/23;000000;17.9992;18.0379;17.89;17.9218;2208329951.796795
SBMXA;D;04/12/23;000000;17.7952;17.8321;17.6597;17.7629;2706164736.778163
SBMXA;D;05/12/23;000000;17.6946;17.8765;17.6259;17.8467;2350597355.003785
SBMXA;D;06/12/23;000000;17.9203;17.9445;17.5534;17.5619;3304325337.794574
SBMXA;D;07/12/23;000000;17.4951;17.5869;17.3453;17.5277;3421968450.700815
SBMXA;D;08/12/23;000000;17.5601;17.6794;17.4927;17.5634;1937984044.756486
SBMXA;D;11/12/23;000000;17.5657;17.5739;17.2545;17.2558;3960624533.214228
SBMXA;D;12/12/23;000000;17.2307;17.3717;17.0666;17.2193;3574795970.187256
SBMXA;D;13/12/23;000000;17.172;17.3533;17.1207;17.2889;1921202419.834036
SBMXA;D;14/12/23;000000;17.3687;17.4295;17.1389;17.155;2172429577.235308
SBMXA;D;15/12/23;000000;17.2312;17.4954;17.1129;17.4769;4086842690.782683
SBMXA;D;18/12/23;000000;17.5844;17.796;17.5664;17.7181;3446921173.587017
SBMXA;D;19/12/23;000000;17.7553;17.8026;17.6621;17.7598;2829003209.451862
SBMXA;D;20/12/23;000000;17.8083;17.9292;17.7899;17.8787;2947361222.020092
SBMXA;D;21/12/23;000000;17.8145;17.8222;17.5715;17.7109;3658025137.786076
SBMXA;D;22/12/23;000000;17.7391;17.8763;17.723;17.818;3314029535.062222
SBMXA;D;25/12/23;000000;17.8333;17.9121;17.7914;17.8604;3632652146.557517
SBMXA;D;26/12/23;000000;17.8762;17.928;17.8271;17.9058;2544346833.056958
SBMXA;D;27/12/23;000000;17.9439;18.0057;17.9194;17.9203;2748926253.753707
SBMXA;D;28/12/23;000000;17.9052;17.9461;17.8318;17.9461;2678098798.936733
SBMXA;D;29/12/23;000000;17.892;17.9464;17.8561;17.9287;1798122014.138077
SBMXA;D;03/01/24;000000;17.9285;18.1223;17.9285;18.1082;1408066670.37081
SBMXA;D;04/01/24;000000;18.1627;18.1873;18.1297;18.1417;1224086389.345032
SBMXA;D;05/01/24;000000;18.1673;18.1854;18.1022;18.1489;1095173520.389973
SBMXA;D;08/01/24;000000;18.1717;18.2781;18.1662;18.277;1896215959.341345
SBMXA;D;09/01/24;000000;18.326;18.3403;18.2513;18.3223;2608349664.71811
SBMXA;D;10/01/24;000000;18.3353;18.4293;18.3282;18.375;2277817617.090013
SBMXA;D;11/01/24;000000;18.3933;18.5225;18.3357;18.5225;3992332445.948281
