<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;D;09/10/23;000000;3166.21;3185.86;3164.63;3174.02;17762490.806643
IMOEX;D;10/10/23;000000;3175.08;3182.08;3162.61;3177.03;12464529.162942
IMOEX;D;11/10/23;000000;3174.99;3196.44;3168.29;3194.12;20906845.906069
IMOEX;D;12/10/23;000000;3130.04;3178.5;3122.58;3174.66;19800839.509821
IMOEX;D;13/10/23;000000;3182.47;3195.23;3176.17;3192.33;15745842.687195
IMOEX;D;16/10/23;000000;3204.81;3235.66;3202.94;3234.78;20357799.31797
IMOEX;D;17/10/23;000000;3239.37;3252.55;3228.11;3247.15;22242063.640875
IMOEX;D;18/10/23;000000;3252.31;3262.54;3225.44;3249.21;24923733.389795
IMOEX;D;19/10/23;000000;3245.26;3260.45;3232.16;3255.16;17597619.828428
IMOEX;D;20/10/23;000000;3257.85;3269.71;3236.31;3269.27;21347784.752493
IMOEX;D;23/10/23;000000;3271.76;3283.8;3248.39;3263.68;20479710.246389
IMOEX;D;24/10/23;000000;3256.29;3266.59;3237.08;3265.01;17730025.512704
IMOEX;D;25/10/23;000000;3265.18;3269.76;3243.25;3265.28;18113237.504563
IMOEX;D;26/10/23;000000;3272.71;3283.49;3221.79;3223.89;23931407.037963
IMOEX;D;27/10/23;000000;3219.49;3241.55;3185.84;3224.18;22357166.630168
IMOEX;D;30/10/23;000000;3232.82;3246;3219.7;3227.07;14230394.186222
IMOEX;D;31/10/23;000000;3221.08;3226.88;3176.53;3200.97;15925953.077699
IMOEX;D;01/11/23;000000;3192.96;3214.83;3191.34;3206.52;10651276.629675
IMOEX;D;02/11/23;000000;3216.92;3228.46;3197.22;3197.22;13882345.795422
IMOEX;D;03/11/23;000000;3207.04;3212.81;3182.17;3208.63;14152032.774468
IMOEX;D;06/11/23;000000;3207.47;3237.09;3207.1;3235.11;10753020.311804
IMOEX;D;07/11/23;000000;3239.98;3246.65;3228.46;3246.34;13472029.870093
IMOEX;D;08/11/23;000000;3238.81;3257.32;3233.11;3245.43;15893822.105216
IMOEX;D;09/11/23;000000;3241.5;3245.11;3222.34;3239.92;12735536.512178
IMOEX;D;10/11/23;000000;3236.03;3246.31;3229.1;3242.06;14014297.005275
IMOEX;D;13/11/23;000000;3241.31;3251.74;3235.06;3248.27;14218386.503835
IMOEX;D;14/11/23;000000;3236.48;3236.48;3192.32;3212.39;18832275.483966
IMOEX;D;15/11/23;000000;3195.43;3221.22;3182.78;3215.11;16043095.954669
IMOEX;D;16/11/23;000000;3209.33;3215.93;3184.97;3189.08;11466707.532022
IMOEX;D;17/11/23;000000;3172.78;3208.17;3151.95;3206.34;14817618.347103
IMOEX;D;20/11/23;000000;3205.73;3216.73;3194.4;3207.36;11958829.885873
IMOEX;D;21/11/23;000000;3198.73;3219.11;3193.46;3218.48;13199273.649121
IMOEX;D;22/11/23;000000;3221.9;3239.17;3220.37;3230.65;16398547.458951
IMOEX;D;23/11/23;000000;3233.09;3238.81;3218.72;3221.05;11551411.663207
IMOEX;D;24/11/23;000000;3223.75;3231.77;3203.62;3217.76;14376637.172342
IMOEX;D;27/11/23;000000;3220.25;3224.61;3178.2;3191.05;21233978.209168
IMOEX;D;28/11/23;000000;3189.16;3197.61;3157.55;3196.36;16575815.173671
IMOEX;D;29/11/23;000000;3196.75;3200.33;3173.37;3173.52;14133065.76665
