<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MCFTR;D;10/10/23;000000;7039.95;7039.95;7039.95;7039.95;0
MCFTR;D;11/10/23;000000;7097.09;7097.09;7097.09;7097.09;0
MCFTR;D;12/10/23;000000;7053.85;7053.85;7053.85;7053.85;0
MCFTR;D;13/10/23;000000;7093.11;7093.11;7093.11;7093.11;0
MCFTR;D;16/10/23;000000;7187.43;7187.43;7187.43;7187.43;0
MCFTR;D;17/10/23;000000;7214.92;7214.92;7214.92;7214.92;0
MCFTR;D;18/10/23;000000;7224.3;7224.3;7224.3;7224.3;0
MCFTR;D;19/10/23;000000;7237.53;7237.53;7237.53;7237.53;0
MCFTR;D;20/10/23;000000;7268.9;7268.9;7268.9;7268.9;0
MCFTR;D;23/10/23;000000;7256.47;7256.47;7256.47;7256.47;0
MCFTR;D;24/10/23;000000;7259.43;7259.43;7259.43;7259.43;0
MCFTR;D;25/10/23;000000;7260.03;7260.03;7260.03;7260.03;0
MCFTR;D;26/10/23;000000;7168;7168;7168;7168;0
MCFTR;D;27/10/23;000000;7168.64;7168.64;7168.64;7168.64;0
MCFTR;D;30/10/23;000000;7175.07;7175.07;7175.07;7175.07;0
MCFTR;D;31/10/23;000000;7117.04;7117.04;7117.04;7117.04;0
MCFTR;D;01/11/23;000000;7129.38;7129.38;7129.38;7129.38;0
MCFTR;D;02/11/23;000000;7108.7;7108.7;7108.7;7108.7;0
MCFTR;D;03/11/23;000000;7134.07;7134.07;7134.07;7134.07;0
MCFTR;D;06/11/23;000000;7192.95;7192.95;7192.95;7192.95;0
MCFTR;D;07/11/23;000000;7217.92;7217.92;7217.92;7217.92;0
MCFTR;D;08/11/23;000000;7215.9;7215.9;7215.9;7215.9;0
MCFTR;D;09/11/23;000000;7203.65;7203.65;7203.65;7203.65;0
MCFTR;D;10/11/23;000000;7208.41;7208.41;7208.41;7208.41;0
MCFTR;D;13/11/23;000000;7222.22;7222.22;7222.22;7222.22;0
MCFTR;D;14/11/23;000000;7142.44;7142.44;7142.44;7142.44;0
MCFTR;D;15/11/23;000000;7148.49;7148.49;7148.49;7148.49;0
MCFTR;D;16/11/23;000000;7090.61;7090.61;7090.61;7090.61;0
MCFTR;D;17/11/23;000000;7128.99;7128.99;7128.99;7128.99;0
MCFTR;D;20/11/23;000000;7131.26;7131.26;7131.26;7131.26;0
MCFTR;D;21/11/23;000000;7155.98;7155.98;7155.98;7155.98;0
MCFTR;D;22/11/23;000000;7183.04;7183.04;7183.04;7183.04;0
MCFTR;D;23/11/23;000000;7161.7;7161.7;7161.7;7161.7;0
MCFTR;D;24/11/23;000000;7154.38;7154.38;7154.38;7154.38;0
MCFTR;D;27/11/23;000000;7094.99;7094.99;7094.99;7094.99;0
MCFTR;D;28/11/23;000000;7106.8;7106.8;7106.8;7106.8;0
MCFTR;D;29/11/23;000000;7056.02;7056.02;7056.02;7056.02;0
MCFTR;D;30/11/23;000000;7038.83;7038.83;7038.83;7038.83;0
MCFTR;D;01/12/23;000000;6992.06;6992.06;6992.06;6992.06;0
MCFTR;D;04/12/23;000000;6930.02;6930.02;6930.02;6930.02;0
MCFTR;D;05/12/23;000000;6963.22;6963.22;6963.22;6963.22;0
MCFTR;D;06/12/23;000000;6852.34;6852.34;6852.34;6852.34;0
MCFTR;D;07/12/23;000000;6839.28;6839.28;6839.28;6839.28;0
MCFTR;D;08/12/23;000000;6853.43;6853.43;6853.43;6853.43;0
MCFTR;D;11/12/23;000000;6733.67;6733.67;6733.67;6733.67;0
MCFTR;D;12/12/23;000000;6719.7;6719.7;6719.7;6719.7;0
MCFTR;D;13/12/23;000000;6747.14;6747.14;6747.14;6747.14;0
MCFTR;D;14/12/23;000000;6695.12;6695.12;6695.12;6695.12;0
MCFTR;D;15/12/23;000000;6820.97;6820.97;6820.97;6820.97;0
MCFTR;D;18/12/23;000000;6916.23;6916.23;6916.23;6916.23;0
MCFTR;D;19/12/23;000000;6932.82;6932.82;6932.82;6932.82;0
MCFTR;D;20/12/23;000000;6980.08;6980.08;6980.08;6980.08;0
MCFTR;D;21/12/23;000000;6910.18;6910.18;6910.18;6910.18;0
MCFTR;D;22/12/23;000000;6952.92;6952.92;6952.92;6952.92;0
MCFTR;D;25/12/23;000000;6969.89;6969.89;6969.89;6969.89;0
MCFTR;D;26/12/23;000000;6987.77;6987.77;6987.77;6987.77;0
MCFTR;D;27/12/23;000000;6994.02;6994.02;6994.02;6994.02;0
MCFTR;D;28/12/23;000000;7004.18;7004.18;7004.18;7004.18;0
MCFTR;D;29/12/23;000000;6997.68;6997.68;6997.68;6997.68;0
MCFTR;D;03/01/24;000000;7067.95;7067.95;7067.95;7067.95;0
