<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;09/10/23;000000;263.02;265.97;263;265.25;45189600
SBER;D;10/10/23;000000;264.9;265.18;257;263;33744090
SBER;D;11/10/23;000000;263.18;263.99;259.5;260.21;29440350
SBER;D;12/10/23;000000;260.03;264.5;259.66;264.5;27421510
SBER;D;13/10/23;000000;264.75;265.04;262.7;263.51;18351530
SBER;D;16/10/23;000000;263.99;269.2;263.51;268.15;53677710
SBER;D;17/10/23;000000;268.25;271.97;266.91;270;51107660
SBER;D;18/10/23;000000;270;271.19;266.11;267.9;40249640
SBER;D;19/10/23;000000;267.14;271;266.28;268.65;33466930
SBER;D;20/10/23;000000;268.5;270.3;266.5;269.8;32851790
SBER;D;23/10/23;000000;270.47;274.1;269.65;270.1;62301840
SBER;D;24/10/23;000000;270.03;272.06;268.62;271.27;27975250
SBER;D;25/10/23;000000;271.5;274.96;270.53;273.73;41764060
SBER;D;26/10/23;000000;274.1;276;269.12;269.9;59466100
SBER;D;27/10/23;000000;270;271.98;266.8;269.7;49735190
SBER;D;30/10/23;000000;269.9;271.55;268.6;269.89;33261680
SBER;D;31/10/23;000000;269.91;270.5;266.87;268.35;26117980
SBER;D;01/11/23;000000;268.29;270.3;267.6;269.68;20587810
SBER;D;02/11/23;000000;270.01;270.98;268.5;269.06;25499750
SBER;D;03/11/23;000000;269.07;269.78;267.2;268.54;20968810
SBER;D;06/11/23;000000;269;273.87;268.62;273.42;29231770
SBER;D;07/11/23;000000;273.08;274.78;272.2;273.31;32183320
SBER;D;08/11/23;000000;273.53;278.35;273.28;278.15;58000060
SBER;D;09/11/23;000000;278.6;278.85;276.02;276.65;28258660
SBER;D;10/11/23;000000;276.99;281.3;276.6;280.19;44600220
SBER;D;13/11/23;000000;280.4;284.8;280.32;283.97;45780320
SBER;D;14/11/23;000000;283.66;283.88;280.54;280.87;40350240
SBER;D;15/11/23;000000;280.87;283.93;278.51;282.89;41784490
SBER;D;16/11/23;000000;282.4;283.69;279.56;279.7;24654700
SBER;D;17/11/23;000000;279.69;282.5;278.66;281.6;31282610
SBER;D;20/11/23;000000;281.8;284.2;281.61;282.91;25219810
SBER;D;21/11/23;000000;282.29;283.82;281.66;282.79;19027720
SBER;D;22/11/23;000000;283.14;286.67;282.85;286.16;47267490
SBER;D;23/11/23;000000;286.16;287.77;285.04;286.19;27692900
SBER;D;24/11/23;000000;286.48;287.5;285.11;286.85;26019540
SBER;D;27/11/23;000000;287.41;289;278.88;282.33;79026910
SBER;D;28/11/23;000000;282.4;282.51;277.32;279.91;45475110
SBER;D;29/11/23;000000;279.48;280.56;276.2;276.8;29776060
SBER;D;30/11/23;000000;276.71;278.65;272.75;277.5;55837620
SBER;D;01/12/23;000000;277.04;277.98;273.55;273.97;31604310
SBER;D;04/12/23;000000;273.59;274.95;270.52;270.96;37456310
SBER;D;05/12/23;000000;271.97;279.65;270.54;279.62;46800410
SBER;D;06/12/23;000000;279.92;280.79;266.83;267.58;99849690
SBER;D;07/12/23;000000;267.74;270.44;263.06;265.12;63509590
SBER;D;08/12/23;000000;266.01;268.23;263.72;265.16;35322130
SBER;D;11/12/23;000000;265.17;266.47;254.81;256.89;77590450
SBER;D;12/12/23;000000;256.79;262.88;255.05;257.6;63807080
SBER;D;13/12/23;000000;257.58;261.39;256.5;260.45;29760860
SBER;D;14/12/23;000000;261.4;262.75;255.58;256.64;40477500
SBER;D;15/12/23;000000;256.61;268.91;256.61;268.21;84643800
SBER;D;18/12/23;000000;268.9;270.44;266.54;268.4;51515190
SBER;D;19/12/23;000000;268.35;269.71;265;267.35;38229660
SBER;D;20/12/23;000000;267.52;269.1;266.2;266.61;30929220
SBER;D;21/12/23;000000;266.55;266.87;263.5;265.19;33214370
SBER;D;22/12/23;000000;266.07;271.9;265.37;271.3;58687300
SBER;D;25/12/23;000000;271.75;273.85;270.05;271.08;37827910
SBER;D;26/12/23;000000;271;272.89;270;271.9;22575240
SBER;D;27/12/23;000000;271.9;272.59;270.85;271.08;17191450
SBER;D;28/12/23;000000;270.99;272.48;268.52;271.74;29416450
SBER;D;29/12/23;000000;272.08;272.59;270.55;270.82;20792860
SBER;D;03/01/24;000000;271.75;274.7;271;274.56;20408560
SBER;D;04/01/24;000000;274.68;275.48;273.7;274.12;11679550
SBER;D;05/01/24;000000;274.3;274.69;272.8;273.62;9622380
SBER;D;08/01/24;000000;273.59;277;273.53;276.76;21427450
SBER;D;09/01/24;000000;276.94;278;274.71;275.28;20263120
SBER;D;10/01/24;000000;275.3;276.16;273.64;274.49;20618950
SBER;D;11/01/24;000000;274.62;275.97;274.01;275.71;19520470
SBER;D;12/01/24;000000;275.9;276.96;274.77;275.84;17608350
SBER;D;15/01/24;000000;276.3;277.73;275.21;275.96;21283290
SBER;D;16/01/24;000000;276.24;276.45;274.1;276.01;16084140
SBER;D;17/01/24;000000;276.02;279.17;275.75;278;34137100
SBER;D;18/01/24;000000;278.22;278.87;276.76;277.07;17671830
SBER;D;19/01/24;000000;277.39;277.47;273.55;274.86;28038880
SBER;D;22/01/24;000000;274.89;275.9;273.85;274.93;15050630
SBER;D;23/01/24;000000;274.69;277.26;274.31;275.9;20017040
SBER;D;24/01/24;000000;275.94;276.44;273.7;273.77;20187430
