<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CHMF;D;09/10/23;000000;1366.8;1380;1361;1368.4;535831
CHMF;D;10/10/23;000000;1368;1375;1361.8;1374.4;373631
CHMF;D;11/10/23;000000;1375;1415.6;1355;1358;1756074
CHMF;D;12/10/23;000000;1358.2;1373.4;1352;1368.8;931038
CHMF;D;13/10/23;000000;1370.4;1380.8;1367.2;1378.2;545365
CHMF;D;16/10/23;000000;1379.8;1405;1378.8;1403.8;796017
CHMF;D;17/10/23;000000;1405.2;1437.8;1398;1422.2;988359
CHMF;D;18/10/23;000000;1425;1432.8;1393.4;1408.6;834561
CHMF;D;19/10/23;000000;1408;1408;1387.6;1396;581782
CHMF;D;20/10/23;000000;1396;1419;1368;1409.8;1025318
CHMF;D;23/10/23;000000;1410;1411.6;1391.2;1399.8;670411
CHMF;D;24/10/23;000000;1400.4;1406;1389.8;1395.2;395521
CHMF;D;25/10/23;000000;1395.2;1397.4;1380;1387.4;440232
CHMF;D;26/10/23;000000;1385;1393.2;1368;1369.6;471533
CHMF;D;27/10/23;000000;1367;1378.4;1340.4;1362.8;574172
CHMF;D;30/10/23;000000;1363.2;1384.4;1354.2;1372;481753
CHMF;D;31/10/23;000000;1368.4;1374;1347.6;1354.8;469290
CHMF;D;01/11/23;000000;1356.6;1364;1343;1351;288165
CHMF;D;02/11/23;000000;1350.2;1369.6;1348.6;1359.8;441441
CHMF;D;03/11/23;000000;1359.6;1379.4;1341;1372;506990
CHMF;D;06/11/23;000000;1374;1399;1373;1386.2;542057
CHMF;D;07/11/23;000000;1385.6;1400;1369;1391.6;730635
CHMF;D;08/11/23;000000;1391;1397.4;1370;1375.2;662056
CHMF;D;09/11/23;000000;1377.4;1377.4;1354;1359.2;817650
CHMF;D;10/11/23;000000;1359.6;1372.8;1349;1366.8;750299
CHMF;D;13/11/23;000000;1364;1388.4;1352.6;1378.8;488555
CHMF;D;14/11/23;000000;1380;1380;1350.4;1356.8;611144
CHMF;D;15/11/23;000000;1354.6;1363.8;1345;1360;516119
CHMF;D;16/11/23;000000;1358.8;1375.8;1344.6;1350.8;560819
CHMF;D;17/11/23;000000;1348.4;1358.8;1313.6;1351;677743
CHMF;D;20/11/23;000000;1351.2;1356;1330.2;1332.4;642412
CHMF;D;21/11/23;000000;1330.4;1333.2;1315;1327;953587
CHMF;D;22/11/23;000000;1326;1351.8;1325.4;1349.8;682715
CHMF;D;23/11/23;000000;1352.8;1354.8;1323.2;1330.4;604385
CHMF;D;24/11/23;000000;1331;1334.2;1308.6;1317.2;738552
CHMF;D;27/11/23;000000;1317;1317;1284.2;1294.2;1028372
CHMF;D;28/11/23;000000;1292.8;1315.6;1286;1304.2;740464
CHMF;D;29/11/23;000000;1302.2;1309.4;1285.2;1297.2;484425
CHMF;D;30/11/23;000000;1297.2;1299.6;1266;1268.2;789659
CHMF;D;01/12/23;000000;1265;1278.6;1254;1257;754256
CHMF;D;04/12/23;000000;1257;1281.6;1241.8;1274;804156
CHMF;D;05/12/23;000000;1275;1297;1263.6;1295.2;770849
CHMF;D;06/12/23;000000;1297.8;1303.6;1250;1252;878170
CHMF;D;07/12/23;000000;1252.2;1265;1228.2;1245;915377
CHMF;D;08/12/23;000000;1248.6;1274.8;1244.2;1270.4;715431
CHMF;D;11/12/23;000000;1269;1289.4;1246.2;1251;809633
CHMF;D;12/12/23;000000;1250.8;1261.2;1235.2;1240.6;789376
CHMF;D;13/12/23;000000;1240.2;1252.8;1234;1245.4;555132
CHMF;D;14/12/23;000000;1247.8;1250.8;1216.6;1216.6;550608
CHMF;D;15/12/23;000000;1216.4;1273.6;1216.4;1273.6;729976
CHMF;D;18/12/23;000000;1275.2;1309;1273.6;1283.2;965978
CHMF;D;19/12/23;000000;1282.4;1313;1273.6;1307.2;1103321
CHMF;D;20/12/23;000000;1310.8;1336.6;1310;1330;963391
CHMF;D;21/12/23;000000;1327.6;1349.8;1319.6;1336.6;959041
CHMF;D;22/12/23;000000;1336.6;1354.8;1327;1333.8;798210
CHMF;D;25/12/23;000000;1333.8;1345.8;1333;1341.2;513803
CHMF;D;26/12/23;000000;1343.6;1377.2;1338;1375.2;767559
CHMF;D;27/12/23;000000;1376;1389.4;1375;1382;646107
CHMF;D;28/12/23;000000;1382.6;1414;1375.2;1408;891068
CHMF;D;29/12/23;000000;1408.4;1409.8;1392;1407;558087
CHMF;D;03/01/24;000000;1407;1431.6;1403.4;1427;456678
CHMF;D;04/01/24;000000;1426.8;1435;1412.2;1419.4;310630
CHMF;D;05/01/24;000000;1418.8;1444.6;1410.2;1442.4;505684
CHMF;D;08/01/24;000000;1444.4;1467.8;1441;1467;756870
CHMF;D;09/01/24;000000;1468.6;1469;1432;1434.6;1006255
CHMF;D;10/01/24;000000;1433.8;1448.2;1417.2;1443.2;1081272
CHMF;D;11/01/24;000000;1444.4;1555;1444.2;1541.2;5633617
CHMF;D;12/01/24;000000;1545.4;1573.8;1527.4;1561.4;2285459
CHMF;D;15/01/24;000000;1564.8;1575;1536.4;1548.2;1366542
CHMF;D;16/01/24;000000;1547;1554;1529;1550.2;809396
CHMF;D;17/01/24;000000;1550.2;1564.8;1546.4;1560.2;621843
CHMF;D;18/01/24;000000;1563.2;1568.8;1537.6;1541.8;1009363
CHMF;D;19/01/24;000000;1540;1583.8;1525;1582;1742007
CHMF;D;22/01/24;000000;1584.2;1619.6;1577;1619.4;1720953
CHMF;D;23/01/24;000000;1620.2;1624.8;1586.2;1604.4;1298507
CHMF;D;24/01/24;000000;1606;1619.6;1595.2;1614;950420
CHMF;D;25/01/24;000000;1617;1623.8;1601;1609;663814
CHMF;D;26/01/24;000000;1609.4;1615.6;1590.4;1602;873822
CHMF;D;29/01/24;000000;1609;1630.6;1592.2;1629.8;1725776
CHMF;D;30/01/24;000000;1635;1685;1631;1683.8;2058316
CHMF;D;31/01/24;000000;1686;1688.8;1647.8;1664;1959112
CHMF;D;01/02/24;000000;1658.2;1679.8;1650.4;1672;1539299
CHMF;D;02/02/24;000000;1668.8;1710;1625;1627.8;7209839
CHMF;D;05/02/24;000000;1623;1627;1604.4;1621.2;1730684
CHMF;D;06/02/24;000000;1627.6;1627.6;1597.2;1603.4;1638605
CHMF;D;07/02/24;000000;1603.2;1603.4;1590.6;1591.2;1121832
CHMF;D;08/02/24;000000;1590.2;1591;1556.4;1558;1585415
CHMF;D;09/02/24;000000;1556.2;1588.8;1555;1587;1203265
CHMF;D;12/02/24;000000;1590.6;1599.8;1567.2;1589;1085625
CHMF;D;13/02/24;000000;1592.8;1616.8;1589;1609.8;1308010
CHMF;D;14/02/24;000000;1615;1622;1605.4;1608.4;662438
CHMF;D;15/02/24;000000;1610;1618.2;1591.6;1613.2;853572
CHMF;D;16/02/24;000000;1615.4;1620.2;1595.4;1603;757122
CHMF;D;19/02/24;000000;1603.4;1610.6;1597.4;1604;424222
CHMF;D;20/02/24;000000;1602;1603.8;1551;1565.4;1077262
CHMF;D;21/02/24;000000;1567;1579.6;1550;1568.2;936264
CHMF;D;22/02/24;000000;1570.6;1585.4;1564;1581.6;825586
CHMF;D;26/02/24;000000;1594.2;1616.4;1594.2;1615;849893
CHMF;D;27/02/24;000000;1612;1635;1608.2;1634.4;1220069
CHMF;D;28/02/24;000000;1634.8;1639.2;1620.2;1634.8;721356
CHMF;D;29/02/24;000000;1635.6;1656.6;1627;1651.6;904876
CHMF;D;01/03/24;000000;1651.8;1678.8;1639;1671.2;1075541
CHMF;D;04/03/24;000000;1674.8;1682.2;1661.6;1670.8;723490
CHMF;D;05/03/24;000000;1674;1688.8;1663.4;1679.2;649185
CHMF;D;06/03/24;000000;1683;1688.8;1678.2;1685.4;574598
CHMF;D;07/03/24;000000;1687;1706.2;1682.8;1704.2;1058731
CHMF;D;11/03/24;000000;1706.4;1728.2;1704.2;1720;760754
CHMF;D;12/03/24;000000;1721.2;1728.2;1708.2;1726.2;478914
CHMF;D;13/03/24;000000;1728.2;1740;1727;1735.2;550691
CHMF;D;14/03/24;000000;1735.2;1738.6;1696.2;1705.4;1133342
CHMF;D;15/03/24;000000;1705.4;1724.4;1698.6;1721.8;488905
CHMF;D;18/03/24;000000;1724.4;1743.6;1723.2;1731.8;633480
CHMF;D;19/03/24;000000;1730;1730.8;1708.6;1719;543255
CHMF;D;20/03/24;000000;1720;1742;1719.2;1741;795048
CHMF;D;21/03/24;000000;1743.4;1805;1743.4;1796.4;1996666
CHMF;D;22/03/24;000000;1796.8;1804.6;1767;1774.2;1368901
CHMF;D;25/03/24;000000;1778.6;1836.8;1775.6;1832.8;1392605
CHMF;D;26/03/24;000000;1836;1857.6;1830.2;1846;866203
CHMF;D;27/03/24;000000;1847.4;1894.4;1838.6;1883.8;972260
CHMF;D;28/03/24;000000;1884.2;1889.8;1850;1861.4;929855
CHMF;D;29/03/24;000000;1861.2;1890;1841;1877.8;1274257
CHMF;D;01/04/24;000000;1877.8;1896;1850.4;1857.4;1102754
CHMF;D;02/04/24;000000;1857.4;1874;1847.8;1865.8;464697
CHMF;D;03/04/24;000000;1869;1869;1852.2;1857.6;379545
CHMF;D;04/04/24;000000;1860;1860;1824;1824.8;1071379
CHMF;D;05/04/24;000000;1825;1840.4;1815.6;1818;846017
CHMF;D;08/04/24;000000;1817.6;1844;1805.8;1840;879349
CHMF;D;09/04/24;000000;1843.6;1867.2;1839;1859;787652
CHMF;D;10/04/24;000000;1859.2;1865;1835;1849;587464
CHMF;D;11/04/24;000000;1850;1853;1830.8;1832.8;516323
CHMF;D;12/04/24;000000;1833.6;1838.4;1821.8;1831.6;674817
CHMF;D;15/04/24;000000;1831.8;1845.8;1830.2;1835.2;459743
CHMF;D;16/04/24;000000;1836.6;1838;1826.2;1831.2;485163
CHMF;D;17/04/24;000000;1831.2;1879;1814.2;1860;1408628
CHMF;D;18/04/24;000000;1867.4;1885;1860.8;1863.6;887457
CHMF;D;19/04/24;000000;1867.2;1873.8;1850.6;1864.4;599298
CHMF;D;22/04/24;000000;1868;1885;1864;1879;688597
CHMF;D;23/04/24;000000;1885;1887.8;1850;1856.6;1170055
CHMF;D;24/04/24;000000;1860.2;1878.4;1856;1864;642856
CHMF;D;25/04/24;000000;1864;1877;1864;1873;524345
CHMF;D;26/04/24;000000;1875.4;1884;1867;1871.2;541642
CHMF;D;27/04/24;000000;1874.8;1889;1871.6;1887.6;516915
CHMF;D;29/04/24;000000;1892.4;1935.8;1891.2;1931;874675
CHMF;D;30/04/24;000000;1931;1946;1915;1927.6;493396
CHMF;D;02/05/24;000000;1932;1936.4;1891.4;1904.2;812198
CHMF;D;03/05/24;000000;1904.4;1924.6;1887.2;1915.4;730200
CHMF;D;06/05/24;000000;1917;1923.6;1890;1898;655988
CHMF;D;07/05/24;000000;1903.4;1921.8;1901.6;1919.2;382045
CHMF;D;08/05/24;000000;1921.2;1934;1917.2;1928.2;383767
CHMF;D;10/05/24;000000;1930;1963;1925;1960;592285
CHMF;D;13/05/24;000000;1969.8;1989.2;1961;1976.2;898729
CHMF;D;14/05/24;000000;1975.8;1977;1962.4;1967.2;497528
CHMF;D;15/05/24;000000;1969.8;1978;1953;1970.6;442688
CHMF;D;16/05/24;000000;1971;1977.4;1967;1972.6;286735
CHMF;D;17/05/24;000000;1975.6;1975.6;1965.6;1970.2;265872
CHMF;D;20/05/24;000000;1974.2;1976.8;1937.6;1951.4;673888
CHMF;D;21/05/24;000000;1949.6;1970.6;1943;1968.4;460105
CHMF;D;22/05/24;000000;1968.4;2009;1966.4;2006;877788
CHMF;D;23/05/24;000000;2002;2008.4;1982.6;1997.6;813964
CHMF;D;24/05/24;000000;1997.8;2002.4;1968.2;1990.8;721893
CHMF;D;27/05/24;000000;1990.6;2011.8;1918;1942.6;1364276
CHMF;D;28/05/24;000000;1944.8;1969.2;1881.6;1887.6;1689661
CHMF;D;29/05/24;000000;1891.2;1934;1853;1928.2;1744034
CHMF;D;30/05/24;000000;1929.8;1935;1830;1848.6;1463325
CHMF;D;31/05/24;000000;1854.6;1867.8;1710.6;1778;2448436
CHMF;D;03/06/24;000000;1793.2;1847.6;1770;1840.2;2305485
CHMF;D;04/06/24;000000;1847;1866.6;1794;1841;1622304
CHMF;D;05/06/24;000000;1845.2;1862;1824.4;1833.8;1083795
CHMF;D;06/06/24;000000;1833.8;1842.8;1813.8;1826.8;737659
CHMF;D;07/06/24;000000;1827;1850;1817.4;1841.4;1205750
CHMF;D;10/06/24;000000;1861.4;1892;1825;1852.6;1698134
CHMF;D;11/06/24;000000;1851.4;1858;1809.2;1832.2;1223619
CHMF;D;13/06/24;000000;1750;1845;1707.4;1837.4;1690087
CHMF;D;14/06/24;000000;1838.2;1848.8;1812;1836.4;1398362
CHMF;D;17/06/24;000000;1841.2;1862;1816;1821.2;2852922
CHMF;D;18/06/24;000000;1641;1643;1529.4;1555.6;6833692
CHMF;D;19/06/24;000000;1553.6;1554;1489.8;1504.8;2951031
CHMF;D;20/06/24;000000;1504.8;1590;1492;1579.2;3008561
