<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBSCA;D;10/10/23;000000;10.0794;10.1385;10.0567;10.1297;875195140.536089
SBSCA;D;11/10/23;000000;10.1454;10.2629;10.1308;10.2569;1229596293.093806
SBSCA;D;12/10/23;000000;10.0697;10.2152;10.0383;10.1908;1094730394.795905
SBSCA;D;13/10/23;000000;10.2125;10.2678;10.2125;10.2312;1203323033.845143
SBSCA;D;16/10/23;000000;10.2547;10.3836;10.2547;10.3836;1368989829.740498
SBSCA;D;17/10/23;000000;10.4102;10.4365;10.3394;10.4025;2462987661.575284
SBSCA;D;18/10/23;000000;10.4402;10.4693;10.306;10.3889;1798809965.904005
SBSCA;D;19/10/23;000000;10.3976;10.4994;10.3603;10.4994;1852522636.43445
SBSCA;D;20/10/23;000000;10.5715;10.5715;10.4718;10.498;3029206642.868585
SBSCA;D;23/10/23;000000;10.499;10.5395;10.4368;10.5329;2257505495.225701
SBSCA;D;24/10/23;000000;10.5231;10.554;10.4618;10.531;2018566336.432261
SBSCA;D;25/10/23;000000;10.554;10.5772;10.538;10.5637;1986852206.051163
SBSCA;D;26/10/23;000000;10.5946;10.6087;10.3582;10.3582;3595732332.963752
SBSCA;D;27/10/23;000000;10.3657;10.4032;10.171;10.3537;2494197510.579311
SBSCA;D;30/10/23;000000;10.3822;10.4627;10.3226;10.3728;1681197884.800365
SBSCA;D;31/10/23;000000;10.3973;10.416;10.1137;10.2332;1971722344.61521
SBSCA;D;01/11/23;000000;10.2349;10.2982;10.2208;10.2521;1078553979.314563
SBSCA;D;02/11/23;000000;10.2931;10.3635;10.2298;10.2323;1717044934.792199
SBSCA;D;03/11/23;000000;10.252;10.2852;10.1824;10.2355;1321708768.560256
SBSCA;D;06/11/23;000000;10.244;10.3523;10.244;10.3383;803789106.917013
SBSCA;D;07/11/23;000000;10.3596;10.4559;10.3399;10.4417;1680118582.452068
SBSCA;D;08/11/23;000000;10.4595;10.4808;10.4433;10.465;2208448868.362655
SBSCA;D;09/11/23;000000;10.503;10.503;10.388;10.4299;2223751629.196217
SBSCA;D;10/11/23;000000;10.4331;10.441;10.3506;10.3657;2878480775.305787
SBSCA;D;13/11/23;000000;10.3801;10.437;10.3484;10.3647;3000870722.418715
SBSCA;D;14/11/23;000000;10.3154;10.3154;10.0723;10.1953;3052702830.931255
SBSCA;D;15/11/23;000000;10.1605;10.3178;10.133;10.299;2442070123.374361
SBSCA;D;16/11/23;000000;10.3264;10.4078;10.2918;10.3064;4351980971.587615
SBSCA;D;17/11/23;000000;10.2421;10.2908;10.1673;10.2793;2824719558.092002
SBSCA;D;20/11/23;000000;10.28;10.3715;10.28;10.3437;2393127511.482487
SBSCA;D;21/11/23;000000;10.3305;10.4257;10.2951;10.4229;2948883276.083484
SBSCA;D;22/11/23;000000;10.4281;10.4864;10.3702;10.3925;2870541974.239065
SBSCA;D;23/11/23;000000;10.4167;10.4167;10.1879;10.2;2622044130.494187
SBSCA;D;24/11/23;000000;10.1823;10.1902;9.9887;10.0001;2091617834.224632
SBSCA;D;27/11/23;000000;9.9902;10.0366;9.8928;9.9039;3000532412.083935
SBSCA;D;28/11/23;000000;9.9413;10.0435;9.7835;10.0435;3346836135.897514
SBSCA;D;29/11/23;000000;10.0655;10.0774;9.9815;9.9815;2502307988.05505
SBSCA;D;30/11/23;000000;9.9394;9.9564;9.8037;9.8396;1996222032.429776
SBSCA;D;01/12/23;000000;9.8108;9.8108;9.7077;9.7186;1501661803.64362
SBSCA;D;04/12/23;000000;9.6676;9.6676;9.5403;9.5522;2128642457.734885
