<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GRODA;D;10/10/23;000000;859.42;862.46;856.83;861.73;13914903.919726
GRODA;D;11/10/23;000000;862.09;866.35;850.21;851.49;17860138.381562
GRODA;D;12/10/23;000000;848.69;861.42;848.64;861.18;14440623.250488
GRODA;D;13/10/23;000000;861.79;864.44;860.67;863.26;12736348.828506
GRODA;D;16/10/23;000000;864.52;874.59;864.52;874.59;15707996.21751
GRODA;D;17/10/23;000000;875.37;884.75;872.68;884.61;22362310.121753
GRODA;D;18/10/23;000000;885.23;887.6;874.73;882.21;21553434.791122
GRODA;D;19/10/23;000000;881.5;883.86;876.57;883.77;18493189.892241
GRODA;D;20/10/23;000000;883.75;886.32;880.52;882.96;21903679.891268
GRODA;D;23/10/23;000000;883.27;886.72;878.87;883.61;18836015.863991
GRODA;D;24/10/23;000000;883.57;886.84;879.1;886.29;18944621.087246
GRODA;D;25/10/23;000000;886.77;888.44;884.19;887.54;17834139.401653
GRODA;D;26/10/23;000000;888.02;889.36;872.2;872.81;20115215.691162
GRODA;D;27/10/23;000000;873.36;877.04;862.53;872.93;20709489.837316
GRODA;D;30/10/23;000000;874.32;881.51;870.68;876.84;14033956.884265
GRODA;D;31/10/23;000000;877.5;878.07;860.95;866.38;12765130.646358
GRODA;D;01/11/23;000000;867.58;872.91;867.58;872.47;8968294.26807
GRODA;D;02/11/23;000000;873.09;878.34;869.97;872.8;15500920.868097
GRODA;D;03/11/23;000000;873.56;874.65;866.35;871.14;20860724.464349
GRODA;D;06/11/23;000000;872.93;880.99;872.93;880.88;11668932.479802
GRODA;D;07/11/23;000000;881.22;888.87;879.8;887.73;17776489.198138
GRODA;D;08/11/23;000000;888.04;889.44;885.29;887.78;17098616.288207
GRODA;D;09/11/23;000000;888.45;889.93;883.52;884.65;12904116.985249
GRODA;D;10/11/23;000000;884.66;884.9;878.86;879.68;13551631.781333
GRODA;D;13/11/23;000000;880.04;885.6;872.8;872.91;21691169.012124
GRODA;D;14/11/23;000000;872.04;872.04;856.03;859.25;17626747.828237
GRODA;D;15/11/23;000000;858.49;870.4;854.99;869.73;18007837.787867
GRODA;D;16/11/23;000000;870.65;873.14;863.46;863.52;20683825.705554
GRODA;D;17/11/23;000000;862.77;866.6;854.89;865.83;13043714.360429
GRODA;D;20/11/23;000000;866.57;871.47;866.57;868.25;13489143.246542
GRODA;D;21/11/23;000000;867.35;870.51;865.07;870.45;13425843.003332
GRODA;D;22/11/23;000000;871.07;874.36;869.45;871.88;10872269.285921
GRODA;D;23/11/23;000000;872.21;872.59;865.03;866.26;10328661.269598
GRODA;D;24/11/23;000000;867.99;869.3;858.73;858.89;10200960.227854
GRODA;D;27/11/23;000000;859.32;860.79;845.82;847.65;17666683.770403
GRODA;D;28/11/23;000000;848.99;850.13;841.22;848.4;14823748.237272
GRODA;D;29/11/23;000000;848.35;849.95;843.26;843.59;10120905.831442
GRODA;D;30/11/23;000000;843.95;843.98;831.38;832.79;13753574.784329
GRODA;D;01/12/23;000000;831.88;832.2;819.62;820.12;13585773.401708
GRODA;D;04/12/23;000000;818.17;818.17;804.56;806.49;18031071.371473
GRODA;D;05/12/23;000000;807.5;816.53;798.63;816.39;15592695.403207
GRODA;D;06/12/23;000000;818.3;819.09;794.72;794.72;15790589.175338
GRODA;D;07/12/23;000000;795.83;800.81;779.76;799.2;15409694.358353
GRODA;D;08/12/23;000000;800.69;807.94;798.17;800.32;9556536.068029
GRODA;D;11/12/23;000000;801.1;801.45;775.47;775.64;14251071.176535
GRODA;D;12/12/23;000000;776.35;782.22;772.49;775.46;14641592.672991
GRODA;D;13/12/23;000000;774.84;782.53;771.26;781.28;9827280.29967
GRODA;D;14/12/23;000000;782.5;787.14;769.3;771.55;11169979.416271
GRODA;D;15/12/23;000000;771.63;798.85;771.63;797.69;16303969.144129
GRODA;D;18/12/23;000000;799.97;819.19;799.97;818.97;19661002.675517
GRODA;D;19/12/23;000000;819.43;827.22;813.99;824.29;19539520.43163
GRODA;D;20/12/23;000000;825.6;833.52;824.9;827.67;16144870.693878
GRODA;D;21/12/23;000000;827.41;827.41;814.63;820.6;16593294.55388
GRODA;D;22/12/23;000000;822.51;830.23;822.51;827.17;16158680.071074
GRODA;D;25/12/23;000000;825.76;833.9;825.76;831.07;16839127.204844
GRODA;D;26/12/23;000000;832.31;834.11;828.47;832.01;16588081.508148
