<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
DIVDA;D;10/10/23;000000;1226.14;1229.7;1223.47;1228.54;17265197.781788
DIVDA;D;11/10/23;000000;1229.6;1237.26;1211.31;1214.1;42422956.971969
DIVDA;D;12/10/23;000000;1208.16;1223.88;1208.16;1222.67;30120183.053303
DIVDA;D;13/10/23;000000;1224.17;1230.44;1222.36;1230.03;21620150.035647
DIVDA;D;16/10/23;000000;1232.32;1245.53;1232.32;1245.48;23902209.226381
DIVDA;D;17/10/23;000000;1245.81;1253.21;1243.02;1252.89;24560384.044957
DIVDA;D;18/10/23;000000;1253.84;1263.63;1248.48;1260.02;37139026.731019
DIVDA;D;19/10/23;000000;1259.08;1261.69;1252.92;1261.34;17695085.483848
DIVDA;D;20/10/23;000000;1262.73;1263.33;1251.48;1258.09;23198260.603507
DIVDA;D;23/10/23;000000;1259.58;1263.96;1252.45;1255.64;19362603.99756
DIVDA;D;24/10/23;000000;1255.68;1261.73;1247.79;1259.84;21225068.546174
DIVDA;D;25/10/23;000000;1260.04;1269.38;1256.31;1266.87;23797798.14765
DIVDA;D;26/10/23;000000;1267.9;1271.27;1244.93;1245.64;31132602.769349
DIVDA;D;27/10/23;000000;1246.95;1255.41;1231.33;1253.35;26614286.618364
DIVDA;D;30/10/23;000000;1253.48;1257.48;1248.6;1249.16;16559090.281242
DIVDA;D;31/10/23;000000;1248.57;1250.23;1225.15;1231.09;20105801.775383
DIVDA;D;01/11/23;000000;1231.56;1238.58;1230.06;1237.03;12905103.727457
DIVDA;D;02/11/23;000000;1239.57;1244.69;1231.66;1235.05;16307917.508103
DIVDA;D;03/11/23;000000;1236.52;1238.88;1225.19;1226.83;17115647.738761
DIVDA;D;06/11/23;000000;1229.51;1242.61;1229.51;1242.43;12598047.261216
DIVDA;D;07/11/23;000000;1242.38;1245.99;1239.6;1242.44;13469238.544929
DIVDA;D;08/11/23;000000;1242.61;1248.61;1240.92;1244.57;15532555.793844
DIVDA;D;09/11/23;000000;1244.56;1247.42;1237.5;1243.9;16750893.953073
DIVDA;D;10/11/23;000000;1244.63;1246.89;1240.07;1244.87;16292700.5086
DIVDA;D;13/11/23;000000;1244.94;1249.42;1242.93;1244.53;13424837.965909
DIVDA;D;14/11/23;000000;1243.55;1243.55;1226.87;1227.9;17238294.829726
DIVDA;D;15/11/23;000000;1226.11;1237.19;1220.16;1234.19;17348687.24214
DIVDA;D;16/11/23;000000;1233.94;1236.91;1216.83;1217.23;14517864.897181
DIVDA;D;17/11/23;000000;1216.06;1229.12;1206.8;1225.91;19231694.46726
DIVDA;D;20/11/23;000000;1227.01;1231.83;1223.72;1226.31;10012234.324985
DIVDA;D;21/11/23;000000;1223.91;1233.63;1222.09;1232.86;13594535.40037
DIVDA;D;22/11/23;000000;1233.64;1239.51;1229.02;1232.81;15031409.089565
DIVDA;D;23/11/23;000000;1231.87;1233.42;1224.94;1226.31;10530837.78531
DIVDA;D;24/11/23;000000;1229.11;1231.23;1218.84;1223.46;11727822.029157
DIVDA;D;27/11/23;000000;1223.97;1225.5;1207.22;1210.61;14111317.63577
DIVDA;D;28/11/23;000000;1211.67;1218.78;1203.3;1218.56;12628087.233329
DIVDA;D;29/11/23;000000;1218.56;1220.21;1209.12;1210.73;10487074.946787
DIVDA;D;30/11/23;000000;1213.41;1213.41;1201.29;1204.13;15863223.566254
DIVDA;D;01/12/23;000000;1202.75;1206.77;1188.82;1189.48;14114268.447592
DIVDA;D;04/12/23;000000;1186.43;1186.43;1171.51;1172.84;16252649.926246
DIVDA;D;05/12/23;000000;1174.94;1191.95;1171.02;1191.94;14461342.851768
DIVDA;D;06/12/23;000000;1193.92;1195.67;1164.2;1165.4;16006456.809459
DIVDA;D;07/12/23;000000;1166.8;1172.77;1158.46;1168.89;15415655.199181
DIVDA;D;08/12/23;000000;1170.78;1182.21;1169.99;1174.03;9331291.650657
DIVDA;D;11/12/23;000000;1174.5;1175.78;1148.14;1149.3;17877896.63076
DIVDA;D;12/12/23;000000;1151.19;1156.12;1140.14;1146.99;18848224.387087
DIVDA;D;13/12/23;000000;1144.67;1155.08;1139.58;1154.27;10353500.409439
DIVDA;D;14/12/23;000000;1155.18;1158.76;1133.75;1135.02;15238192.875125
DIVDA;D;15/12/23;000000;1136.76;1170.11;1136.76;1168.63;26179930.795337
DIVDA;D;18/12/23;000000;1172.99;1188.25;1172.99;1186.05;20696735.555292
DIVDA;D;19/12/23;000000;1185.8;1195.75;1182.95;1195.27;14961273.879406
DIVDA;D;20/12/23;000000;1196.06;1206.63;1196.06;1200.44;18840856.444525
DIVDA;D;21/12/23;000000;1200.34;1200.34;1182.67;1191.79;21300876.962925
DIVDA;D;22/12/23;000000;1194.22;1201.85;1193.1;1198.46;14403285.508924
DIVDA;D;25/12/23;000000;1198.38;1204.08;1194.94;1200.98;18938383.369705
DIVDA;D;26/12/23;000000;1202.41;1207;1198.93;1206.36;15949548.700183
DIVDA;D;27/12/23;000000;1207.1;1212.16;1204.19;1204.64;19742672.307683
DIVDA;D;28/12/23;000000;1203.58;1204.16;1197.22;1198.28;14541201.993964
DIVDA;D;29/12/23;000000;1199.01;1202.28;1196.12;1199.29;9581233.392532
DIVDA;D;03/01/24;000000;1201.28;1219.07;1201.28;1218.82;7151486.770789
DIVDA;D;04/01/24;000000;1220.08;1222.93;1218.82;1220.3;6564651.614859
DIVDA;D;05/01/24;000000;1221.73;1224.25;1218.21;1221.1;5377084.150877
DIVDA;D;08/01/24;000000;1222.46;1234.09;1222.46;1234.09;13854544.768623
DIVDA;D;09/01/24;000000;1236.42;1240.17;1232.18;1239.45;20406301.692548
DIVDA;D;10/01/24;000000;1239.31;1246.33;1238;1243.01;16389739.011082
DIVDA;D;11/01/24;000000;1243.86;1250.32;1241.43;1247.79;21358059.435677
DIVDA;D;12/01/24;000000;1249.76;1259.84;1249.45;1253.8;17563397.241851
DIVDA;D;15/01/24;000000;1256.12;1260.4;1252.78;1255.17;15878669.389534
DIVDA;D;16/01/24;000000;1256.52;1258.5;1248.25;1254.97;15781504.39459
DIVDA;D;17/01/24;000000;1254.76;1262.39;1253;1257.73;15201658.395143
DIVDA;D;18/01/24;000000;1259.84;1260.54;1252.72;1253.39;10770697.618769
DIVDA;D;19/01/24;000000;1254.38;1254.53;1245.57;1248.83;10418744.503566
DIVDA;D;22/01/24;000000;1248.83;1254.61;1248.11;1251.65;10875201.267108
DIVDA;D;23/01/24;000000;1252.42;1253.03;1249.5;1251.5;9483098.535297
DIVDA;D;24/01/24;000000;1253.38;1257.71;1249.2;1253.71;14351160.480779
DIVDA;D;25/01/24;000000;1254.56;1256.55;1247.08;1251.34;12498488.133584
DIVDA;D;26/01/24;000000;1252.8;1255.4;1251.59;1252.96;11564462.518828
DIVDA;D;29/01/24;000000;1256.43;1262.25;1256.29;1259.95;12523513.848879
DIVDA;D;30/01/24;000000;1260.85;1264.42;1258.36;1261.73;13383681.44839
DIVDA;D;31/01/24;000000;1262.39;1267.25;1262.39;1266.52;16451625.063229
DIVDA;D;01/02/24;000000;1268.81;1273.21;1267.98;1270.08;17447752.283668
DIVDA;D;02/02/24;000000;1271.4;1272.72;1266.96;1270.99;13550317.171782
DIVDA;D;05/02/24;000000;1273;1283.28;1273;1282.83;17564702.646546
DIVDA;D;06/02/24;000000;1283.97;1286.23;1281;1283.86;11799534.245454
DIVDA;D;07/02/24;000000;1285.41;1285.68;1281.97;1282.4;15243199.703474
DIVDA;D;08/02/24;000000;1281.17;1281.86;1271.43;1271.81;15303339.749717
DIVDA;D;09/02/24;000000;1272.38;1277.86;1268.94;1274.78;12581322.768698
DIVDA;D;12/02/24;000000;1277.18;1279.44;1269.68;1276.51;11958289.602567
DIVDA;D;13/02/24;000000;1280.88;1286.22;1278.56;1286.13;14239850.671305
DIVDA;D;14/02/24;000000;1288.29;1290.59;1282.06;1282.3;13830809.254729
DIVDA;D;15/02/24;000000;1282.8;1285.11;1277.63;1284.65;14185675.386956
DIVDA;D;16/02/24;000000;1286.48;1287.9;1277.08;1278.14;16091212.994923
DIVDA;D;19/02/24;000000;1279.26;1281.56;1274.42;1275.6;14683000.00709
DIVDA;D;20/02/24;000000;1274.9;1275.08;1247.45;1249.92;22473292.500662
DIVDA;D;21/02/24;000000;1147.03;1249.84;1138.03;1234.85;28989772.687502
DIVDA;D;22/02/24;000000;1237.08;1244.27;1232.74;1238.17;16901160.471343
DIVDA;D;26/02/24;000000;1249.57;1261.55;1249.57;1261.37;15704469.643499
DIVDA;D;27/02/24;000000;1261.31;1261.8;1250.6;1254.28;12735399.46378
DIVDA;D;28/02/24;000000;1254;1259.87;1252.19;1256.58;14918767.941196
DIVDA;D;29/02/24;000000;1256.75;1270.99;1254.77;1269.91;18048934.545515
DIVDA;D;01/03/24;000000;1270.9;1274.05;1265.81;1269.91;14390412.438025
DIVDA;D;04/03/24;000000;1273.64;1278.45;1272.56;1277.85;24949506.957397
DIVDA;D;05/03/24;000000;1278.55;1283.3;1273.34;1280.08;16718269.903929
DIVDA;D;06/03/24;000000;1281.08;1287.3;1277.8;1282.83;16730419.356572
DIVDA;D;07/03/24;000000;1282.81;1287.83;1281.39;1287.83;10807414.297676
DIVDA;D;11/03/24;000000;1290.4;1294.19;1286.75;1289.56;14145676.706998
DIVDA;D;12/03/24;000000;1288.96;1293.05;1281.34;1292.21;14881620.147237
DIVDA;D;13/03/24;000000;1293.29;1295.74;1284.35;1284.79;16209006.398871
DIVDA;D;14/03/24;000000;1285.23;1285.65;1274.35;1278.19;17767700.942975
DIVDA;D;15/03/24;000000;1278.25;1284.01;1276.58;1277.2;13805640.85292
DIVDA;D;18/03/24;000000;1279.92;1282.23;1271.89;1272.87;12907184.139214
DIVDA;D;19/03/24;000000;1272.21;1274.61;1255.43;1259.63;26734931.132276
DIVDA;D;20/03/24;000000;1260.9;1266.12;1254.23;1263.6;31266013.153774
DIVDA;D;21/03/24;000000;1267.13;1269.85;1257.09;1267.58;30110648.49787
DIVDA;D;22/03/24;000000;1269.6;1270.51;1247.66;1251.65;43781540.462382
DIVDA;D;25/03/24;000000;1255.32;1267.47;1250.45;1267.11;25860256.498758
DIVDA;D;26/03/24;000000;1269.11;1272.37;1266.26;1272.01;21454017.954198
DIVDA;D;27/03/24;000000;1273.15;1279.35;1269;1279.24;18819878.791636
DIVDA;D;28/03/24;000000;1280.39;1283.35;1276.45;1282.56;20389607.014827
DIVDA;D;29/03/24;000000;1283.17;1290.93;1279.27;1289.52;23552123.179669
DIVDA;D;01/04/24;000000;1292.62;1302.8;1292.62;1300.98;26710049.291684
DIVDA;D;02/04/24;000000;1301.69;1302.58;1297.15;1301.67;20945841.752733
DIVDA;D;03/04/24;000000;1301.82;1303.65;1296.83;1301.02;16445480.858012
DIVDA;D;04/04/24;000000;1301.39;1304.37;1297.42;1297.61;19816047.710833
DIVDA;D;05/04/24;000000;1297.85;1300.99;1294.62;1294.9;18024322.732238
DIVDA;D;08/04/24;000000;1297.16;1305.68;1297.16;1304.82;19189589.566868
DIVDA;D;09/04/24;000000;1305.81;1310.48;1299.59;1305.03;25218137.54336
DIVDA;D;10/04/24;000000;1305.81;1312.27;1298.12;1309.47;16607530.214747
DIVDA;D;11/04/24;000000;1310.57;1314.65;1307.54;1309.98;14073308.584382
DIVDA;D;12/04/24;000000;1312.31;1319.11;1311.66;1314.03;19319625.861513
DIVDA;D;15/04/24;000000;1315.27;1328.14;1315.27;1327.78;24303767.777131
