<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IRAO;W;09/10/23;000000;4.413;4.4795;4.3105;4.419;403506400
IRAO;W;16/10/23;000000;4.4145;4.4945;4.3765;4.4355;409058300
IRAO;W;23/10/23;000000;4.4355;4.5975;4.3105;4.3785;895812500
IRAO;W;30/10/23;000000;4.378;4.427;4.182;4.205;624276100
IRAO;W;06/11/23;000000;4.2125;4.3385;4.2045;4.2485;361947800
IRAO;W;13/11/23;000000;4.24;4.313;4.1635;4.223;475149600
IRAO;W;20/11/23;000000;4.223;4.328;4.1765;4.229;353945300
IRAO;W;27/11/23;000000;4.229;4.254;4.0785;4.0825;352922600
IRAO;W;04/12/23;000000;4.0775;4.078;3.87;4.0325;513480100
IRAO;W;11/12/23;000000;4.0325;4.0435;3.8805;3.9785;456939000
IRAO;W;18/12/23;000000;4;4.04;3.9565;3.991;379536100
IRAO;W;25/12/23;000000;3.9995;4.01;3.933;3.966;366654400
IRAO;W;01/01/24;000000;3.9665;4.0345;3.963;4.0005;94591600
IRAO;W;08/01/24;000000;4.006;4.128;4.003;4.0825;416205600
IRAO;W;15/01/24;000000;4.1;4.1445;4.011;4.0375;439889000
IRAO;W;22/01/24;000000;4.04;4.077;4.0045;4.025;256073900
IRAO;W;29/01/24;000000;4.027;4.106;4.027;4.064;331682300
IRAO;W;05/02/24;000000;4.068;4.15;4.05;4.077;530831400
IRAO;W;12/02/24;000000;4.0875;4.106;4.05;4.061;268414200
IRAO;W;19/02/24;000000;4.054;4.0665;3.945;3.996;305897800
IRAO;W;26/02/24;000000;4.019;4.0965;3.98;4.042;482628200
IRAO;W;04/03/24;000000;4.06;4.1175;4.0295;4.065;305178500
IRAO;W;11/03/24;000000;4.087;4.13;4.0355;4.098;404720500
IRAO;W;18/03/24;000000;4.112;4.1355;3.9975;4.0345;951371300
IRAO;W;25/03/24;000000;4.0465;4.094;4.04;4.0765;506354200
IRAO;W;01/04/24;000000;4.08;4.3285;4.079;4.262;1104527000
IRAO;W;08/04/24;000000;4.277;4.3125;4.19;4.261;676097000
IRAO;W;15/04/24;000000;4.269;4.285;4.2235;4.26;404218500
IRAO;W;22/04/24;000000;4.2725;4.368;4.1;4.247;974482000
IRAO;W;29/04/24;000000;4.2475;4.31;4.245;4.2795;254670500
IRAO;W;06/05/24;000000;4.282;4.5395;4.282;4.527;981015100
IRAO;W;13/05/24;000000;4.5465;4.57;4.344;4.3835;1032602900
IRAO;W;20/05/24;000000;4.3995;4.433;4.286;4.309;769103400
IRAO;W;27/05/24;000000;4.3115;4.37;4.015;4.0595;1734797100
IRAO;W;03/06/24;000000;3.7245;3.894;3.5265;3.8035;2253111700
IRAO;W;10/06/24;000000;3.822;3.93;3.6225;3.927;861183700
IRAO;W;17/06/24;000000;3.947;3.999;3.733;3.8925;1109400700
IRAO;W;24/06/24;000000;3.892;3.9855;3.874;3.925;472172100
IRAO;W;01/07/24;000000;3.9305;4.0145;3.7635;3.8735;707273900
IRAO;W;08/07/24;000000;3.883;3.9695;3.65;3.75;806467900
IRAO;W;15/07/24;000000;3.75;3.85;3.652;3.81;615264900
IRAO;W;22/07/24;000000;3.8245;3.9055;3.8;3.81;553937900
IRAO;W;29/07/24;000000;3.8105;3.89;3.703;3.77;493755500
IRAO;W;05/08/24;000000;3.749;3.7995;3.663;3.729;510035100
IRAO;W;12/08/24;000000;3.728;3.8995;3.723;3.7915;478150100
IRAO;W;19/08/24;000000;3.798;3.92;3.601;3.654;845350300
IRAO;W;26/08/24;000000;3.709;3.859;3.682;3.695;612312100
IRAO;W;02/09/24;000000;3.6935;3.699;3.545;3.646;656852900
IRAO;W;09/09/24;000000;3.6505;3.721;3.592;3.705;409509700
IRAO;W;16/09/24;000000;3.7145;3.885;3.7115;3.87;551331700
IRAO;W;23/09/24;000000;3.874;3.95;3.77;3.8095;467593800
IRAO;W;30/09/24;000000;3.8155;3.85;3.638;3.79;518237600
IRAO;W;07/10/24;000000;3.792;3.908;3.77;3.835;364228500
IRAO;W;14/10/24;000000;3.835;3.8985;3.7755;3.8735;246944900
IRAO;W;21/10/24;000000;3.874;3.895;3.704;3.7445;498926800
IRAO;W;28/10/24;000000;3.7415;3.8495;3.7085;3.833;533454600
IRAO;W;04/11/24;000000;3.8375;3.939;3.816;3.921;405496900
IRAO;W;11/11/24;000000;3.931;4.0315;3.85;4.013;596327600
IRAO;W;18/11/24;000000;3.9745;4.05;3.832;3.925;654003200
IRAO;W;25/11/24;000000;3.926;3.9475;3.59;3.821;649277500
IRAO;W;02/12/24;000000;3.8215;3.8815;3.5995;3.705;527262900
IRAO;W;09/12/24;000000;3.7115;3.74;3.57;3.602;383489000
IRAO;W;16/12/24;000000;3.6;3.8;3.5;3.7865;696787200
IRAO;W;23/12/24;000000;3.8025;3.8135;3.62;3.675;858211600
IRAO;W;30/12/24;000000;3.685;3.7915;3.6805;3.7455;198731700
IRAO;W;06/01/25;000000;3.7415;3.845;3.641;3.759;462367200
IRAO;W;13/01/25;000000;3.759;3.8;3.7225;3.77;611106300
IRAO;W;20/01/25;000000;3.7965;3.836;3.735;3.746;723922600
IRAO;W;27/01/25;000000;3.75;3.7585;3.661;3.699;599632300
IRAO;W;03/02/25;000000;3.7065;3.73;3.6605;3.7;368720800
