<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;W;09/10/23;000000;5433;5795;5433;5599.5;1762856
MGNT;W;16/10/23;000000;5606;5862.5;5605;5839;1602548
MGNT;W;23/10/23;000000;5840;6137.5;5840;6015;2816651
MGNT;W;30/10/23;000000;6022;6055.5;5777.5;5866.5;1194346
MGNT;W;06/11/23;000000;5873;6175;5859;6015.5;1629490
MGNT;W;13/11/23;000000;6020;6119.5;5760.5;5903.5;1692726
MGNT;W;20/11/23;000000;5904;6388;5900.5;6323;4105648
MGNT;W;27/11/23;000000;6347;6480;6260;6405.5;2178057
MGNT;W;04/12/23;000000;6425;6479.5;6162;6170;1580529
MGNT;W;11/12/23;000000;6167.5;6398;6005;6362;1332185
MGNT;W;18/12/23;000000;6375;6768;6318;6680;1755202
MGNT;W;25/12/23;000000;6689;7018.5;6689;7006;1770756
MGNT;W;01/01/24;000000;7014.5;7342;7014.5;7255.5;658058
MGNT;W;08/01/24;000000;7273.5;7380;7021.5;7082;2612715
MGNT;W;15/01/24;000000;7092.5;7115;6786;6944.5;2110909
MGNT;W;22/01/24;000000;6960;6971.5;6805;6820.5;772091
MGNT;W;29/01/24;000000;6833.5;7194.5;6812;7116;1393325
MGNT;W;05/02/24;000000;7114.5;7425;7052.5;7283;1528556
MGNT;W;12/02/24;000000;7290;7508;7195;7424.5;1508174
MGNT;W;19/02/24;000000;7432;7516.5;7152;7272;1106207
MGNT;W;26/02/24;000000;7343;7725;7336.5;7634;1555301
MGNT;W;04/03/24;000000;7642;7739.5;7550.5;7646;786231
MGNT;W;11/03/24;000000;7660;7794;7551;7611.5;1119575
MGNT;W;18/03/24;000000;7628.5;7686.5;7374.5;7410.5;1122731
MGNT;W;25/03/24;000000;7447;7968;7432.5;7896;1939705
MGNT;W;01/04/24;000000;7905.5;7988;7752.5;7840;1276627
MGNT;W;08/04/24;000000;7853;8065;7832;7991.5;886267
MGNT;W;15/04/24;000000;7994.5;8365.5;7976.5;8181.5;1402493
MGNT;W;22/04/24;000000;8189;8330;8100;8235;1239527
MGNT;W;29/04/24;000000;8234.5;8431.5;8177;8259.5;661066
MGNT;W;06/05/24;000000;8268.5;8380.5;8183.5;8370.5;440174
MGNT;W;13/05/24;000000;8381;8488;8211;8230;997558
MGNT;W;20/05/24;000000;8230.5;8325;7955;8057;1467922
MGNT;W;27/05/24;000000;8059.5;8100;7072;7072;1999733
MGNT;W;03/06/24;000000;6999;7000;6334;6744;3904233
MGNT;W;10/06/24;000000;6787;6799;6200;6620;1392089
MGNT;W;17/06/24;000000;6658.5;6738;6313;6457;1515815
MGNT;W;24/06/24;000000;6453;6497;6166;6369;1090715
MGNT;W;01/07/24;000000;6389.5;6649.5;6380.5;6435;1060842
MGNT;W;08/07/24;000000;6460.5;6507.5;5802;6215;1779476
MGNT;W;15/07/24;000000;5856;6138;5616;6113;1482887
MGNT;W;22/07/24;000000;6140;6174.5;5806;5932;959644
MGNT;W;29/07/24;000000;5929;5930;5632.5;5639;875536
MGNT;W;05/08/24;000000;5590;5640;5408;5508;818306
MGNT;W;12/08/24;000000;5499;5700;5358;5371;597834
MGNT;W;19/08/24;000000;5393;5435;4901.5;4948.5;1549995
MGNT;W;26/08/24;000000;5070;5206.5;4673;4720;1810115
MGNT;W;02/09/24;000000;4653;4856;4520.5;4756;1657442
MGNT;W;09/09/24;000000;4766;5035;4661;4998;2026053
MGNT;W;16/09/24;000000;5020;5959.5;5002.5;5919.5;6881190
MGNT;W;23/09/24;000000;5917.5;6021;5660.5;5759;2921178
MGNT;W;30/09/24;000000;5774.5;5893;4991;5076;6781498
MGNT;W;07/10/24;000000;5090;5122.5;4870;4902;1558008
MGNT;W;14/10/24;000000;4902;5035;4813.5;4861;1280666
MGNT;W;21/10/24;000000;4867;4885;4470;4504.5;1428762
MGNT;W;28/10/24;000000;4480;4579;4267;4520;2150666
MGNT;W;04/11/24;000000;4552;4860;4454;4856.5;1134858
MGNT;W;11/11/24;000000;4896.5;4924;4713.5;4822.5;951740
MGNT;W;18/11/24;000000;4720;4770;4297;4494;2134891
MGNT;W;25/11/24;000000;4495;4550;4008;4529.5;3694247
MGNT;W;02/12/24;000000;4555.5;4694;4377.5;4576;2672124
MGNT;W;09/12/24;000000;4621;4634.5;4405;4411;1090978
MGNT;W;16/12/24;000000;4400.5;4923;4255.5;4921.5;2516141
MGNT;W;23/12/24;000000;4991;5348;4863;5009;6598866
MGNT;W;30/12/24;000000;5025;5167;4917;5016.5;1348216
MGNT;W;06/01/25;000000;4988;5014.5;4705;4882.5;3053811
MGNT;W;13/01/25;000000;4980;4995;4611;4741.5;4283653
MGNT;W;20/01/25;000000;4782;4790;4620;4664.5;2624193
MGNT;W;27/01/25;000000;4668;4778;4540.5;4665.5;2230482
MGNT;W;03/02/25;000000;4665.5;4735;4526;4662;1737596
MGNT;W;10/02/25;000000;4688;5249.5;4680;4938;5384407
MGNT;W;17/02/25;000000;4995;5430;4992;5340;3697277
MGNT;W;24/02/25;000000;5343.5;5470;4810;4970;3987143
MGNT;W;03/03/25;000000;4975;5140;4832.5;4936.5;2566750
MGNT;W;10/03/25;000000;4955;4988;4718;4970;2042267
MGNT;W;17/03/25;000000;4972.5;5043.5;4808;4814;2651538
MGNT;W;24/03/25;000000;4819;4849;4347;4347;3264928
MGNT;W;31/03/25;000000;4345.5;4814.5;4322;4513.5;5557611
MGNT;W;07/04/25;000000;4475;4682.5;4183;4628.5;4016870
MGNT;W;14/04/25;000000;4628.5;4628.5;4414;4473;1553722
MGNT;W;21/04/25;000000;4501;4690;4476;4644;1927187
MGNT;W;28/04/25;000000;4645;4799;4305;4324;3460506
