<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBMXA;M;01/11/23;000000;18.2145;18.5753;17.9342;18.0426;55679160413.7659
SBMXA;M;01/12/23;000000;17.9992;18.0379;17.0666;17.9287;61242751392.43439
SBMXA;M;01/01/24;000000;17.9285;18.7323;17.9285;18.7023;51605087635.25117
SBMXA;M;01/02/24;000000;18.7497;19.0491;18.2381;18.9386;67273004107.74703
SBMXA;M;01/03/24;000000;18.9496;19.4361;18.8012;19.3929;73958579549.35759
SBMXA;M;01/04/24;000000;19.4636;20.2818;19.4636;20.176;72023068016.14171
SBMXA;M;01/05/24;000000;20.174;20.6657;18.8975;18.9299;68420279462.44581
SBMXA;M;01/06/24;000000;18.8295;19.2531;17.7407;18.6748;73174821020.04178
SBMXA;M;01/07/24;000000;18.733;19.0957;17.4704;17.9866;91121897547.25638
SBMXA;M;01/08/24;000000;18.0647;18.1307;16.1398;16.1945;82593545204.84247
SBMXA;M;01/09/24;000000;15.9841;17.693;15.354;17.4959;100003092636.76076
SBMXA;M;01/10/24;000000;17.3005;17.4027;15.7276;15.78;91791735641.41092
SBMXA;M;01/11/24;000000;15.7806;17.2357;14.9825;15.8996;121472109182.82063
SBMXA;M;01/12/24;000000;15.8746;18.0649;14.8508;18.0649;136339906449.80435
SBMXA;M;01/01/25;000000;18.1078;18.8452;17.2795;18.5489;104349196723.39014
SBMXA;M;01/02/25;000000;18.4606;21.1955;18.1823;20.1232;140769555514.9424
SBMXA;M;01/03/25;000000;20.0346;20.6296;18.6718;18.9377;106390905976.16843
SBMXA;M;01/04/25;000000;19.0587;19.238;16.3317;18.3972;128533270627.89017
SBMXA;M;01/05/25;000000;18.1086;18.5735;17.2284;17.4698;57355087208.10961
