<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;M;01/11/23;000000;3192.96;3257.32;3146.53;3165.79;315824240.043924
IMOEX;M;01/12/23;000000;3155.87;3162.97;2959.29;3099.11;339077789.055219
IMOEX;M;01/01/24;000000;3099.78;3219.41;3099.1;3214.19;301445712.791792
IMOEX;M;01/02/24;000000;3220.43;3275.23;3135.8;3256.8;358457214.971956
IMOEX;M;01/03/24;000000;3259;3343.56;3234.95;3332.53;423368852.289943
IMOEX;M;01/04/24;000000;3343.66;3487.55;3343.66;3469.83;413978374.222986
IMOEX;M;01/05/24;000000;3470.87;3521.72;3211.19;3217.19;399360052.52044
IMOEX;M;01/06/24;000000;3192.3;3268.89;2996.44;3154.36;431142725.909964
IMOEX;M;01/07/24;000000;3160.7;3226.16;2879.23;2942.68;558004489.261912
IMOEX;M;01/08/24;000000;2950.86;2966.66;2641.08;2650.32;503131880.378821
IMOEX;M;01/09/24;000000;2622.55;2889.87;2512.7;2857.56;615990330.834066
IMOEX;M;01/10/24;000000;2831.17;2838.77;2551.2;2560.2;565926051.374249
IMOEX;M;01/11/24;000000;2562.49;2797.94;2426.02;2578;750771927.515611
IMOEX;M;01/12/24;000000;2584.19;2883.04;2370.28;2883.04;845346376.022214
IMOEX;M;01/01/25;000000;2892.64;2995.45;2744.58;2948.1;649920756.988344
IMOEX;M;01/02/25;000000;2933.84;3371.06;2889.87;3200.48;766522746.424179
IMOEX;M;01/03/25;000000;3189.81;3282.15;2970.94;3013.36;575128269.956735
IMOEX;M;01/04/25;000000;3032.41;3053.15;2598.85;2918.47;658458422.68485
IMOEX;M;01/05/25;000000;2872.87;2947.07;2731.74;2770.1;292198145.108395
