<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;M;01/11/23;000000;268.29;289;267.2;277.5;798525920
SBER;M;01/12/23;000000;277.04;280.79;254.81;270.82;951201780
SBER;M;01/01/24;000000;271.75;279.17;271;276;405937980
SBER;M;01/02/24;000000;276.07;293.95;275.93;292.19;646298220
SBER;M;01/03/24;000000;292.21;302.95;291.05;298.72;648717150
SBER;M;01/04/24;000000;299.99;315.79;298.95;308.24;623596590
SBER;M;01/05/24;000000;308.71;324.85;304.34;313.11;578364910
SBER;M;01/06/24;000000;313.5;329.3;304.14;327.15;670173310
SBER;M;01/07/24;000000;327.68;330.45;276.7;289.3;1107549930
SBER;M;01/08/24;000000;289.75;290.69;254;254.45;909970240
SBER;M;01/09/24;000000;254.03;273.94;240.01;268.49;1163331490
SBER;M;01/10/24;000000;267.64;268.68;236.23;237.9;872085810
SBER;M;01/11/24;000000;237.91;261.3;219.2;236.49;1257833630
SBER;M;01/12/24;000000;237.09;279.49;222.82;279.43;1720277630
SBER;M;01/01/25;000000;279.99;286.23;270.07;280.73;898635800
SBER;M;01/02/25;000000;280.21;320.92;275.34;309.63;1312947360
SBER;M;01/03/25;000000;309.84;329.77;298.8;309.72;1137095940
SBER;M;01/04/25;000000;310.01;320.26;275.76;307.8;1230144500
SBER;M;01/05/25;000000;307.73;313.71;291.66;299.1;532649810
