<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBSCA;M;01/11/23;000000;10.2349;10.503;9.7835;9.8396;53356354146.29484
SBSCA;M;01/12/23;000000;9.8108;9.8797;9.0031;9.6775;33625858163.37313
SBSCA;M;01/01/24;000000;9.685;10.4117;9.685;10.3466;27564023921.5185
SBSCA;M;01/02/24;000000;10.4078;10.6286;9.7868;10.1786;33332536335.379986
SBSCA;M;01/03/24;000000;10.1918;10.609;10.1518;10.5871;35982434234.61116
SBSCA;M;01/04/24;000000;10.6441;11.3378;10.6441;11.2005;54984888291.84738
SBSCA;M;01/05/24;000000;11.1884;11.4122;10.1688;10.183;37761951427.49478
SBSCA;M;01/06/24;000000;10.1508;10.8499;9.7447;10.2132;31774135005.210358
SBSCA;M;01/07/24;000000;10.2335;10.2771;9.0124;9.3302;40959189350.3042
SBSCA;M;01/08/24;000000;9.4001;9.4761;8.003;8.0267;48528946861.64489
SBSCA;M;01/09/24;000000;7.8806;8.7417;7.4929;8.6263;58239879837.204636
SBSCA;M;01/10/24;000000;8.5533;8.5696;7.6045;7.6077;45996000172.71867
SBSCA;M;01/11/24;000000;7.6232;8.3168;7.0079;7.4905;59620229628.550995
SBSCA;M;01/12/24;000000;7.4589;8.468;6.9375;8.468;58848497043.712074
SBSCA;M;01/01/25;000000;8.524;8.9041;8.2176;8.7085;63448074747.453514
SBSCA;M;01/02/25;000000;8.6768;9.7523;8.4358;9.2346;84912620605.2482
SBSCA;M;01/03/25;000000;9.2021;9.499;8.4422;8.6458;56611575369.28017
SBSCA;M;01/04/25;000000;8.7225;8.7835;7.411;8.0558;57500856395.51375
SBSCA;M;01/05/25;000000;7.9194;8.1569;7.6174;7.6635;20447554188.253754
