<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GRODA;M;01/11/23;000000;867.58;889.93;831.38;832.79;324064810.684149
GRODA;M;01/12/23;000000;831.88;836.78;769.3;821.89;321818126.908846
GRODA;M;01/01/24;000000;824.21;888.3;824.21;885.45;299016033.065767
GRODA;M;01/02/24;000000;886.56;903.09;790.72;887.93;317002644.732788
GRODA;M;01/03/24;000000;888.58;920.83;885.66;919.12;314703356.880126
GRODA;M;01/04/24;000000;922.42;979.71;922.42;979.48;389778823.834131
GRODA;M;01/05/24;000000;979.31;1001.31;907.66;913.58;462369284.239877
GRODA;M;01/06/24;000000;915.25;943.28;873.27;905.7;496497532.036411
GRODA;M;01/07/24;000000;907.39;915.36;825.25;845.71;493227617.767544
GRODA;M;01/08/24;000000;845.85;851.6;734.49;735.77;377676993.911904
GRODA;M;01/09/24;000000;727.03;807.05;690.39;790.7;546482200.833104
GRODA;M;01/10/24;000000;789.97;797.73;718.33;722.64;546441273.501327
GRODA;M;01/11/24;000000;722.64;780.54;674.61;706.38;677930993.177013
GRODA;M;01/12/24;000000;706.59;799.3;672.52;797.7;739327285.560236
GRODA;M;01/01/25;000000;797.7;824.12;772.3;812.36;540812361.134697
GRODA;M;01/02/25;000000;809.73;895.51;799.07;857.2;853602516.926657
GRODA;M;01/03/25;000000;848.12;868.22;803.77;815.41;672982985.270036
GRODA;M;01/04/25;000000;820.82;824.96;739.01;787.51;823327983.84955
GRODA;M;01/05/25;000000;775.14;795.65;749.71;754.71;355228964.627049
