<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
DIVDA;M;01/11/23;000000;1231.56;1249.42;1201.29;1204.13;316720026.449726
DIVDA;M;01/12/23;000000;1202.75;1212.16;1133.75;1199.29;343035478.09779
DIVDA;M;01/01/24;000000;1201.28;1267.25;1201.28;1266.52;277847770.284002
DIVDA;M;01/02/24;000000;1268.81;1290.59;1138.03;1269.91;318250803.740406
DIVDA;M;01/03/24;000000;1270.9;1295.74;1247.66;1289.52;415281868.827204
DIVDA;M;01/04/24;000000;1292.62;1330.96;1292.62;1319.34;418396566.186167
DIVDA;M;01/05/24;000000;1320.21;1356.57;1227.06;1230.28;473372472.281598
DIVDA;M;01/06/24;000000;1236.69;1268.91;1176.89;1230.91;481788213.73278
DIVDA;M;01/07/24;000000;1233.5;1252.81;1129.08;1165.36;568592461.878084
DIVDA;M;01/08/24;000000;1165.59;1168.15;1033.13;1037.91;528684507.586249
DIVDA;M;01/09/24;000000;1029.26;1135.69;989.11;1110.36;547660073.458904
DIVDA;M;01/10/24;000000;1109.46;1122.22;985.03;991.31;586250988.218832
DIVDA;M;01/11/24;000000;991.31;1103.38;954.02;1017.96;613070100.24544
DIVDA;M;01/12/24;000000;1018.1;1183.63;953.84;1183.33;669026067.269714
DIVDA;M;01/01/25;000000;1183.33;1221.41;1133.83;1198.77;503392747.665715
DIVDA;M;01/02/25;000000;1192.6;1342.29;1172.86;1282.67;682438996.10639
DIVDA;M;01/03/25;000000;1262.79;1291.74;1174.3;1189.59;658829329.656129
DIVDA;M;01/04/25;000000;1197.6;1202.64;1049.31;1148.68;1047236188.264687
DIVDA;M;01/05/25;000000;1130.87;1162.4;1088.02;1100.92;413190195.706084
