<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NMTP;W;09/10/23;000000;12.74;12.96;12.115;12.635;91787300
NMTP;W;16/10/23;000000;12.675;13.685;12.635;12.95;197852600
NMTP;W;23/10/23;000000;12.99;13.4;12.39;12.62;91940300
NMTP;W;30/10/23;000000;12.7;13;12.265;12.28;80121200
NMTP;W;06/11/23;000000;12.28;13.34;12.27;12.56;131676700
NMTP;W;13/11/23;000000;12.575;12.89;11.81;12.045;121893800
NMTP;W;20/11/23;000000;12.06;12.205;11.08;11.3;85237300
NMTP;W;27/11/23;000000;11.4;11.46;10.265;10.3;107158900
NMTP;W;04/12/23;000000;10.29;10.59;9.435;10.035;205540500
NMTP;W;11/12/23;000000;10.025;10.935;9.72;10.79;143728200
NMTP;W;18/12/23;000000;10.8;11.395;10.8;11.055;163422500
NMTP;W;25/12/23;000000;11.095;13.05;11.08;11.47;732602700
NMTP;W;01/01/24;000000;11.495;12.64;11.495;12.39;213137900
NMTP;W;08/01/24;000000;12.43;13.14;12.35;12.915;314828100
NMTP;W;15/01/24;000000;12.96;13.22;12.61;12.85;204630400
NMTP;W;22/01/24;000000;12.895;12.945;12.195;12.32;96715000
NMTP;W;29/01/24;000000;12.405;12.66;12.3;12.385;102605500
NMTP;W;05/02/24;000000;12.39;13.07;12.32;12.5;131276800
NMTP;W;12/02/24;000000;12.505;13.105;12.4;12.81;144410900
NMTP;W;19/02/24;000000;12.85;13.4;11.74;12.17;308065100
NMTP;W;26/02/24;000000;12.405;12.815;12.305;12.63;95649900
NMTP;W;04/03/24;000000;12.675;12.745;12.225;12.4;68561500
NMTP;W;11/03/24;000000;12.41;12.585;12.025;12.165;61483300
NMTP;W;18/03/24;000000;12.23;12.28;11.4;11.735;133940300
NMTP;W;25/03/24;000000;11.76;12.465;11.675;12.175;128401900
NMTP;W;01/04/24;000000;12.25;12.755;12.125;12.595;115566700
NMTP;W;08/04/24;000000;12.63;13.16;12.455;12.545;160552500
NMTP;W;15/04/24;000000;12.585;12.92;12.575;12.65;52497200
NMTP;W;22/04/24;000000;12.665;12.69;12.005;12.2;83490000
NMTP;W;29/04/24;000000;12.235;12.43;12.165;12.24;38979500
NMTP;W;06/05/24;000000;12.26;12.74;12.06;12.525;71457700
NMTP;W;13/05/24;000000;12.545;12.955;12.415;12.925;101057300
NMTP;W;20/05/24;000000;12.96;12.98;11.855;12.16;97525600
NMTP;W;27/05/24;000000;12.16;12.235;9.535;9.725;349979500
NMTP;W;03/06/24;000000;9.79;10.975;9.51;10.91;253277400
