<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
OZON;W;09/10/23;000000;2670;2764.5;2636.5;2728;1454955
OZON;W;16/10/23;000000;2736.5;2797;2705.5;2757;1267618
OZON;W;23/10/23;000000;2753.5;2786.5;2635.5;2680;1141300
OZON;W;30/10/23;000000;2694.5;2694.5;2566;2623;1112693
OZON;W;06/11/23;000000;2627;2700;2625;2645;782798
OZON;W;13/11/23;000000;2647.5;2787.5;2610;2756;2443031
OZON;W;20/11/23;000000;2770;3016.5;2770;2895;4102638
OZON;W;27/11/23;000000;2894;2967.5;2735;2756.5;1368570
OZON;W;04/12/23;000000;2729.5;2795;2617.5;2673;1270451
OZON;W;11/12/23;000000;2673;2684.5;2491.5;2630.5;2030560
OZON;W;18/12/23;000000;2628.5;2735;2604.5;2632;1127608
OZON;W;25/12/23;000000;2631;2850;2629;2804.5;1644560
OZON;W;01/01/24;000000;2810;2840.5;2777.5;2805;236926
OZON;W;08/01/24;000000;2805;2973.5;2801;2931;1044802
OZON;W;15/01/24;000000;2978.5;3053;2802;2827.5;2457152
OZON;W;22/01/24;000000;2830;2875;2736;2836;1931067
OZON;W;29/01/24;000000;2849.5;2941;2831;2878.5;1786604
OZON;W;05/02/24;000000;2870.5;2926.5;2780;2837;1364290
OZON;W;12/02/24;000000;2865.5;3199;2847.5;3128;6118147
OZON;W;19/02/24;000000;3125.5;3218.5;2966.5;3059.5;2368571
OZON;W;26/02/24;000000;3110;3290;3083;3270;1913812
OZON;W;04/03/24;000000;3286;3400;3280;3335;1657423
OZON;W;11/03/24;000000;3340;3378;3221.5;3302;1328002
OZON;W;18/03/24;000000;3300;3562;3283;3449;3327261
OZON;W;25/03/24;000000;3469.5;3834;3455.5;3789;2676851
OZON;W;01/04/24;000000;3809;3919;3737.5;3866.5;2436423
OZON;W;08/04/24;000000;3884;3928.5;3682.5;3713;2692635
OZON;W;15/04/24;000000;3714;4111;3714;4086;3028748
OZON;W;22/04/24;000000;4100.5;4270;3987;4256.5;3188916
OZON;W;29/04/24;000000;4259;4404;4237;4352;1582425
OZON;W;06/05/24;000000;4351.5;4658;4350;4489;3499576
OZON;W;13/05/24;000000;4492;4649.5;4457.5;4628;2071648
OZON;W;20/05/24;000000;4650;4725.5;4482.5;4532;1842817
OZON;W;27/05/24;000000;4516;4528.5;4069;4154.5;3883361
OZON;W;03/06/24;000000;4190;4698;3957;4631;5501496
OZON;W;10/06/24;000000;4650;4779.5;4154.5;4509.5;3596764
OZON;W;17/06/24;000000;4506.5;4564;3919.5;4349.5;5020669
OZON;W;24/06/24;000000;4356;4410;4201;4308;1961325
OZON;W;01/07/24;000000;4318.5;4327;3965;4090.5;2477392
OZON;W;08/07/24;000000;4101;4135;3512.5;3841.5;6805862
OZON;W;15/07/24;000000;3847;3972.5;3608.5;3941;5458360
OZON;W;22/07/24;000000;3975;4094.5;3791;3828.5;3667035
OZON;W;29/07/24;000000;3798.5;3865;3671.5;3732.5;2869742
OZON;W;05/08/24;000000;3645.5;3725;3559;3663.5;3289233
OZON;W;12/08/24;000000;3648.5;3697;3423;3445;1935053
OZON;W;19/08/24;000000;3467;3488.5;3221;3300;4406841
OZON;W;26/08/24;000000;3394.5;3450;3010;3011;3186511
OZON;W;02/09/24;000000;2975.5;3257;2825;3150;5801149
OZON;W;09/09/24;000000;3192;3379;2960;3290;6168341
OZON;W;16/09/24;000000;3309.5;3431;3245;3361;4335260
OZON;W;23/09/24;000000;3374;3513;3230.5;3380;3259672
OZON;W;30/09/24;000000;3388.5;3409;3105;3201.5;3128274
OZON;W;07/10/24;000000;3202.5;3215;3002.5;3020;2330772
OZON;W;14/10/24;000000;3009;3178.5;2981;3076;2640041
OZON;W;21/10/24;000000;3081;3093;2871.5;2873;2890184
OZON;W;28/10/24;000000;2808;2845;2611.5;2668.5;3642992
OZON;W;04/11/24;000000;2690;3295;2683;3288;8325533
OZON;W;11/11/24;000000;3306;3468.5;3175;3458.5;9151774
OZON;W;18/11/24;000000;3310.5;3426.5;2951.5;3077.5;9685367
OZON;W;25/11/24;000000;3064;3072.5;2612;2934;14556397
OZON;W;02/12/24;000000;2935;2993.5;2626;2878;8175720
OZON;W;09/12/24;000000;2917;2924.5;2642.5;2668;6288725
OZON;W;16/12/24;000000;2663.5;2843.5;2453.5;2830;8022078
OZON;W;23/12/24;000000;2865.5;3168;2842;3124.5;9152538
OZON;W;30/12/24;000000;3135.5;3375;3133.5;3193.5;1449478
OZON;W;06/01/25;000000;3160.5;3216;3028;3192;1304741
OZON;W;13/01/25;000000;3246;3593.5;3080.5;3485;2965601
OZON;W;20/01/25;000000;3512.5;3600;3328;3511.5;2886127
OZON;W;27/01/25;000000;3509.5;3659;3347;3514;2359270
OZON;W;03/02/25;000000;3498.5;3658;3413;3560.5;1671794
OZON;W;10/02/25;000000;3601;4063.5;3580.5;3864.5;3518663
OZON;W;17/02/25;000000;3967;4110;3846;4081;2521424
OZON;W;24/02/25;000000;4101.5;4254;3700;3949.5;4355490
OZON;W;03/03/25;000000;3875;4107;3825;4011;1474020
OZON;W;10/03/25;000000;4018;4067.5;3825;3928;1093766
OZON;W;17/03/25;000000;3999.5;4043.5;3907;3968;709042
OZON;W;24/03/25;000000;3958;3969.5;3536;3538.5;938971
OZON;W;31/03/25;000000;3584;3894.5;3470;3486.5;1697820
OZON;W;07/04/25;000000;3353;3599;3206;3542.5;1553320
OZON;W;14/04/25;000000;3558.5;3646;3460;3549;645438
OZON;W;21/04/25;000000;3565.5;3809;3542;3757;802900
OZON;W;28/04/25;000000;3757;3893;3540;3540;704740
