<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PHOR;W;09/10/23;000000;6918;7000;6682;6761;403914
PHOR;W;16/10/23;000000;6769;6971;6732;6770;380088
PHOR;W;23/10/23;000000;6777;6948;6706;6790;276226
PHOR;W;30/10/23;000000;6798;6866;6591;6655;259100
PHOR;W;06/11/23;000000;6654;6997;6654;6872;317577
PHOR;W;13/11/23;000000;6870;6900;6751;6791;210524
PHOR;W;20/11/23;000000;6803;6850;6719;6755;142496
PHOR;W;27/11/23;000000;6763;6890;6654;6702;209272
PHOR;W;04/12/23;000000;6702;6780;6600;6704;180696
PHOR;W;11/12/23;000000;6700;6735;6554;6707;237314
PHOR;W;18/12/23;000000;6733;6894;6691;6868;415891
PHOR;W;25/12/23;000000;6617;6685;6560;6587;383357
PHOR;W;01/01/24;000000;6602;6702;6595;6665;50725
PHOR;W;08/01/24;000000;6679;6740;6648;6692;160937
PHOR;W;15/01/24;000000;6694;6849;6682;6812;339059
PHOR;W;22/01/24;000000;6812;6839;6722;6768;193185
PHOR;W;29/01/24;000000;6770;6850;6708;6737;189294
PHOR;W;05/02/24;000000;6740;6819;6736;6795;195136
PHOR;W;12/02/24;000000;6795;7029;6790;6851;364836
PHOR;W;19/02/24;000000;6852;6915;6621;6702;230445
PHOR;W;26/02/24;000000;6727;6874;6677;6792;231542
PHOR;W;04/03/24;000000;6793;6830;6719;6791;179202
PHOR;W;11/03/24;000000;6802;6819;6708;6751;211001
PHOR;W;18/03/24;000000;6760;6784;6605;6623;252958
PHOR;W;25/03/24;000000;6623;6672;6584;6625;192552
PHOR;W;01/04/24;000000;6631;6763;6631;6680;258618
PHOR;W;08/04/24;000000;6710;6810;6650;6771;217305
PHOR;W;15/04/24;000000;6777;6824;6688;6754;232748
PHOR;W;22/04/24;000000;6757;6795;6576;6610;252586
PHOR;W;29/04/24;000000;6628;6654;6583;6610;82185
PHOR;W;06/05/24;000000;6610;6618;6502;6535;137808
PHOR;W;13/05/24;000000;6540;6647;6505;6618;170500
PHOR;W;20/05/24;000000;6619;6650;6135;6266;459143
PHOR;W;27/05/24;000000;6289;6356;5891;5934;525102
PHOR;W;03/06/24;000000;5942;6080;5656;6006;419116
PHOR;W;10/06/24;000000;6046;6086;5449;5960;246578
PHOR;W;17/06/24;000000;5977;6099;5655;6030;435014
PHOR;W;24/06/24;000000;6031;6083;5804;5869;221191
PHOR;W;01/07/24;000000;5871;6070;5830;5908;230075
PHOR;W;08/07/24;000000;5935;6141;5204;5546;627224
PHOR;W;15/07/24;000000;5551;5630;5350;5546;339223
PHOR;W;22/07/24;000000;5572;5890;5559;5700;321050
PHOR;W;29/07/24;000000;5699;5699;5455;5580;395576
PHOR;W;05/08/24;000000;5502;5559;5370;5416;274501
PHOR;W;12/08/24;000000;5418;5533;5313;5389;242434
PHOR;W;19/08/24;000000;5399;5405;5058;5120;329301
PHOR;W;26/08/24;000000;5196;5276;4921;4997;213070
PHOR;W;02/09/24;000000;4957;5181;4796;5073;409599
PHOR;W;09/09/24;000000;5078;5265;4842;5041;318725
PHOR;W;16/09/24;000000;5044;5307;5028;5140;380280
PHOR;W;23/09/24;000000;5154;5467;5101;5398;456540
PHOR;W;30/09/24;000000;5404;5627;5330;5463;707793
PHOR;W;07/10/24;000000;5463;5521;5281;5324;228777
PHOR;W;14/10/24;000000;5324;5514;5225;5408;146059
PHOR;W;21/10/24;000000;5390;5448;5184;5233;162260
PHOR;W;28/10/24;000000;5223;5224;4881;5015;304611
PHOR;W;04/11/24;000000;5015;5560;4998;5560;355701
PHOR;W;11/11/24;000000;5609;5609;5309;5433;344988
PHOR;W;18/11/24;000000;5351;5632;5267;5383;443517
PHOR;W;25/11/24;000000;5400;5601;5101;5584;526376
PHOR;W;02/12/24;000000;5592;5850;5431;5619;583481
PHOR;W;09/12/24;000000;5636;5761;5408;5635;543276
PHOR;W;16/12/24;000000;5634;6032;5543;5814;812253
PHOR;W;23/12/24;000000;5842;6539;5759;6350;1016449
PHOR;W;30/12/24;000000;6380;6487;6262;6305;108057
PHOR;W;06/01/25;000000;6304;6618;6265;6580;327819
PHOR;W;13/01/25;000000;6588;6787;6400;6751;540106
PHOR;W;20/01/25;000000;6771;7159;6616;7100;606004
PHOR;W;27/01/25;000000;7090;7145;6861;7038;479118
PHOR;W;03/02/25;000000;7036;7295;6992;7163;669875
PHOR;W;10/02/25;000000;7165;7240;6362;6842;1783782
PHOR;W;17/02/25;000000;6840;7068;6817;6929;681673
PHOR;W;24/02/25;000000;6941;7000;6652;6832;417848
PHOR;W;03/03/25;000000;6837;6909;6510;6700;395067
PHOR;W;10/03/25;000000;6715;6799;6479;6604;281624
PHOR;W;17/03/25;000000;6608;6737;6515;6633;316772
PHOR;W;24/03/25;000000;6637;7021;6376;6376;1530085
PHOR;W;31/03/25;000000;6337;6548;5721;5950;768677
PHOR;W;07/04/25;000000;5931;6420;5500;6407;700077
PHOR;W;14/04/25;000000;6363;6379;5992;6165;351821
PHOR;W;21/04/25;000000;6176;6415;6161;6369;298700
PHOR;W;28/04/25;000000;6380;6384;5974;6059;248293
