<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
POSI;W;09/10/23;000000;2463.6;2580.8;2458.2;2543;1516729
POSI;W;16/10/23;000000;2555.8;2567.2;2227.2;2280.6;10622291
POSI;W;23/10/23;000000;2280.4;2289.6;2168;2199;2475229
POSI;W;30/10/23;000000;2204;2213.6;2117;2207.8;1027796
POSI;W;06/11/23;000000;2224.8;2270;2157.2;2159.8;1358480
POSI;W;13/11/23;000000;2160;2165.2;2050;2064;865187
POSI;W;20/11/23;000000;2064;2155.8;2062.4;2147.8;969570
POSI;W;27/11/23;000000;2149;2158.6;2056;2088.8;575781
POSI;W;04/12/23;000000;2072.4;2080;1953.2;2003;729062
POSI;W;11/12/23;000000;2003;2007;1854.8;1930.6;982224
POSI;W;18/12/23;000000;1930.6;2044.6;1926.6;2004.2;763764
POSI;W;25/12/23;000000;2017;2033;1981;1996.8;526317
POSI;W;01/01/24;000000;2007.6;2098.2;2004.8;2050;251997
POSI;W;08/01/24;000000;2056;2164;2050.2;2132;642744
POSI;W;15/01/24;000000;2149.8;2190;2109;2189.6;668020
POSI;W;22/01/24;000000;2198;2270;2180;2264;890656
POSI;W;29/01/24;000000;2275;2289;2185.2;2214;1009505
POSI;W;05/02/24;000000;2214;2223.8;2172;2199;582118
POSI;W;12/02/24;000000;2198.6;2293;2180;2281;1133885
POSI;W;19/02/24;000000;2285.8;2329.8;2180;2241.6;893777
POSI;W;26/02/24;000000;2262.8;2333;2215.6;2317;1398705
POSI;W;04/03/24;000000;2324.6;2460;2256.4;2454;3050219
POSI;W;11/03/24;000000;2479.8;2543;2429.8;2520;2719053
POSI;W;18/03/24;000000;2543.8;2717.6;2501.2;2642;2684046
POSI;W;25/03/24;000000;2644.8;2763.4;2640.2;2760.4;1312697
POSI;W;01/04/24;000000;2768.4;2987;2766;2812.8;1949655
POSI;W;08/04/24;000000;2836.6;2865;2721.6;2847;1492151
POSI;W;15/04/24;000000;2854.6;3000;2848.6;2962;2732331
POSI;W;22/04/24;000000;2961.6;3020;2800;2955;2442163
POSI;W;29/04/24;000000;2955.2;3064;2935.4;2984.8;931889
POSI;W;06/05/24;000000;2985.2;3038;2951.2;3009.2;428279
POSI;W;13/05/24;000000;3009;3123.8;3005;3076.2;1158624
POSI;W;20/05/24;000000;3080;3138;3031.2;3053.6;1149704
POSI;W;27/05/24;000000;3044.2;3054.8;2801;2822.4;1274662
POSI;W;03/06/24;000000;2822.6;3133;2760;3111.6;1371016
POSI;W;10/06/24;000000;3108.6;3109;2910;3074;993663
POSI;W;17/06/24;000000;3080.2;3127;2925;3044.2;1549052
POSI;W;24/06/24;000000;3058.8;3088.4;2990.8;3063;536285
POSI;W;01/07/24;000000;3050;3200;3000;3071;1269243
POSI;W;08/07/24;000000;3066.4;3088.4;2808.6;3047.8;1725343
POSI;W;15/07/24;000000;3041.4;3100;2885.2;3080.6;928794
POSI;W;22/07/24;000000;3090.4;3124;2950;2980.4;1270999
POSI;W;29/07/24;000000;2966;2997;2832;2922;1293364
POSI;W;05/08/24;000000;2874.8;2978;2840.8;2930.8;1267360
POSI;W;12/08/24;000000;2913;2929;2770.2;2792.4;1124546
POSI;W;19/08/24;000000;2796;2807.4;2555;2624;2071727
POSI;W;26/08/24;000000;2675;2715.6;2522;2534.2;858614
POSI;W;02/09/24;000000;2486;2626.8;2395.4;2596.4;1210760
POSI;W;09/09/24;000000;2611.4;2749;2573.2;2705.2;1014772
POSI;W;16/09/24;000000;2732.8;2834;2682;2751.2;900478
POSI;W;23/09/24;000000;2751.2;2799;2612.2;2675.6;864039
POSI;W;30/09/24;000000;2689;2692.2;2532;2625;838184
POSI;W;07/10/24;000000;2617;2722.4;2540;2616.4;1399176
POSI;W;14/10/24;000000;2609;2655;2520.2;2616.2;904399
POSI;W;21/10/24;000000;2602.2;2619.8;2454.2;2485.8;793627
POSI;W;28/10/24;000000;2450;2459.8;2264.6;2324.2;1238434
POSI;W;04/11/24;000000;2337.8;2406.4;2103.6;2204.8;3301786
POSI;W;11/11/24;000000;2206.6;2224.2;2031.4;2077.8;1628717
POSI;W;18/11/24;000000;2034.8;2070;1965.4;2012.8;1435092
POSI;W;25/11/24;000000;2012.8;2012.8;1721;1880.4;1981060
POSI;W;02/12/24;000000;1886;1950;1740;1904.4;1819921
POSI;W;09/12/24;000000;1929.6;2069.6;1916.8;2004.6;2219790
POSI;W;16/12/24;000000;1991.2;2126;1843;2068;2336732
POSI;W;23/12/24;000000;2074.8;2156.6;1837.4;1938.6;3970334
POSI;W;30/12/24;000000;1965;2098;1949;2011.4;852569
POSI;W;06/01/25;000000;1982;2086.4;1967.4;2013;924972
POSI;W;13/01/25;000000;2047;2149.8;1991.4;2104.2;2129919
POSI;W;20/01/25;000000;2128.8;2170;1869.8;1874.6;3726424
POSI;W;27/01/25;000000;1874.6;1928;1848;1866;2310337
POSI;W;03/02/25;000000;1868;1868;1550;1566;14336038
POSI;W;10/02/25;000000;1571;1686.2;1421;1577.2;19428820
POSI;W;17/02/25;000000;1588;1600;1515;1556.4;3196091
POSI;W;24/02/25;000000;1558.4;1720;1525;1601.8;4972070
POSI;W;03/03/25;000000;1599;1648;1549;1605;2033434
POSI;W;10/03/25;000000;1607;1629;1530.6;1588.8;1310344
POSI;W;17/03/25;000000;1589.8;1625;1536.2;1540.6;1129509
POSI;W;24/03/25;000000;1541.6;1548;1302.2;1302.2;4050607
POSI;W;31/03/25;000000;1301;1375;1251.2;1283.2;4951597
