<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RENI;W;09/10/23;000000;107;109.4;92;95.74;15019670
RENI;W;16/10/23;000000;97;102;95.72;99.88;6974240
RENI;W;23/10/23;000000;100.2;100.72;95.02;95.6;2620780
RENI;W;30/10/23;000000;95.8;99.3;93;96;4547580
RENI;W;06/11/23;000000;95.94;97.88;93.3;96.3;2216960
RENI;W;13/11/23;000000;96.3;101.26;93.04;97.66;7822680
RENI;W;20/11/23;000000;97.66;99.96;94.24;97;4505710
RENI;W;27/11/23;000000;96.96;97;88.44;89.62;5633610
RENI;W;04/12/23;000000;89.2;90.88;84.44;89.02;2722000
RENI;W;11/12/23;000000;88.9;89.88;82.9;86;2536350
RENI;W;18/12/23;000000;86.1;93.78;86.1;93.78;3396860
RENI;W;25/12/23;000000;93.98;99.28;91.54;94;3732220
RENI;W;01/01/24;000000;95.48;96.9;92.2;95.62;950360
RENI;W;08/01/24;000000;95.62;97.3;93.4;95.02;2628330
RENI;W;15/01/24;000000;95.34;99.24;94.12;94.4;4749880
RENI;W;22/01/24;000000;94.6;101.9;94.54;99.12;7368890
RENI;W;29/01/24;000000;99.32;100.48;95.72;97;5537410
RENI;W;05/02/24;000000;97.04;100.7;95;97.06;7949190
RENI;W;12/02/24;000000;97.14;103.42;97.06;100.1;8433070
RENI;W;19/02/24;000000;100.54;103.2;96.08;99;5439120
RENI;W;26/02/24;000000;100.7;104.92;100.62;102.34;6167760
RENI;W;04/03/24;000000;102.5;106.74;101.66;105.64;5912900
RENI;W;11/03/24;000000;106.74;107.4;98.5;100.38;10865810
RENI;W;18/03/24;000000;100.68;103.3;99.24;99.88;7059150
RENI;W;25/03/24;000000;99.82;101.66;97.18;100.24;4045680
RENI;W;01/04/24;000000;101;105.42;100.82;101.64;5148180
RENI;W;08/04/24;000000;102.3;102.3;99.18;101;5362650
RENI;W;15/04/24;000000;101.78;108.98;101;107.1;10423830
RENI;W;22/04/24;000000;107.6;108.6;103.62;107.14;4945920
RENI;W;29/04/24;000000;107.14;110.4;105.92;109;2718360
RENI;W;06/05/24;000000;108.64;108.72;105.98;106.24;1430810
RENI;W;13/05/24;000000;106.78;111.14;106.04;111.12;3335460
RENI;W;20/05/24;000000;111.7;113.32;104.94;106.2;7402160
