<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RKKE;W;09/10/23;000000;31020;32230;30600;30810;4342
RKKE;W;16/10/23;000000;31000;31440;30000;30150;3251
RKKE;W;23/10/23;000000;30150;32250;28050;28580;15884
RKKE;W;30/10/23;000000;28600;28790;26210;26330;4731
RKKE;W;06/11/23;000000;26330;26400;21760;21870;6482
RKKE;W;13/11/23;000000;21880;27700;18020;24910;26059
RKKE;W;20/11/23;000000;25050;26390;21890;22970;9442
RKKE;W;27/11/23;000000;23420;24470;22110;22700;4915
RKKE;W;04/12/23;000000;22950;24890;20600;22890;11192
RKKE;W;11/12/23;000000;22950;23900;21270;22410;5397
RKKE;W;18/12/23;000000;22650;25610;22600;24310;12324
RKKE;W;25/12/23;000000;24640;26700;23970;24360;12593
RKKE;W;01/01/24;000000;24460;27390;24010;27010;8237
RKKE;W;08/01/24;000000;27260;28680;25900;27520;16802
RKKE;W;15/01/24;000000;27520;28450;26210;27020;5639
RKKE;W;22/01/24;000000;27500;28080;26200;26720;6592
RKKE;W;29/01/24;000000;26800;27000;26040;26150;3112
RKKE;W;05/02/24;000000;26090;26490;25250;25820;2028
RKKE;W;12/02/24;000000;26130;26190;25040;25520;1529
RKKE;W;19/02/24;000000;25520;26160;22440;24810;4139
RKKE;W;26/02/24;000000;24930;25940;24520;24710;3033
RKKE;W;04/03/24;000000;24710;24950;23520;23910;1518
RKKE;W;11/03/24;000000;23950;24500;23420;23640;2160
RKKE;W;18/03/24;000000;23700;25160;23560;23960;3140
RKKE;W;25/03/24;000000;23970;26040;23800;25600;4549
RKKE;W;01/04/24;000000;25980;32190;25740;32190;40806
RKKE;W;08/04/24;000000;33240;38090;30360;31420;111458
RKKE;W;15/04/24;000000;31780;32370;27880;28290;12775
RKKE;W;22/04/24;000000;28720;30390;27790;28180;5800
RKKE;W;29/04/24;000000;28100;28460;27450;27510;2035
RKKE;W;06/05/24;000000;27570;28720;27180;27500;3228
RKKE;W;13/05/24;000000;27540;28900;27280;27480;2512
RKKE;W;20/05/24;000000;27480;27800;25200;25310;2064
RKKE;W;27/05/24;000000;25070;26610;22700;22790;5298
RKKE;W;03/06/24;000000;22800;25000;21520;23970;3453
RKKE;W;10/06/24;000000;23820;24460;22210;23480;1360
RKKE;W;17/06/24;000000;23770;24140;22020;22640;1930
RKKE;W;24/06/24;000000;23170;23960;22320;22860;2066
RKKE;W;01/07/24;000000;23000;23260;21510;21650;1304
RKKE;W;08/07/24;000000;21730;22650;19040;20240;1610
RKKE;W;15/07/24;000000;20400;25170;19180;21840;6261
RKKE;W;22/07/24;000000;21940;22680;21010;21290;1806
RKKE;W;29/07/24;000000;21020;21390;20350;20530;801
RKKE;W;05/08/24;000000;20260;20740;19810;20210;857
RKKE;W;12/08/24;000000;20210;22610;20000;21100;4464
RKKE;W;19/08/24;000000;21100;21240;19050;19060;1402
RKKE;W;26/08/24;000000;19380;19990;18750;18850;826
RKKE;W;02/09/24;000000;18540;19300;17370;18570;1065
RKKE;W;09/09/24;000000;18810;21590;18740;19200;6164
RKKE;W;16/09/24;000000;19430;20400;19190;20030;1929
RKKE;W;23/09/24;000000;20180;20760;19500;19770;1415
RKKE;W;30/09/24;000000;19780;21000;19110;19440;1980
RKKE;W;07/10/24;000000;19450;19940;19000;19190;987
RKKE;W;14/10/24;000000;19260;19500;19000;19160;734
RKKE;W;21/10/24;000000;19180;19350;18000;18130;949
RKKE;W;28/10/24;000000;18440;19150;17070;17220;930
RKKE;W;04/11/24;000000;17800;19390;17400;18720;1325
RKKE;W;11/11/24;000000;19070;19070;17810;18800;1776
RKKE;W;18/11/24;000000;18250;18750;16940;17190;1547
RKKE;W;25/11/24;000000;17200;17280;13820;15610;1549
RKKE;W;02/12/24;000000;15660;15970;14410;15080;858
RKKE;W;09/12/24;000000;15060;15500;14250;14320;570
RKKE;W;16/12/24;000000;14200;15000;13500;14940;1880
RKKE;W;23/12/24;000000;15180;15360;14510;14900;960
RKKE;W;30/12/24;000000;15050;16190;14880;15190;533
RKKE;W;06/01/25;000000;15110;15700;14470;15380;1364
RKKE;W;13/01/25;000000;15460;22260;15000;20070;16095
RKKE;W;20/01/25;000000;20260;20950;18820;19920;8088
RKKE;W;27/01/25;000000;19870;21000;18780;20000;2077
RKKE;W;03/02/25;000000;19720;20100;19000;19090;850
RKKE;W;10/02/25;000000;19200;20290;19070;19400;2006
RKKE;W;17/02/25;000000;19690;20080;18600;19070;10584
RKKE;W;24/02/25;000000;19150;22700;19110;20240;15450
RKKE;W;03/03/25;000000;20270;22650;20270;21010;8136
RKKE;W;10/03/25;000000;21380;22380;20800;21380;3410
RKKE;W;17/03/25;000000;21660;29050;21440;25070;37952
RKKE;W;24/03/25;000000;25960;27870;24900;25610;11844
RKKE;W;31/03/25;000000;25790;28000;24950;27180;12252
RKKE;W;07/04/25;000000;25620;26800;18720;20130;19750
RKKE;W;14/04/25;000000;20070;20700;18800;19290;10601
RKKE;W;21/04/25;000000;19370;19700;18920;19120;3098
RKKE;W;28/04/25;000000;19130;19980;17600;17810;3166
