<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MRKC;W;09/10/23;000000;0.5416;0.5596;0.5318;0.5498;197616000
MRKC;W;16/10/23;000000;0.5518;0.5998;0.546;0.5864;351973000
MRKC;W;23/10/23;000000;0.5962;0.6202;0.5834;0.613;410912000
MRKC;W;30/10/23;000000;0.6138;0.626;0.588;0.5986;356179000
MRKC;W;06/11/23;000000;0.6;0.62;0.595;0.6004;160312000
MRKC;W;13/11/23;000000;0.6032;0.608;0.5506;0.5914;325788000
MRKC;W;20/11/23;000000;0.59;0.6102;0.5874;0.5952;167494000
MRKC;W;27/11/23;000000;0.6;0.6036;0.5742;0.5932;328003000
MRKC;W;04/12/23;000000;0.5904;0.5936;0.5364;0.5716;276549000
MRKC;W;11/12/23;000000;0.5726;0.5726;0.525;0.5462;192574000
MRKC;W;18/12/23;000000;0.5466;0.5878;0.5466;0.5714;219571000
MRKC;W;25/12/23;000000;0.5714;0.575;0.5526;0.5622;152331000
MRKC;W;01/01/24;000000;0.5618;0.5866;0.561;0.5812;83871000
MRKC;W;08/01/24;000000;0.5832;0.6318;0.58;0.6098;315082000
MRKC;W;15/01/24;000000;0.6126;0.6266;0.6036;0.6076;194467000
MRKC;W;22/01/24;000000;0.6116;0.647;0.6086;0.6228;834191000
MRKC;W;29/01/24;000000;0.6226;0.63;0.605;0.6162;283830000
MRKC;W;05/02/24;000000;0.617;0.6194;0.5906;0.5938;209665000
MRKC;W;12/02/24;000000;0.5944;0.5984;0.5714;0.5734;275102000
MRKC;W;19/02/24;000000;0.5732;0.5758;0.5402;0.5642;246267000
MRKC;W;26/02/24;000000;0.5698;0.5808;0.561;0.5672;215715000
MRKC;W;04/03/24;000000;0.5706;0.5832;0.568;0.579;192973000
MRKC;W;11/03/24;000000;0.5794;0.5868;0.562;0.5668;331736000
MRKC;W;18/03/24;000000;0.5678;0.5772;0.5454;0.5698;417378000
MRKC;W;25/03/24;000000;0.569;0.5858;0.5654;0.581;201744000
MRKC;W;01/04/24;000000;0.5818;0.59;0.58;0.5876;213279000
MRKC;W;08/04/24;000000;0.5876;0.6092;0.5874;0.5986;268435000
MRKC;W;15/04/24;000000;0.5986;0.6276;0.5962;0.6108;350897000
MRKC;W;22/04/24;000000;0.6118;0.623;0.5966;0.622;234236000
MRKC;W;29/04/24;000000;0.626;0.648;0.6212;0.6396;342524000
MRKC;W;06/05/24;000000;0.6454;0.6614;0.6124;0.6336;647946000
MRKC;W;13/05/24;000000;0.6418;0.658;0.5916;0.6024;867559000
MRKC;W;20/05/24;000000;0.6054;0.613;0.5756;0.5844;379756000
MRKC;W;27/05/24;000000;0.588;0.588;0.5438;0.5468;399577000
MRKC;W;03/06/24;000000;0.5464;0.5798;0.531;0.576;262930000
MRKC;W;10/06/24;000000;0.58;0.5866;0.5352;0.5786;194631000
MRKC;W;17/06/24;000000;0.5824;0.5996;0.554;0.5776;247513000
MRKC;W;24/06/24;000000;0.5784;0.5836;0.5668;0.577;195017000
MRKC;W;01/07/24;000000;0.5838;0.5942;0.4804;0.5032;1483663000
MRKC;W;08/07/24;000000;0.4992;0.5036;0.4166;0.4492;641172000
MRKC;W;15/07/24;000000;0.4528;0.467;0.4242;0.4518;361827000
MRKC;W;22/07/24;000000;0.4562;0.4738;0.4432;0.4614;281763000
MRKC;W;29/07/24;000000;0.457;0.46;0.443;0.4512;163445000
MRKC;W;05/08/24;000000;0.4482;0.4556;0.428;0.4306;284446000
