<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;W;09/10/23;000000;263.02;265.97;257;263.51;154147080
SBER;W;16/10/23;000000;263.99;271.97;263.51;269.8;211353730
SBER;W;23/10/23;000000;270.47;276;266.8;269.7;241242440
SBER;W;30/10/23;000000;269.9;271.55;266.87;268.54;126436030
SBER;W;06/11/23;000000;269;281.3;268.62;280.19;192274030
SBER;W;13/11/23;000000;280.4;284.8;278.51;281.6;183852360
SBER;W;20/11/23;000000;281.8;287.77;281.61;286.85;145227460
SBER;W;27/11/23;000000;287.41;289;272.75;273.97;241720010
SBER;W;04/12/23;000000;273.59;280.79;263.06;265.16;282938130
SBER;W;11/12/23;000000;265.17;268.91;254.81;268.21;296279690
SBER;W;18/12/23;000000;268.9;271.9;263.5;271.3;212575740
SBER;W;25/12/23;000000;271.75;273.85;268.52;270.82;127803910
SBER;W;01/01/24;000000;271.75;275.48;271;273.62;41710490
SBER;W;08/01/24;000000;273.59;278;273.53;275.84;99438340
SBER;W;15/01/24;000000;276.3;279.17;273.55;274.86;117215240
SBER;W;22/01/24;000000;274.89;277.26;271.55;272.65;90780250
SBER;W;29/01/24;000000;273.05;277.75;272.7;276.74;85423800
SBER;W;05/02/24;000000;276.94;286.24;276.9;283.5;145651550
SBER;W;12/02/24;000000;283.67;292.3;283.5;288.33;182263870
SBER;W;19/02/24;000000;288.59;289.98;280.2;284.77;143123870
SBER;W;26/02/24;000000;288.52;295.88;287;295.38;173679250
SBER;W;04/03/24;000000;295.8;300.58;295.8;300.4;121826880
SBER;W;11/03/24;000000;300.99;302.95;295.14;298.3;162272920
SBER;W;18/03/24;000000;299.41;299.98;291.05;292.99;230055210
SBER;W;25/03/24;000000;294;299.5;292.13;298.72;107511680
SBER;W;01/04/24;000000;299.99;307.77;298.95;306.1;154850550
SBER;W;08/04/24;000000;306.5;309.35;304.62;307.1;113908490
SBER;W;15/04/24;000000;307.4;309.74;305.05;307.38;100672390
SBER;W;22/04/24;000000;307.99;315.79;306.26;308.98;238190960
SBER;W;29/04/24;000000;309.13;309.6;304.34;307.53;62661430
SBER;W;06/05/24;000000;308.08;313.5;305.55;313.49;86257980
SBER;W;13/05/24;000000;314.1;323.5;313.58;323.16;136992870
SBER;W;20/05/24;000000;324;324.85;318;321;133571060
SBER;W;27/05/24;000000;321.08;321.95;309.8;313.11;174855770
SBER;W;03/06/24;000000;313.5;320.64;305;319.9;195290020
SBER;W;10/06/24;000000;320.79;321.98;304.14;319.35;108384760
SBER;W;17/06/24;000000;320;320.45;306.02;314.14;181429580
SBER;W;24/06/24;000000;314.57;329.3;314.14;327.15;185068950
SBER;W;01/07/24;000000;327.68;330.45;321.01;325;166060740
SBER;W;08/07/24;000000;325.76;327.44;285.22;292.21;383819990
SBER;W;15/07/24;000000;292.93;293.86;276.7;289.9;249316410
SBER;W;22/07/24;000000;291;300;291;293.3;187678830
SBER;W;29/07/24;000000;292.94;292.94;284.32;286.04;169374030
SBER;W;05/08/24;000000;282.79;285.42;275.17;281.44;238008600
SBER;W;12/08/24;000000;280.17;284.7;274.32;274.6;128144160
SBER;W;19/08/24;000000;275.08;275.56;255.56;259.5;284350390
SBER;W;26/08/24;000000;263.55;266.95;254;254.45;210767020
SBER;W;02/09/24;000000;254.03;258.17;240.01;254.77;393415600
SBER;W;09/09/24;000000;256;264.61;248.75;258.25;319250710
SBER;W;16/09/24;000000;259.65;269.21;257.8;269.08;227561070
SBER;W;23/09/24;000000;269.32;273.94;265.41;268.07;180699470
SBER;W;30/09/24;000000;269.25;272.33;257.2;264.09;223282210
SBER;W;07/10/24;000000;264.25;267;256.8;256.94;112428340
SBER;W;14/10/24;000000;256.47;264.72;254.1;257.19;185033870
SBER;W;21/10/24;000000;257.27;259.85;245.7;246.35;178157800
SBER;W;28/10/24;000000;245.07;249;234.57;238.97;278759950
SBER;W;04/11/24;000000;239.61;255.99;238.07;255.98;208199100
SBER;W;11/11/24;000000;257.98;261.3;248.05;253.43;245627110
SBER;W;18/11/24;000000;249.09;251.94;234;236;317372810
SBER;W;25/11/24;000000;236;237.1;219.2;236.49;423462890
SBER;W;02/12/24;000000;237.09;238.7;222.82;237.84;330644570
SBER;W;09/12/24;000000;239.27;240.51;227.85;228.7;280890790
SBER;W;16/12/24;000000;228.6;258.98;223.72;257.6;517344840
SBER;W;23/12/24;000000;260;274.25;256.51;272.83;539043590
SBER;W;30/12/24;000000;273.99;280.41;271.8;272.25;95282560
SBER;W;06/01/25;000000;270.88;279.53;270.07;278.77;178417030
SBER;W;13/01/25;000000;280.65;284.75;276.06;283.53;266195510
SBER;W;20/01/25;000000;285.11;286.23;276.32;280.74;225543890
SBER;W;27/01/25;000000;280.72;284.11;274.01;280.73;185550650
SBER;W;03/02/25;000000;280.21;288.92;275.34;285.81;194281470
SBER;W;10/02/25;000000;287.64;318.72;287.61;309.87;557960670
SBER;W;17/02/25;000000;314;320.92;310.21;314.74;285814350
SBER;W;24/02/25;000000;314.93;318.59;304.05;307.44;277914410
SBER;W;03/03/25;000000;306.45;321.87;300.2;316.92;355019920
SBER;W;10/03/25;000000;317;323.5;312.5;323.44;283514760
SBER;W;17/03/25;000000;323.45;329.77;321.8;323.26;242405540
SBER;W;24/03/25;000000;323.26;323.94;298.8;299.22;204831110
SBER;W;31/03/25;000000;300.07;312.9;280.11;290.35;298338060
