<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CHMF;W;09/10/23;000000;1366.8;1415.6;1352;1378.2;4141939
CHMF;W;16/10/23;000000;1379.8;1437.8;1368;1409.8;4226037
CHMF;W;23/10/23;000000;1410;1411.6;1340.4;1362.8;2551869
CHMF;W;30/10/23;000000;1363.2;1384.4;1341;1372;2187639
CHMF;W;06/11/23;000000;1374;1400;1349;1366.8;3502697
CHMF;W;13/11/23;000000;1364;1388.4;1313.6;1351;2854380
CHMF;W;20/11/23;000000;1351.2;1356;1308.6;1317.2;3621651
CHMF;W;27/11/23;000000;1317;1317;1254;1257;3797176
CHMF;W;04/12/23;000000;1257;1303.6;1228.2;1270.4;4083983
CHMF;W;11/12/23;000000;1269;1289.4;1216.4;1273.6;3434725
CHMF;W;18/12/23;000000;1275.2;1354.8;1273.6;1333.8;4789941
CHMF;W;25/12/23;000000;1333.8;1414;1333;1407;3376624
CHMF;W;01/01/24;000000;1407;1444.6;1403.4;1442.4;1272992
CHMF;W;08/01/24;000000;1444.4;1573.8;1417.2;1561.4;10763473
CHMF;W;15/01/24;000000;1564.8;1583.8;1525;1582;5549151
CHMF;W;22/01/24;000000;1584.2;1624.8;1577;1602;5507516
CHMF;W;29/01/24;000000;1609;1710;1592.2;1627.8;14492342
CHMF;W;05/02/24;000000;1623;1627.6;1555;1587;7279801
CHMF;W;12/02/24;000000;1590.6;1622;1567.2;1603;4666767
CHMF;W;19/02/24;000000;1603.4;1610.6;1550;1581.6;3263334
CHMF;W;26/02/24;000000;1594.2;1678.8;1594.2;1671.2;4771735
CHMF;W;04/03/24;000000;1674.8;1706.2;1661.6;1704.2;3006004
CHMF;W;11/03/24;000000;1706.4;1740;1696.2;1721.8;3412606
CHMF;W;18/03/24;000000;1724.4;1805;1708.6;1774.2;5337350
CHMF;W;25/03/24;000000;1778.6;1894.4;1775.6;1877.8;5435180
CHMF;W;01/04/24;000000;1877.8;1896;1815.6;1818;3864392
CHMF;W;08/04/24;000000;1817.6;1867.2;1805.8;1831.6;3445605
CHMF;W;15/04/24;000000;1831.8;1885;1814.2;1864.4;3840289
CHMF;W;22/04/24;000000;1868;1889;1850;1887.6;4084410
CHMF;W;29/04/24;000000;1892.4;1946;1887.2;1915.4;2910469
CHMF;W;06/05/24;000000;1917;1963;1890;1960;2014085
CHMF;W;13/05/24;000000;1969.8;1989.2;1953;1970.2;2391552
CHMF;W;20/05/24;000000;1974.2;2009;1937.6;1990.8;3547638
CHMF;W;27/05/24;000000;1990.6;2011.8;1710.6;1778;8709732
CHMF;W;03/06/24;000000;1793.2;1866.6;1770;1841.4;6954993
CHMF;W;10/06/24;000000;1861.4;1892;1707.4;1836.4;6010202
CHMF;W;17/06/24;000000;1841.2;1862;1489.8;1575.8;16746838
CHMF;W;24/06/24;000000;1570.2;1595;1522;1549.8;3963157
CHMF;W;01/07/24;000000;1552.2;1601;1505;1529.6;4223307
CHMF;W;08/07/24;000000;1529.8;1546;1391.6;1471.6;5551504
CHMF;W;15/07/24;000000;1480.4;1521.6;1374.6;1502.8;6611604
CHMF;W;22/07/24;000000;1506.8;1519;1411;1443.6;5908973
CHMF;W;29/07/24;000000;1441;1442.4;1392;1405.6;3034809
CHMF;W;05/08/24;000000;1394;1408.2;1351;1383.6;3074427
CHMF;W;12/08/24;000000;1384;1413.2;1365.2;1375;2502570
CHMF;W;19/08/24;000000;1375;1382.2;1234.6;1253.2;3671074
CHMF;W;26/08/24;000000;1280.4;1349.2;1220;1225;4353438
CHMF;W;02/09/24;000000;1224.2;1294.8;1140.2;1244;6966115
CHMF;W;09/09/24;000000;1248.2;1315;1160.6;1233.8;7240206
CHMF;W;16/09/24;000000;1236.4;1319;1235;1319;4690539
CHMF;W;23/09/24;000000;1325;1340;1260.4;1288.4;5317933
CHMF;W;30/09/24;000000;1290.2;1315;1208.4;1236;5211741
CHMF;W;07/10/24;000000;1236;1247.6;1204;1221;3767236
CHMF;W;14/10/24;000000;1219.8;1265.6;1170.2;1192.2;6841027
CHMF;W;21/10/24;000000;1193.2;1229;1135.2;1144.2;6620381
CHMF;W;28/10/24;000000;1137;1142;1076.4;1113;5390793
CHMF;W;04/11/24;000000;1113.4;1210;1104;1209.8;3760276
CHMF;W;11/11/24;000000;1226;1274;1190.2;1235;5132613
CHMF;W;18/11/24;000000;1199.4;1224.2;1085;1130.4;4744786
CHMF;W;25/11/24;000000;1131.4;1137;1050;1123.2;6040375
CHMF;W;02/12/24;000000;1132;1148.2;1040.4;1097.4;5409927
CHMF;W;09/12/24;000000;1100.8;1128.6;1076;1091.2;3616041
CHMF;W;16/12/24;000000;1088.2;1206.8;1005.4;1163;6518134
CHMF;W;23/12/24;000000;1170.4;1239.6;1118.4;1232.2;9498353
CHMF;W;30/12/24;000000;1241.4;1337.4;1235;1288.6;2905363
CHMF;W;06/01/25;000000;1279.8;1297.6;1227.2;1292.2;3321875
CHMF;W;13/01/25;000000;1295;1333.6;1245;1326.8;5221496
CHMF;W;20/01/25;000000;1342.4;1365.8;1221;1243.4;6874975
CHMF;W;27/01/25;000000;1243.4;1285.2;1203.2;1211.8;7416248
CHMF;W;03/02/25;000000;1211.8;1212.4;1162.8;1207.6;11833055
CHMF;W;10/02/25;000000;1209.2;1429.2;1198.6;1307.6;7499562
CHMF;W;17/02/25;000000;1316;1395;1300;1385.8;5561512
CHMF;W;24/02/25;000000;1379;1449.4;1317.4;1347;6658558
CHMF;W;03/03/25;000000;1343.4;1395;1301;1357.2;5451554
CHMF;W;10/03/25;000000;1360;1365.6;1283.2;1313.2;3910370
