<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SVAV;W;09/10/23;000000;1006.5;1021;975;992.5;783480
SVAV;W;16/10/23;000000;996;1042;982;1009.5;1288890
SVAV;W;23/10/23;000000;1019;1024;965;975;524770
SVAV;W;30/10/23;000000;976.5;989;928;950;523170
SVAV;W;06/11/23;000000;953.5;958.5;847;847;588980
SVAV;W;13/11/23;000000;853;923;660;855;4005600
SVAV;W;20/11/23;000000;883.5;890;765;778.5;903890
SVAV;W;27/11/23;000000;779;810;730;737.5;809790
SVAV;W;04/12/23;000000;730.5;736.5;661;682.5;791290
SVAV;W;11/12/23;000000;687;713;656;694.5;426950
SVAV;W;18/12/23;000000;724;920;706;825;4740270
SVAV;W;25/12/23;000000;830;848.5;780;793.5;1284840
SVAV;W;01/01/24;000000;799;848.5;793;820;572980
SVAV;W;08/01/24;000000;824.5;894;822.5;866;1839110
SVAV;W;15/01/24;000000;869.5;970;867.5;910.5;2765740
SVAV;W;22/01/24;000000;913.5;938;890.5;900.5;576990
SVAV;W;29/01/24;000000;902;936;890;908.5;505280
SVAV;W;05/02/24;000000;909.5;925;877.5;891.5;448430
SVAV;W;12/02/24;000000;891;910;856;877.5;593210
SVAV;W;19/02/24;000000;877.5;895;800;827.5;549110
SVAV;W;26/02/24;000000;849;870.5;842;854.5;278008
SVAV;W;04/03/24;000000;859;903;848.5;867.5;654929
SVAV;W;11/03/24;000000;867.5;876.5;820;845.5;334202
SVAV;W;18/03/24;000000;847;890;823;841;506295
SVAV;W;25/03/24;000000;841.5;852;830;843;241030
SVAV;W;01/04/24;000000;846;917.5;841;878.5;1003225
SVAV;W;08/04/24;000000;879.5;900.5;867;880.5;669034
SVAV;W;15/04/24;000000;883.5;888.5;843.5;859;470778
SVAV;W;22/04/24;000000;858.5;871.5;825;842;529590
SVAV;W;29/04/24;000000;844;994;830;929;6686479
SVAV;W;06/05/24;000000;933;997.5;899;935;3240770
SVAV;W;13/05/24;000000;946;1085;938.5;1060;8508127
SVAV;W;20/05/24;000000;1070.5;1070.5;993;1017.5;2132574
SVAV;W;27/05/24;000000;1019;1035;844.5;906;1758437
SVAV;W;03/06/24;000000;910;994;861;991.5;1320763
SVAV;W;10/06/24;000000;1000;1022.5;899.5;971.5;653306
SVAV;W;17/06/24;000000;980.5;992;907;934;401149
SVAV;W;24/06/24;000000;938.5;985;926;981;518735
SVAV;W;01/07/24;000000;988;1005;872;886;1185687
SVAV;W;08/07/24;000000;885.5;885.5;707;765.5;1299397
SVAV;W;15/07/24;000000;766;838;765.5;823;782970
SVAV;W;22/07/24;000000;832.5;866.5;801;810;669074
SVAV;W;29/07/24;000000;809;837.5;782;807;281882
SVAV;W;05/08/24;000000;802;824.5;785;791;307146
SVAV;W;12/08/24;000000;795;835;789;800;400134
SVAV;W;19/08/24;000000;806;811.5;700;733;444754
SVAV;W;26/08/24;000000;752;780;683.5;692;452999
SVAV;W;02/09/24;000000;693;715.5;622;683;706611
SVAV;W;09/09/24;000000;692.5;726;674;699;432326
SVAV;W;16/09/24;000000;707;832.5;699;810;2123697
SVAV;W;23/09/24;000000;815;840;790.5;804.5;506836
SVAV;W;30/09/24;000000;809.5;848;766;788;1048393
SVAV;W;07/10/24;000000;797.5;844;773;809;1645612
SVAV;W;14/10/24;000000;809.5;853;787.5;799;1548603
SVAV;W;21/10/24;000000;805;819.5;744;758.5;522249
SVAV;W;28/10/24;000000;747.5;756.5;700.5;743;893093
SVAV;W;04/11/24;000000;749.5;778.5;727;774;581723
SVAV;W;11/11/24;000000;782.5;818.5;773.5;794;784995
SVAV;W;18/11/24;000000;775;790.5;710.5;732;510514
SVAV;W;25/11/24;000000;731.5;737.5;620.5;682.5;717997
SVAV;W;02/12/24;000000;691;702;639;665;348806
SVAV;W;09/12/24;000000;667.5;680;620.5;621;212435
SVAV;W;16/12/24;000000;623;679.5;571;672;732089
SVAV;W;23/12/24;000000;691;710.5;630;674;788661
SVAV;W;30/12/24;000000;679.5;710;675;690;374929
SVAV;W;06/01/25;000000;685.5;756;681;739.5;740468
SVAV;W;13/01/25;000000;749.5;794;738;769.5;733631
SVAV;W;20/01/25;000000;778.5;783.5;735;753.5;616657
SVAV;W;27/01/25;000000;753.5;828;731;781;1286279
SVAV;W;03/02/25;000000;774.5;804.5;750.5;773;381970
SVAV;W;10/02/25;000000;779;815;750;774;1095782
SVAV;W;17/02/25;000000;784;812;772;783;925850
SVAV;W;24/02/25;000000;792.5;849;752.5;788.5;2619785
SVAV;W;03/03/25;000000;779;809.5;760;786;533500
SVAV;W;10/03/25;000000;786;797;725;758.5;473336
SVAV;W;17/03/25;000000;767;813;757;768;836187
SVAV;W;24/03/25;000000;767;777.5;706.5;706.5;401084
SVAV;W;31/03/25;000000;702;755;667;683.5;743740
SVAV;W;07/04/25;000000;669.5;684.5;608.5;681;781689
SVAV;W;14/04/25;000000;680;694.5;658;687;296996
SVAV;W;21/04/25;000000;694;725.5;691;711.5;738792
SVAV;W;28/04/25;000000;711.5;716.5;672.5;698;207168
