<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GRODA;W;09/10/23;000000;857.13;866.35;848.64;863.26;75275189.055011
GRODA;W;16/10/23;000000;864.52;887.6;864.52;882.96;100020610.913894
GRODA;W;23/10/23;000000;883.27;889.36;862.53;872.93;96439481.881368
GRODA;W;30/10/23;000000;874.32;881.51;860.95;871.14;72129027.131139
GRODA;W;06/11/23;000000;872.93;889.93;872.93;879.68;72999786.732729
GRODA;W;13/11/23;000000;880.04;885.6;854.89;865.83;91053294.694211
GRODA;W;20/11/23;000000;866.57;874.36;858.73;858.89;58316877.033247
GRODA;W;27/11/23;000000;859.32;860.79;819.62;820.12;69950686.025154
GRODA;W;04/12/23;000000;818.17;819.09;779.76;800.32;74380586.3764
GRODA;W;11/12/23;000000;801.1;801.45;769.3;797.69;66193892.709596
GRODA;W;18/12/23;000000;799.97;833.52;799.97;827.17;88097368.425979
GRODA;W;25/12/23;000000;825.76;836.78;821.46;821.89;79560505.995163
GRODA;W;01/01/24;000000;824.21;845.07;824.21;840.31;24451148.989473
GRODA;W;08/01/24;000000;843.39;871.2;843.3;867.17;82510353.591094
GRODA;W;15/01/24;000000;869.31;882.23;867.39;871.85;86062694.074298
GRODA;W;22/01/24;000000;873.29;882.11;869.08;873.31;59405374.092486
GRODA;W;29/01/24;000000;876.96;889.1;876.56;884.44;71059273.092378
GRODA;W;05/02/24;000000;884.9;896.49;877.51;880.51;69058340.250703
GRODA;W;12/02/24;000000;882.01;903.09;879.1;891.13;73439470.342405
GRODA;W;19/02/24;000000;891.74;898.02;790.72;863.9;81397046.395506
GRODA;W;26/02/24;000000;871.22;891.46;871.22;888.6;85033463.626413
GRODA;W;04/03/24;000000;890.65;901.28;885.66;901.23;65639530.94392
GRODA;W;11/03/24;000000;903.44;909.99;886.96;895.48;60500194.150128
GRODA;W;18/03/24;000000;898.13;908.59;886.41;892.61;99887681.815946
GRODA;W;25/03/24;000000;894.37;920.83;889.97;919.12;72277463.313931
GRODA;W;01/04/24;000000;922.42;950.71;922.42;942.32;78032927.859507
GRODA;W;08/04/24;000000;942.37;967.82;942.37;964.15;103053305.201864
GRODA;W;15/04/24;000000;964.46;978.39;962.97;969.16;81660063.555618
GRODA;W;22/04/24;000000;970.68;975.98;956.49;969.83;106668389.995334
GRODA;W;29/04/24;000000;971.17;983.8;970.65;976.06;51290041.35338
GRODA;W;06/05/24;000000;976.57;983.37;968.83;983.36;56062517.852927
GRODA;W;13/05/24;000000;984.68;998.68;982.13;997.47;122300971.287256
