<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBMXA;W;09/10/23;000000;18.005;18.2313;17.8428;18.2072;15135682277.170012
SBMXA;W;16/10/23;000000;18.2722;18.6524;18.2722;18.6512;18641454212.987934
SBMXA;W;23/10/23;000000;18.666;18.7319;18.1767;18.3913;17982407229.2674
SBMXA;W;30/10/23;000000;18.4349;18.5146;18.1197;18.299;12031832911.145708
SBMXA;W;06/11/23;000000;18.3049;18.5753;18.2914;18.4869;11705376928.122257
SBMXA;W;13/11/23;000000;18.4809;18.542;17.9719;18.2797;13168817164.464758
SBMXA;W;20/11/23;000000;18.2695;18.465;18.207;18.3415;11982378043.129929
SBMXA;W;27/11/23;000000;18.3551;18.3777;17.89;17.9218;14264151324.879671
SBMXA;W;04/12/23;000000;17.7952;17.9445;17.3453;17.5634;13721039925.033825
SBMXA;W;11/12/23;000000;17.5657;17.5739;17.0666;17.4769;15715895191.253511
SBMXA;W;18/12/23;000000;17.5844;17.9292;17.5664;17.818;16195340277.907269
SBMXA;W;25/12/23;000000;17.8333;18.0057;17.7914;17.9287;13402146046.442991
SBMXA;W;01/01/24;000000;17.9285;18.1873;17.9285;18.1489;3727326580.105815
SBMXA;W;08/01/24;000000;18.1717;18.6119;18.1662;18.5446;13699237021.858381
SBMXA;W;15/01/24;000000;18.5774;18.6337;18.3643;18.4323;12641400221.159779
SBMXA;W;22/01/24;000000;18.4105;18.5303;18.2997;18.408;11939343631.131886
SBMXA;W;29/01/24;000000;18.4617;18.8125;18.4571;18.7724;15618347369.859802
SBMXA;W;05/02/24;000000;18.743;19.0026;18.7294;18.8615;17686250027.582428
SBMXA;W;12/02/24;000000;18.8669;19.0491;18.7757;18.8585;15940960255.478592
SBMXA;W;19/02/24;000000;18.8871;18.9194;18.2381;18.2733;15288256774.750668
SBMXA;W;26/02/24;000000;18.5412;19.0103;18.5412;18.9952;15414761291.69774
SBMXA;W;04/03/24;000000;19.0664;19.2919;19.0624;19.2775;12447132022.01893
SBMXA;W;11/03/24;000000;19.3583;19.4361;19.1143;19.1832;14936995937.180002
SBMXA;W;18/03/24;000000;19.2335;19.2567;18.918;19.025;28078217451.43281
SBMXA;W;25/03/24;000000;18.8943;19.3929;18.8012;19.3929;15418442708.098944
SBMXA;W;01/04/24;000000;19.4636;19.8376;19.4636;19.7552;20165148837.07909
SBMXA;W;08/04/24;000000;19.7865;20.1475;19.7865;20.1034;16267997883.23125
SBMXA;W;15/04/24;000000;20.1007;20.2343;19.9891;20.1863;14834679593.747969
SBMXA;W;22/04/24;000000;20.1742;20.2818;19.9076;20.1536;18120612276.687794
SBMXA;W;29/04/24;000000;20.1627;20.2717;19.9132;20.0115;7757930421.692859
SBMXA;W;06/05/24;000000;20.0158;20.2677;19.8818;20.253;10255566169.99491
SBMXA;W;13/05/24;000000;20.306;20.5808;20.246;20.5525;16187393103.871244
SBMXA;W;20/05/24;000000;20.6439;20.6657;19.8263;19.9361;18372158286.77396
SBMXA;W;27/05/24;000000;19.8621;19.9155;18.8975;18.9299;18481860905.508446
SBMXA;W;03/06/24;000000;18.8295;19.2531;18.1958;19.0443;21499949069.035572
SBMXA;W;10/06/24;000000;19.1285;19.1858;18.2156;18.9711;15181814592.354824
SBMXA;W;17/06/24;000000;19.0015;19.0051;17.7407;18.4445;22418865537.526707
SBMXA;W;24/06/24;000000;18.3973;18.7383;18.2077;18.6748;14074191821.124676
SBMXA;W;01/07/24;000000;18.733;19.0957;18.3717;18.6411;17163993003.725353
SBMXA;W;08/07/24;000000;18.7042;18.7889;17.5521;17.9838;23585314329.034233
SBMXA;W;15/07/24;000000;18.0993;18.4811;17.4704;18.3827;22059608968.50488
SBMXA;W;22/07/24;000000;18.4712;18.6906;18.1679;18.2891;17184930472.54929
SBMXA;W;29/07/24;000000;18.2107;18.2107;17.6502;17.7206;15851825257.034075
SBMXA;W;05/08/24;000000;17.7133;17.7133;17.1406;17.411;16798509108.4249
SBMXA;W;12/08/24;000000;17.3669;17.7774;17.2059;17.2853;12868970696.009342
SBMXA;W;19/08/24;000000;17.2259;17.2726;16.1974;16.2708;23536256599.302376
SBMXA;W;26/08/24;000000;16.7758;17.1046;16.1398;16.1945;24666034317.51441
SBMXA;W;02/09/24;000000;15.9841;16.2618;15.354;16.0267;26985459082.498447
SBMXA;W;09/09/24;000000;16.1675;16.6819;15.7849;16.3711;21855750648.322052
SBMXA;W;16/09/24;000000;16.4957;17.1037;16.4107;17.0222;21103900357.901443
SBMXA;W;23/09/24;000000;17.125;17.6631;17.125;17.4964;25044923749.818935
SBMXA;W;30/09/24;000000;17.528;17.693;16.7758;17.1703;22926734649.89317
SBMXA;W;07/10/24;000000;17.1828;17.2443;16.8622;16.9633;15024221319.491032
SBMXA;W;14/10/24;000000;16.8862;17.4027;16.7731;16.9733;17806176920.43255
SBMXA;W;21/10/24;000000;17.0223;17.1543;16.3786;16.3968;20723273092.35943
SBMXA;W;28/10/24;000000;16.3828;16.3828;15.6687;15.989;26937214880.12416
SBMXA;W;04/11/24;000000;16.0619;16.9398;16.0276;16.8476;21224273228.021408
SBMXA;W;11/11/24;000000;17.0797;17.2357;16.6022;16.8731;23923029392.128002
SBMXA;W;18/11/24;000000;16.9271;16.9271;15.7549;15.8987;30654089781.965584
SBMXA;W;25/11/24;000000;15.9559;15.9894;14.9825;15.8996;39057890358.036095
SBMXA;W;02/12/24;000000;15.8746;16.0336;15.0554;15.6457;28818601851.978966
SBMXA;W;09/12/24;000000;15.6504;15.9491;15.2271;15.3402;21984354740.384754
SBMXA;W;16/12/24;000000;15.3013;16.6298;14.8508;16.5421;38281950430.89583
SBMXA;W;23/12/24;000000;16.5421;17.5346;16.5421;17.4611;42572140170.05572
SBMXA;W;30/12/24;000000;17.553;18.1078;17.553;17.7231;8439382653.291301
SBMXA;W;06/01/25;000000;17.7013;17.9131;17.2795;17.78;19880915207.316483
SBMXA;W;13/01/25;000000;17.8195;18.5641;17.8095;18.5399;29801988235.35545
SBMXA;W;20/01/25;000000;18.5712;18.7709;18.1615;18.5519;27092464681.34865
SBMXA;W;27/01/25;000000;18.5185;18.8452;18.0418;18.5489;23817305202.56736
SBMXA;W;03/02/25;000000;18.4606;18.778;18.1823;18.6617;24390673899.985237
SBMXA;W;10/02/25;000000;18.8206;20.6826;18.7623;20.0328;48605038959.84106
SBMXA;W;17/02/25;000000;20.4785;20.9642;20.2622;20.6475;35994291132.40572
SBMXA;W;24/02/25;000000;20.8191;21.1955;19.8068;20.1232;31779551522.71039
SBMXA;W;03/03/25;000000;20.0346;20.6296;19.6656;19.8929;31653298157.221294
SBMXA;W;10/03/25;000000;20.2718;20.2828;19.4898;20.0789;21023772499.327213
SBMXA;W;17/03/25;000000;20.4173;20.6147;19.9897;20.0614;25553321194.444244
SBMXA;W;24/03/25;000000;20.126;20.1313;18.8648;19.0149;21416716752.940453
SBMXA;W;31/03/25;000000;18.9132;19.1285;17.4593;17.4802;30475720753.1161
