<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;W;09/10/23;000000;3166.21;3196.44;3122.58;3192.33;86680548.07267
IMOEX;W;16/10/23;000000;3204.81;3269.71;3202.94;3269.27;106469000.929561
IMOEX;W;23/10/23;000000;3271.76;3283.8;3185.84;3224.18;102611546.931787
IMOEX;W;30/10/23;000000;3232.82;3246;3176.53;3208.63;68842002.463486
IMOEX;W;06/11/23;000000;3207.47;3257.32;3207.1;3242.06;66868705.804566
IMOEX;W;13/11/23;000000;3241.31;3251.74;3151.95;3206.34;75378083.821595
IMOEX;W;20/11/23;000000;3205.73;3239.17;3193.46;3217.76;67484699.829494
IMOEX;W;27/11/23;000000;3220.25;3224.61;3136.56;3142.29;79913661.663955
IMOEX;W;04/12/23;000000;3123.18;3146.52;3041.11;3079.99;76660925.833109
IMOEX;W;11/12/23;000000;3081.88;3082.3;2959.29;3033.89;84427722.985834
IMOEX;W;18/12/23;000000;3052.14;3113.92;3048.82;3092.58;88785988.786127
IMOEX;W;25/12/23;000000;3095.42;3112.19;3080.92;3099.11;76696585.174898
IMOEX;W;01/01/24;000000;3099.78;3144.25;3099.1;3136.37;21322608.967645
IMOEX;W;08/01/24;000000;3140.12;3196.98;3139.37;3185.22;80763009.043699
IMOEX;W;15/01/24;000000;3190.62;3200.78;3154.46;3166.37;74712327.926355
IMOEX;W;22/01/24;000000;3161.44;3183.7;3143.89;3163.21;68409906.274188
IMOEX;W;29/01/24;000000;3169.57;3233.21;3169.57;3226.35;91130602.835182
IMOEX;W;05/02/24;000000;3218.91;3266.45;3218.91;3242.38;102607614.066424
IMOEX;W;12/02/24;000000;3241.57;3275.23;3227.7;3242.48;68033338.530998
IMOEX;W;19/02/24;000000;3247.46;3253.02;3135.8;3142.3;81908654.486285
IMOEX;W;26/02/24;000000;3186.06;3269.28;3186.06;3266.66;88691124.542897
IMOEX;W;04/03/24;000000;3278.01;3318.14;3277.85;3315.68;71292790.398471
IMOEX;W;11/03/24;000000;3329.72;3343.56;3287.86;3300.07;86054546.873132
IMOEX;W;18/03/24;000000;3305.67;3313.05;3254.3;3273.49;159415646.684892
IMOEX;W;25/03/24;000000;3251.24;3332.53;3234.95;3332.53;88929609.423523
IMOEX;W;01/04/24;000000;3343.66;3409.62;3343.66;3395.37;116231411.311883
IMOEX;W;08/04/24;000000;3400.82;3464;3400.82;3456.24;93676016.447962
IMOEX;W;15/04/24;000000;3456.38;3479.04;3436.95;3470.88;85129139.943786
IMOEX;W;22/04/24;000000;3468.09;3487.55;3423.17;3465.85;103817755.168993
IMOEX;W;29/04/24;000000;3468.92;3486.3;3424.63;3441.77;44283847.376771
IMOEX;W;06/05/24;000000;3441.7;3452.33;3405.82;3449.78;60203628.311644
IMOEX;W;13/05/24;000000;3459.05;3506.91;3448.5;3501.89;94054587.669574
IMOEX;W;20/05/24;000000;3516.4;3521.72;3377.64;3396.5;107982530.761553
IMOEX;W;27/05/24;000000;3384.74;3392.99;3211.19;3217.19;107959509.75126
IMOEX;W;03/06/24;000000;3192.3;3268.89;3087.99;3233.22;123702554.49146
IMOEX;W;10/06/24;000000;3245.4;3255.49;3032.05;3215.91;89572492.54815
IMOEX;W;17/06/24;000000;3219.29;3221.84;2996.44;3114.35;134394283.576
IMOEX;W;24/06/24;000000;3109.22;3165.31;3074.51;3154.36;83473395.294354
IMOEX;W;01/07/24;000000;3160.7;3226.16;3103.49;3149.29;108398793.566167
IMOEX;W;08/07/24;000000;3159.18;3174.42;2901.61;2973.21;142013486.674679
IMOEX;W;15/07/24;000000;2986.32;3024.88;2879.23;3008.24;132535903.466301
IMOEX;W;22/07/24;000000;3023.1;3060.68;2972.53;2993.23;106255600.496154
IMOEX;W;29/07/24;000000;2979.43;2979.43;2887.3;2899;97472613.392698
IMOEX;W;05/08/24;000000;2859.12;2888.1;2803.47;2848.29;103801175.253316
IMOEX;W;12/08/24;000000;2840.33;2908.63;2814.58;2828.2;77904215.014925
IMOEX;W;19/08/24;000000;2819.72;2826.24;2650.19;2662.47;143350498.292088
IMOEX;W;26/08/24;000000;2746.97;2800;2641.08;2650.32;149404083.484405
IMOEX;W;02/09/24;000000;2622.55;2662;2512.7;2623.37;170913508.74858
IMOEX;W;09/09/24;000000;2642.31;2729.73;2582.79;2678.99;132960747.877069
IMOEX;W;16/09/24;000000;2696.66;2795.72;2685.38;2782.35;127546713.036845
IMOEX;W;23/09/24;000000;2797;2887.68;2797;2858.56;153543296.70741
IMOEX;W;30/09/24;000000;2861.37;2889.87;2739.92;2804.62;140642655.775336
IMOEX;W;07/10/24;000000;2807.85;2817.45;2737.96;2754.52;92576600.135458
IMOEX;W;14/10/24;000000;2744.93;2827.15;2723.3;2751.9;109939603.337265
IMOEX;W;21/10/24;000000;2759.58;2783.82;2657.31;2660.36;128119351.264596
IMOEX;W;28/10/24;000000;2635.95;2652.12;2541.82;2594.38;166519070.832225
IMOEX;W;04/11/24;000000;2614.13;2749.62;2600.48;2734.56;131229899.566677
IMOEX;W;11/11/24;000000;2782.97;2797.94;2694.56;2739.21;147837313.560093
IMOEX;W;18/11/24;000000;2703.31;2729.49;2557.54;2581.05;189443721.851673
IMOEX;W;25/11/24;000000;2583.42;2592.89;2426.02;2578;241415827.030699
IMOEX;W;02/12/24;000000;2584.19;2600.28;2438.84;2536.23;178184438.010965
IMOEX;W;09/12/24;000000;2548.08;2586.31;2466.73;2485.2;135663035.897073
IMOEX;W;16/12/24;000000;2474.62;2652.58;2370.28;2638.42;235867997.671818
IMOEX;W;23/12/24;000000;2668.72;2798.49;2658.64;2786.67;266401777.1837
IMOEX;W;30/12/24;000000;2809.12;2898.71;2809.12;2828.5;52672650.959804
IMOEX;W;06/01/25;000000;2813.32;2853.96;2744.58;2824.59;124683909.703418
IMOEX;W;13/01/25;000000;2852.31;2949.7;2828.41;2945.52;187213857.394766
IMOEX;W;20/01/25;000000;2974.56;2983.3;2884.94;2947.94;170082280.176141
IMOEX;W;27/01/25;000000;2942.4;2995.45;2866.81;2948.1;144497186.012873
IMOEX;W;03/02/25;000000;2933.84;2985.36;2889.87;2966.53;138797666.977934
IMOEX;W;10/02/25;000000;2991.99;3288.32;2982.39;3185;256961615.592352
IMOEX;W;17/02/25;000000;3255.81;3333.38;3221.53;3283.29;194743957.215262
IMOEX;W;24/02/25;000000;3310.75;3371.06;3149.37;3200.48;176019506.638631
IMOEX;W;03/03/25;000000;3189.81;3282.15;3127.69;3166.88;172243227.782896
IMOEX;W;10/03/25;000000;3224.63;3226.58;3100.06;3195.08;118058195.416416
IMOEX;W;17/03/25;000000;3249.15;3280.09;3180.46;3191.61;139561239.510315
IMOEX;W;24/03/25;000000;3201.66;3202.62;3001.62;3025.65;119552799.261291
IMOEX;W;31/03/25;000000;3008.6;3044.23;2778.43;2781.97;156599541.584119
