<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;W;09/10/23;000000;6879.5;7250;6822;7244;9490077
LKOH;W;16/10/23;000000;7274.5;7535;7234.5;7491.5;7634015
LKOH;W;23/10/23;000000;7510.5;7549;7136.5;7318;7687313
LKOH;W;30/10/23;000000;7299;7315;7107;7238;3234551
LKOH;W;06/11/23;000000;7243;7387.5;7221;7288.5;2894779
LKOH;W;13/11/23;000000;7295.5;7325;7080.5;7225.5;2977534
LKOH;W;20/11/23;000000;7225.5;7330;7137.5;7295;2389125
LKOH;W;27/11/23;000000;7301.5;7345;7161;7175.5;2408516
LKOH;W;04/12/23;000000;7169;7275;7051.5;7140;2770342
LKOH;W;11/12/23;000000;7182.5;7189;6381;6560;6592331
LKOH;W;18/12/23;000000;6580.5;6849;6526;6732.5;4494274
LKOH;W;25/12/23;000000;6748;6840;6720;6739;2004871
LKOH;W;01/01/24;000000;6770;6811.5;6745.5;6780;490767
LKOH;W;08/01/24;000000;6783.5;7023;6750.5;6965;2600089
LKOH;W;15/01/24;000000;6950;6968.5;6800.5;6834.5;1955433
LKOH;W;22/01/24;000000;6830;6920;6754;6901;2019763
LKOH;W;29/01/24;000000;6917.5;7145;6911;7114;3329851
LKOH;W;05/02/24;000000;7096.5;7288;7094;7238.5;2644974
LKOH;W;12/02/24;000000;7240;7311;7184;7224.5;2039919
LKOH;W;19/02/24;000000;7232.5;7240.5;6962;7021.5;2817013
LKOH;W;26/02/24;000000;7150.5;7464;7103.5;7463.5;3795252
LKOH;W;04/03/24;000000;7477.5;7561.5;7351.5;7513;4229786
LKOH;W;11/03/24;000000;7536.5;7592.5;7320;7380;5157489
LKOH;W;18/03/24;000000;7393.5;7538;7184.5;7303;7060420
LKOH;W;25/03/24;000000;7306;7578;7303;7551;3156526
LKOH;W;01/04/24;000000;7574;7783.5;7573;7662.5;3233726
LKOH;W;08/04/24;000000;7700;7870;7662.5;7839.5;2787991
LKOH;W;15/04/24;000000;7852.5;7931;7790;7835.5;2569834
LKOH;W;22/04/24;000000;7836;8018.5;7803;8002.5;3267025
LKOH;W;29/04/24;000000;8017.5;8175;8010;8075.5;2167783
LKOH;W;06/05/24;000000;8075;8089;7574;7713.5;5854033
LKOH;W;13/05/24;000000;7726.5;7871.5;7633;7854.5;2977226
LKOH;W;20/05/24;000000;7893;7938;7701;7720;3387545
LKOH;W;27/05/24;000000;7719.5;7750;7301;7355.5;4103115
LKOH;W;03/06/24;000000;7395;7599;7161;7489;4932641
LKOH;W;10/06/24;000000;7518.5;7523.5;6923;7368;3479707
LKOH;W;17/06/24;000000;7376;7390.5;6633.5;7084;8531712
LKOH;W;24/06/24;000000;7070;7313;7002;7211;3262765
LKOH;W;01/07/24;000000;7210;7358;7035;7201;3735293
LKOH;W;08/07/24;000000;7231;7255;6681;6908;5387845
LKOH;W;15/07/24;000000;6924;6991.5;6727.5;6913;3481982
LKOH;W;22/07/24;000000;6957.5;7025;6859.5;6890;3916223
LKOH;W;29/07/24;000000;6891;6892.5;6577;6591;5329700
LKOH;W;05/08/24;000000;6495;6551.5;6336.5;6408.5;5696340
LKOH;W;12/08/24;000000;6406;6539;6226.5;6239.5;4591786
LKOH;W;19/08/24;000000;6254.5;6538.5;6050;6428;10126783
LKOH;W;26/08/24;000000;6590;6680;6118;6145;7656715
LKOH;W;02/09/24;000000;6135;6360;6040.5;6332;7498019
LKOH;W;09/09/24;000000;6348.5;6625;6304;6624.5;5767110
LKOH;W;16/09/24;000000;6650.5;6898;6581.5;6897.5;5355162
LKOH;W;23/09/24;000000;6899.5;7050.5;6770;6914.5;4130177
LKOH;W;30/09/24;000000;6948;7076.5;6773.5;7009;5401972
LKOH;W;07/10/24;000000;7024;7066;6792;6837;5425594
LKOH;W;14/10/24;000000;6828;7055;6785;6963;4720448
LKOH;W;21/10/24;000000;6979;7080;6721.5;6750.5;5481007
LKOH;W;28/10/24;000000;6694;6894;6580;6842;6556560
LKOH;W;04/11/24;000000;6867;7192;6821;7172;3459158
LKOH;W;11/11/24;000000;7207;7235;6900;7021;4359442
LKOH;W;18/11/24;000000;6956;7008;6768;6940;3986420
LKOH;W;25/11/24;000000;6946;6979;6770;6860.5;5833493
LKOH;W;02/12/24;000000;6879;6913.5;6676.5;6860;4796256
LKOH;W;09/12/24;000000;6878;6997;6750;6800;3445130
LKOH;W;16/12/24;000000;6770.5;6804;6238;6725;7312152
LKOH;W;23/12/24;000000;6780.5;7096.5;6761;6998;4723795
LKOH;W;30/12/24;000000;7012;7260;7003;7122;1035501
LKOH;W;06/01/25;000000;7114.5;7160;6901.5;7022.5;2701445
LKOH;W;13/01/25;000000;7109.5;7345;6979.5;7342;3150340
LKOH;W;20/01/25;000000;7376;7400;7140;7199.5;2619669
LKOH;W;27/01/25;000000;7197.5;7236.5;7013;7171;2435314
LKOH;W;03/02/25;000000;7160;7215;7066;7148;2107235
LKOH;W;10/02/25;000000;7175;7981.5;7130;7492.5;6881894
LKOH;W;17/02/25;000000;7572;7835;7550;7709.5;3779210
LKOH;W;24/02/25;000000;7710;7805;7390;7531;3737997
LKOH;W;03/03/25;000000;7531.5;7539;7100.5;7225;5391354
LKOH;W;10/03/25;000000;7230;7278.5;7081.5;7209.5;3116278
LKOH;W;17/03/25;000000;7215;7398;7150;7346.5;4588824
LKOH;W;24/03/25;000000;7348;7385.5;6851;6853;4218892
LKOH;W;31/03/25;000000;6853;7114.5;6327.5;6587.5;5800583
