<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MCFTR;W;09/10/23;000000;7027.71;7097.09;7027.71;7093.11;0
MCFTR;W;16/10/23;000000;7187.43;7268.9;7187.43;7268.9;0
MCFTR;W;23/10/23;000000;7256.47;7260.03;7168;7168.64;0
MCFTR;W;30/10/23;000000;7175.07;7175.07;7108.7;7134.07;0
MCFTR;W;06/11/23;000000;7192.95;7217.92;7192.95;7208.41;0
MCFTR;W;13/11/23;000000;7222.22;7222.22;7090.61;7128.99;0
MCFTR;W;20/11/23;000000;7131.26;7183.04;7131.26;7154.38;0
MCFTR;W;27/11/23;000000;7094.99;7106.8;6992.06;6992.06;0
MCFTR;W;04/12/23;000000;6930.02;6963.22;6839.28;6853.43;0
MCFTR;W;11/12/23;000000;6733.67;6820.97;6695.12;6820.97;0
MCFTR;W;18/12/23;000000;6916.23;6980.08;6910.18;6952.92;0
MCFTR;W;25/12/23;000000;6969.89;7004.18;6969.89;6997.68;0
MCFTR;W;01/01/24;000000;7067.95;7083.96;7067.95;7083.96;0
MCFTR;W;08/01/24;000000;7134.12;7236.53;7134.12;7236.53;0
MCFTR;W;15/01/24;000000;7235.76;7236.55;7193.71;7193.71;0
MCFTR;W;22/01/24;000000;7206.84;7215;7174.11;7186.54;0
MCFTR;W;29/01/24;000000;7216.98;7338.02;7216.98;7329.98;0
MCFTR;W;05/02/24;000000;7330.98;7398.66;7330.98;7366.39;0
MCFTR;W;12/02/24;000000;7380.29;7419.21;7366.62;7366.62;0
MCFTR;W;19/02/24;000000;7371.35;7371.35;7132.66;7139.02;0
MCFTR;W;26/02/24;000000;7300.03;7421.55;7290.53;7421.55;0
MCFTR;W;04/03/24;000000;7489.91;7532.92;7489.91;7532.92;0
MCFTR;W;11/03/24;000000;7543.44;7571.36;7490.48;7497.45;0
MCFTR;W;18/03/24;000000;7488.88;7488.88;7417.7;7437.06;0
MCFTR;W;25/03/24;000000;7455.55;7582.21;7455.55;7582.21;0
MCFTR;W;01/04/24;000000;7652.2;7752.95;7652.2;7725.19;0
MCFTR;W;08/04/24;000000;7775.27;7863.69;7768.17;7863.69;0
MCFTR;W;15/04/24;000000;7899.98;7899.98;7858.75;7897.52;0
MCFTR;W;22/04/24;000000;7916.38;7916.38;7802.06;7886.07;0
MCFTR;W;29/04/24;000000;7913.9;7913.9;7831.29;7831.29;0
MCFTR;W;06/05/24;000000;7820.36;7927.13;7820.36;7927.13;0
MCFTR;W;13/05/24;000000;7943.97;8046.87;7943.97;8046.87;0
MCFTR;W;20/05/24;000000;7969.2;7969.2;7805.27;7805.27;0
MCFTR;W;27/05/24;000000;7598.39;7641.71;7412.1;7412.1;0
MCFTR;W;03/06/24;000000;7246.87;7458.65;7246.87;7458.65;0
MCFTR;W;10/06/24;000000;7342.87;7430.99;7320.16;7430.99;0
MCFTR;W;17/06/24;000000;7356.52;7356.52;7018.11;7219.51;0
MCFTR;W;24/06/24;000000;7181.72;7312.25;7181.72;7312.25;0
MCFTR;W;01/07/24;000000;7386.04;7458.13;7264.62;7300.5;0
MCFTR;W;08/07/24;000000;7261.76;7261.76;6928.16;7042.86;0
MCFTR;W;15/07/24;000000;6907.37;7205.77;6907.37;7205.77;0
MCFTR;W;22/07/24;000000;7244.81;7310.01;7169.81;7169.81;0
MCFTR;W;29/07/24;000000;6963.14;7053.76;6944.1;6944.1;0
MCFTR;W;05/08/24;000000;6775.76;6886.47;6775.76;6822.63;0
MCFTR;W;12/08/24;000000;6814.2;6909.61;6774.51;6774.51;0
MCFTR;W;19/08/24;000000;6648.61;6648.61;6377.53;6377.53;0
MCFTR;W;26/08/24;000000;6620.13;6620.13;6348.43;6348.43;0
