<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBSCA;W;09/10/23;000000;10.0794;10.2678;10.0383;10.2312;4402844862.270943
SBSCA;W;16/10/23;000000;10.2547;10.5715;10.2547;10.498;10512516736.522821
SBSCA;W;23/10/23;000000;10.499;10.6087;10.171;10.3537;12352853881.252188
SBSCA;W;30/10/23;000000;10.3822;10.4627;10.1137;10.2355;7770227912.082593
SBSCA;W;06/11/23;000000;10.244;10.503;10.244;10.3657;9794588962.23374
SBSCA;W;13/11/23;000000;10.3801;10.437;10.0723;10.2793;15672344206.403948
SBSCA;W;20/11/23;000000;10.28;10.4864;9.9887;10.0001;12926214726.523855
SBSCA;W;27/11/23;000000;9.9902;10.0774;9.7077;9.7186;12347560372.109896
SBSCA;W;04/12/23;000000;9.6676;9.6676;9.0436;9.3639;10240465124.747461
SBSCA;W;11/12/23;000000;9.3513;9.3525;9.0031;9.3245;7252215890.09124
SBSCA;W;18/12/23;000000;9.3782;9.8085;9.3782;9.7932;8191984217.64562
SBSCA;W;25/12/23;000000;9.8074;9.8797;9.659;9.6775;6439531127.245188
SBSCA;W;01/01/24;000000;9.685;9.9785;9.685;9.9415;2465485480.806846
SBSCA;W;08/01/24;000000;9.9765;10.2424;9.972;10.2066;7628789027.016615
SBSCA;W;15/01/24;000000;10.2063;10.3135;10.127;10.2033;5508795128.545554
SBSCA;W;22/01/24;000000;10.1895;10.273;10.0703;10.1989;7229577203.410268
SBSCA;W;29/01/24;000000;10.2489;10.4203;10.2489;10.3595;7209331333.048184
SBSCA;W;05/02/24;000000;10.3619;10.5498;10.294;10.3474;6775388402.862822
SBSCA;W;12/02/24;000000;10.3635;10.6286;10.331;10.4896;6348411966.683486
SBSCA;W;19/02/24;000000;10.4987;10.5415;9.7868;9.8813;8940790910.601881
SBSCA;W;26/02/24;000000;9.9483;10.219;9.9483;10.1811;10438107498.693283
SBSCA;W;04/03/24;000000;10.2345;10.3294;10.1821;10.3001;5581044410.873025
SBSCA;W;11/03/24;000000;10.3557;10.467;10.2397;10.318;9538377939.653591
SBSCA;W;18/03/24;000000;10.3446;10.4146;10.2249;10.3107;9396248849.363365
SBSCA;W;25/03/24;000000;10.2358;10.609;10.1534;10.5871;9818646339.95073
SBSCA;W;01/04/24;000000;10.6441;11.0747;10.6441;10.9516;15443921657.194872
SBSCA;W;08/04/24;000000;10.9589;11.1194;10.8903;11.1015;15184651339.892166
SBSCA;W;15/04/24;000000;11.1211;11.3378;11.1211;11.2436;11357241386.861103
SBSCA;W;22/04/24;000000;11.258;11.3375;11.0094;11.1685;10676784857.535044
