<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
DIVDA;W;09/10/23;000000;1222.89;1237.26;1208.16;1230.03;137538964.033141
DIVDA;W;16/10/23;000000;1232.32;1263.63;1232.32;1258.09;126494966.089712
DIVDA;W;23/10/23;000000;1259.58;1271.27;1231.33;1253.35;122132360.079097
DIVDA;W;30/10/23;000000;1253.48;1257.48;1225.15;1226.83;82993561.030946
DIVDA;W;06/11/23;000000;1229.51;1248.61;1229.51;1244.87;74643436.061662
DIVDA;W;13/11/23;000000;1244.94;1249.42;1206.8;1225.91;81761379.402216
DIVDA;W;20/11/23;000000;1227.01;1239.51;1218.84;1223.46;60896838.629387
DIVDA;W;27/11/23;000000;1223.97;1225.5;1188.82;1189.48;67203971.829732
DIVDA;W;04/12/23;000000;1186.43;1195.67;1158.46;1174.03;71467396.437311
DIVDA;W;11/12/23;000000;1174.5;1175.78;1133.75;1168.63;88497745.097748
DIVDA;W;18/12/23;000000;1172.99;1206.63;1172.99;1198.46;90203028.351072
DIVDA;W;25/12/23;000000;1198.38;1212.16;1194.94;1199.29;78753039.764067
DIVDA;W;01/01/24;000000;1201.28;1224.25;1201.28;1221.1;19093222.536525
DIVDA;W;08/01/24;000000;1222.46;1259.84;1222.46;1253.8;89572042.149781
DIVDA;W;15/01/24;000000;1256.12;1262.39;1245.57;1248.83;68051274.301602
DIVDA;W;22/01/24;000000;1248.83;1257.71;1247.08;1252.96;58772410.935596
DIVDA;W;29/01/24;000000;1256.43;1273.21;1256.29;1270.99;73356889.815948
DIVDA;W;05/02/24;000000;1273;1286.23;1268.94;1274.78;72492099.113889
DIVDA;W;12/02/24;000000;1277.18;1290.59;1269.68;1278.14;70305837.91048
DIVDA;W;19/02/24;000000;1279.26;1281.56;1138.03;1238.17;83047225.666597
DIVDA;W;26/02/24;000000;1249.57;1274.05;1249.57;1269.91;75797984.032015
DIVDA;W;04/03/24;000000;1273.64;1287.83;1272.56;1287.83;69205610.515574
DIVDA;W;11/03/24;000000;1290.4;1295.74;1274.35;1277.2;76809645.049001
DIVDA;W;18/03/24;000000;1279.92;1282.23;1247.66;1251.65;144800317.385516
DIVDA;W;25/03/24;000000;1255.32;1290.93;1250.45;1289.52;110075883.439088
DIVDA;W;01/04/24;000000;1292.62;1304.37;1292.62;1294.9;101941742.3455
DIVDA;W;08/04/24;000000;1297.16;1319.11;1297.16;1314.03;94408191.77087
DIVDA;W;15/04/24;000000;1315.27;1329.19;1312.74;1325.02;94944216.181068
DIVDA;W;22/04/24;000000;1326.62;1330.96;1304.41;1315.44;108864959.543445
DIVDA;W;29/04/24;000000;1318.17;1324.26;1315.02;1318.37;44444023.551987
DIVDA;W;06/05/24;000000;1318.72;1335.61;1311.99;1335.32;82204053.694252
DIVDA;W;13/05/24;000000;1338.08;1349.8;1332.95;1349.01;121313181.581112
DIVDA;W;20/05/24;000000;1354.35;1356.57;1309.33;1316.05;113811697.947741
DIVDA;W;27/05/24;000000;1316.79;1320.98;1227.06;1230.28;129836971.85179
DIVDA;W;03/06/24;000000;1236.69;1266.17;1199.12;1256.92;129960903.746386
DIVDA;W;10/06/24;000000;1263.3;1268.91;1206.9;1251.05;91954249.914949
DIVDA;W;17/06/24;000000;1254.12;1255.32;1176.89;1216.86;176821395.500133
DIVDA;W;24/06/24;000000;1215.83;1231.47;1204.95;1230.91;83051664.571312
DIVDA;W;01/07/24;000000;1233.5;1252.81;1205.34;1220.09;101569096.455796
DIVDA;W;08/07/24;000000;1222.1;1229.21;1136.84;1170.9;147525906.688885
DIVDA;W;15/07/24;000000;1173.79;1191.82;1129.08;1186.04;151279759.479937
DIVDA;W;22/07/24;000000;1191.25;1203.93;1169.25;1175.22;103664140.855824
DIVDA;W;29/07/24;000000;1173.59;1173.59;1139.29;1142.85;94622842.238471
DIVDA;W;05/08/24;000000;1142.81;1142.81;1109.62;1127.86;95646415.384143
DIVDA;W;12/08/24;000000;1126.89;1155.78;1116.82;1120.7;100475363.049328
DIVDA;W;19/08/24;000000;1123.61;1127.09;1047.58;1062.01;159312477.678251
DIVDA;W;26/08/24;000000;1083.13;1105.3;1033.13;1037.91;143180967.633698
DIVDA;W;02/09/24;000000;1029.26;1050.51;989.11;1041.24;149461068.68356
DIVDA;W;09/09/24;000000;1043.46;1076.12;1020.5;1061.35;124417854.222442
DIVDA;W;16/09/24;000000;1066.06;1115.09;1064.54;1109.96;122212010.76953
DIVDA;W;23/09/24;000000;1112.02;1132.39;1104.12;1121.35;129683066.056683
DIVDA;W;30/09/24;000000;1124.96;1135.69;1079.79;1104.17;136324892.185059
DIVDA;W;07/10/24;000000;1104.88;1108.31;1083.17;1085.29;104931503.790848
DIVDA;W;14/10/24;000000;1084.18;1115.49;1076.05;1083.31;116804315.631744
DIVDA;W;21/10/24;000000;1083.96;1091.7;1030.94;1033.01;127589123.130899
DIVDA;W;28/10/24;000000;1032.97;1032.97;985.03;1014.21;158027829.187185
DIVDA;W;04/11/24;000000;1014.17;1089.51;1013.51;1089.49;104585782.231337
DIVDA;W;11/11/24;000000;1089.43;1103.38;1061.54;1085.05;120540662.777121
DIVDA;W;18/11/24;000000;1085.01;1085.01;996.63;1011.92;169808294.966899
DIVDA;W;25/11/24;000000;1011.89;1022.14;954.02;1017.96;182594758.289869
DIVDA;W;02/12/24;000000;1018.1;1031.89;960.66;1004.79;142373303.969061
DIVDA;W;09/12/24;000000;1004.75;1021.17;974.77;981.81;108707268.710712
DIVDA;W;16/12/24;000000;981.78;1080.96;953.84;1074.83;189952828.3939
DIVDA;W;23/12/24;000000;1075.66;1145.39;1075.66;1144.48;199312996.686828
DIVDA;W;30/12/24;000000;1144.44;1183.63;1144.44;1156.65;45201785.895722
DIVDA;W;06/01/25;000000;1156.65;1174.07;1133.83;1170.85;97498689.257304
DIVDA;W;13/01/25;000000;1170.85;1207.22;1162.77;1205.1;137809059.993573
DIVDA;W;20/01/25;000000;1205.05;1217.02;1175.97;1201.01;133651813.680481
DIVDA;W;27/01/25;000000;1196.8;1221.41;1166.32;1198.77;117911068.347848
DIVDA;W;03/02/25;000000;1192.6;1206.88;1172.86;1200.75;105957722.33737
DIVDA;W;10/02/25;000000;1209.11;1298.79;1205.43;1265.35;254702620.713366
DIVDA;W;17/02/25;000000;1280.71;1322.03;1272.7;1313.32;144170125.372926
DIVDA;W;24/02/25;000000;1319.33;1342.29;1245.18;1282.67;177608527.682728
DIVDA;W;03/03/25;000000;1262.79;1291.74;1239.23;1256.85;162758021.987978
DIVDA;W;10/03/25;000000;1264.79;1267.31;1219.2;1246.42;114704997.819009
DIVDA;W;17/03/25;000000;1265.11;1279.44;1242.8;1253.2;147919912.625227
DIVDA;W;24/03/25;000000;1254.54;1256.66;1182.95;1188.54;180649930.163565
DIVDA;W;31/03/25;000000;1189.75;1202.64;1107.27;1109.66;275332225.340904
