<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YDEX;W;09/10/23;000000;2484;2534;2420;2512.6;3738089
YDEX;W;16/10/23;000000;2527.8;2700;2509.6;2679.4;6985696
YDEX;W;23/10/23;000000;2690;2772.4;2620;2666.6;7267300
YDEX;W;30/10/23;000000;2666.8;2677;2557;2613;3869403
YDEX;W;06/11/23;000000;2612;2661.8;2582.6;2598.8;2131891
YDEX;W;13/11/23;000000;2598;2677.8;2531.6;2572;5295288
YDEX;W;20/11/23;000000;2573;2616.4;2540;2594.6;2988777
YDEX;W;27/11/23;000000;2593.4;2659.4;2410;2420.6;6395891
YDEX;W;04/12/23;000000;2420;2436.8;2296.2;2337.6;4886237
YDEX;W;11/12/23;000000;2339;2343.8;2116.2;2224.4;8703069
YDEX;W;18/12/23;000000;2228;2318.8;2217.4;2295.8;6284990
YDEX;W;25/12/23;000000;2300.6;2610;2297;2540;11446305
YDEX;W;01/01/24;000000;2550;2593;2542;2576.8;1083297
YDEX;W;08/01/24;000000;2580.2;2644;2573.4;2631;3104864
YDEX;W;15/01/24;000000;2645;2698.8;2550;2569.8;4077992
YDEX;W;22/01/24;000000;2572.8;2895;2551;2873;9901948
YDEX;W;29/01/24;000000;2900.2;3169.6;2896.4;3163;17622553
YDEX;W;05/02/24;000000;2903;3432;2870;3290.4;34768089
YDEX;W;12/02/24;000000;3296.6;3543.8;3226;3417;14552657
YDEX;W;19/02/24;000000;3424.8;3444;3173.8;3241.8;9162163
YDEX;W;26/02/24;000000;3342;3542;3294;3539.4;7275001
YDEX;W;04/03/24;000000;3580.2;3718;3546;3623.8;9467891
YDEX;W;11/03/24;000000;3633;3667.8;3487.6;3635.6;8853305
YDEX;W;18/03/24;000000;3620;4004.8;3595;3834;15228146
YDEX;W;25/03/24;000000;3848.6;4080;3845.2;3994;5470598
YDEX;W;01/04/24;000000;4020;4055;3735.8;3995;8008519
YDEX;W;08/04/24;000000;4010.6;4010.8;3878.4;3990;3352074
YDEX;W;15/04/24;000000;3987.8;4269;3942;4257.2;4572902
YDEX;W;22/04/24;000000;4264.6;4348.6;4020.2;4160.2;7308100
YDEX;W;29/04/24;000000;4160.2;4246.4;4113.6;4236.4;1193816
YDEX;W;06/05/24;000000;4250.6;4390;4237;4356.2;1993290
YDEX;W;13/05/24;000000;4363.4;4592.2;4125;4271;9398338
YDEX;W;20/05/24;000000;4259.6;4300;4060;4189.2;4099188
YDEX;W;27/05/24;000000;4180;4399;3939;3996.8;2216360
YDEX;W;03/06/24;000000;4035.8;4284.2;3890;4222;1775535
YDEX;W;10/06/24;000000;4223;4248;3901;4071.2;1220050
YDEX;W;22/07/24;000000;4541;4542;3931;3962.5;11363650
YDEX;W;29/07/24;000000;3934.5;3954.5;3726;3728.5;14619794
YDEX;W;05/08/24;000000;3607;3929.5;3551;3854.5;15154658
YDEX;W;12/08/24;000000;3834.5;3964;3756;3776.5;5982465
YDEX;W;19/08/24;000000;3798.5;3884;3680.5;3807;7373753
YDEX;W;26/08/24;000000;3879.5;3972.5;3731;3765.5;6702018
YDEX;W;02/09/24;000000;3730.5;3769.5;3568;3715;7067602
YDEX;W;09/09/24;000000;3740;3920;3736;3914.5;6709858
YDEX;W;16/09/24;000000;3933.5;4175.5;3921;4100;8618654
YDEX;W;23/09/24;000000;4100.5;4249;3963.5;4024;5873645
YDEX;W;30/09/24;000000;4045.5;4089;3862.5;3945.5;3670733
YDEX;W;07/10/24;000000;3950;4006;3900.5;3975;2519179
YDEX;W;14/10/24;000000;3985;4128;3941;3968.5;3384141
YDEX;W;21/10/24;000000;3970.5;4054.5;3810.5;3834.5;3487169
YDEX;W;28/10/24;000000;3797.5;3874.5;3621;3683.5;5207407
YDEX;W;04/11/24;000000;3691;3895;3602.5;3888;4159252
YDEX;W;11/11/24;000000;3913.5;3944;3650;3712;5056334
YDEX;W;18/11/24;000000;3652;3708.5;3360;3415;6301494
YDEX;W;25/11/24;000000;3414.5;3446;3092;3320;7995059
YDEX;W;02/12/24;000000;3324.5;3443.5;3218;3376;5397347
YDEX;W;09/12/24;000000;3399;3489.5;3282.5;3321;4022333
YDEX;W;16/12/24;000000;3306.5;3732.5;3191;3683.5;7563591
YDEX;W;23/12/24;000000;3737;3974;3660.5;3928.5;8716214
YDEX;W;30/12/24;000000;3939.5;4027.5;3863;3872.5;1518257
YDEX;W;06/01/25;000000;3848;3950;3795;3934;2237661
YDEX;W;13/01/25;000000;3952;4130;3952;4113;5075414
YDEX;W;20/01/25;000000;4150.5;4164;3958.5;4037;3611614
YDEX;W;27/01/25;000000;4035;4154;3923.5;4092;3325692
YDEX;W;03/02/25;000000;4081;4245.5;3978;4200;4184674
YDEX;W;10/02/25;000000;4219;4794.5;4185.5;4549;7285954
YDEX;W;17/02/25;000000;4591.5;4749.5;4511;4667;6100298
YDEX;W;24/02/25;000000;4668;4698;4300;4376;5693004
YDEX;W;03/03/25;000000;4392.5;4640;4260;4553;5338383
YDEX;W;10/03/25;000000;4560.5;4614;4361;4584.5;3906054
YDEX;W;17/03/25;000000;4599;4730;4562;4625;3370121
YDEX;W;24/03/25;000000;4635;4674;4291.5;4291.5;3221771
YDEX;W;31/03/25;000000;4245;4540;4006.5;4189;4989694
