Date,Close,High,Low,Open,Volume
2025-02-12,76171.078125,76459.71875,75388.390625,76188.2421875,10400
2025-02-13,76138.96875,76764.53125,76013.4296875,76201.1015625,6900
2025-02-14,75939.2109375,76483.0625,75439.640625,76388.9921875,9300
2025-02-17,75996.859375,76041.9609375,75294.7578125,75641.40625,8100
2025-02-18,75967.390625,76091.6875,75531.0078125,76073.7109375,8600
2025-02-19,75939.1796875,76338.578125,75581.3828125,75787.2734375,5100
2025-02-20,75735.9609375,75794.1484375,75463.0078125,75672.84375,6900
2025-02-21,75311.0625,75748.71875,75112.40625,75612.609375,12700
2025-02-24,74454.40625,74907.0390625,74387.4375,74893.453125,6400
2025-02-25,74602.1171875,74785.078125,74400.3671875,74440.296875,10700
2025-02-27,74612.4296875,74834.09375,74520.78125,74706.6015625,6700
2025-02-28,73198.1015625,74282.4296875,73141.2734375,74201.7734375,9100
2025-03-03,73085.9375,73649.71875,72784.5390625,73427.6484375,10100
2025-03-04,72989.9296875,73033.1796875,72633.5390625,72817.34375,6200
2025-03-05,73730.2265625,73933.796875,72894.046875,73005.3671875,9300
2025-03-06,74340.09375,74390.796875,73415.6796875,74308.296875,10100
2025-03-07,74332.578125,74586.4296875,74038.03125,74347.140625,6900
2025-03-10,74115.171875,74741.25,74022.2421875,74474.9765625,6600
2025-03-11,74102.3203125,74195.171875,73663.6015625,73743.8828125,11700
2025-03-12,74029.7578125,74392.1484375,73598.15625,74270.8125,13800
2025-03-13,73828.90625,74401.109375,73770.59375,74392.5390625,9900
2025-03-17,74169.953125,74376.3515625,73796.0625,73830.03125,7400
2025-03-18,75301.2578125,75385.7578125,74480.1484375,74608.65625,14500
2025-03-19,75449.046875,75568.3828125,75201.4765625,75473.171875,12200
2025-03-20,76348.0625,76456.25,75684.578125,75917.109375,9100
2025-03-21,76905.5078125,77041.9375,76095.2578125,76155.0,8500
2025-03-24,77984.3828125,78107.2265625,77179.3515625,77456.2734375,10100
2025-03-25,78017.1875,78741.6875,77745.6328125,78296.28125,12700
2025-03-26,77288.5,78167.8671875,77194.21875,78021.453125,10500
2025-03-27,77606.4296875,77747.4609375,77082.5078125,77087.390625,12700
2025-03-28,77414.921875,77766.703125,77185.6171875,77690.6875,16700
2025-04-01,76024.5078125,77487.046875,75912.1796875,76882.578125,10600
2025-04-02,76617.4375,76680.3515625,76064.9375,76146.28125,10800
2025-04-03,76295.359375,76493.7421875,75807.546875,75811.859375,6900
2025-04-04,75364.6875,76258.1171875,75240.546875,76160.09375,11700
2025-04-07,73137.8984375,73403.9921875,71425.0078125,71449.9375,29400
2025-04-08,74227.078125,74859.390625,73424.921875,74013.7265625,17100
2025-04-09,73847.1484375,74103.828125,73673.0625,74103.828125,9100
2025-04-11,75157.2578125,75467.328125,74762.84375,74835.4921875,14200
2025-04-15,76734.890625,76907.6328125,76435.0703125,76852.0625,12900
2025-04-16,77044.2890625,77110.2265625,76543.7734375,76996.78125,9500
2025-04-17,78553.203125,78616.7734375,76665.7734375,76968.0234375,11100
2025-04-21,79408.5,79635.046875,78776.0625,78903.09375,12600
2025-04-22,79595.59375,79824.296875,79253.4375,79728.390625,14800
2025-04-23,80116.4921875,80254.546875,79506.8984375,80142.09375,12000
2025-04-24,79801.4296875,80173.921875,79724.546875,80058.4296875,8200
2025-04-25,79212.53125,80130.65625,78605.8125,79830.1484375,13200
2025-04-28,80218.3671875,80321.8828125,79341.3515625,79343.6328125,8500
2025-04-29,80288.3828125,80661.3125,80122.0234375,80396.921875,16200
2025-04-30,80242.2421875,80525.609375,79879.1484375,80370.796875,12200
2025-05-02,80501.9921875,81177.9296875,80168.59375,80300.1875,12700
2025-05-05,80796.84375,81049.03125,80657.7109375,80661.6171875,8800
2025-05-06,80641.0703125,80981.578125,80481.03125,80907.2421875,12500
2025-05-07,80746.78125,80844.6328125,79937.4765625,79948.796875,8800
2025-05-08,80334.8125,80927.9921875,79987.609375,80912.34375,10600
2025-05-09,79454.46875,80032.9296875,78968.34375,78968.34375,8800
2025-05-12,82429.8984375,82495.96875,80651.0703125,80803.796875,10700
2025-05-13,81148.21875,82572.8125,81043.6875,82249.6015625,16200
2025-05-14,81330.5625,81691.8671875,80910.03125,81278.4921875,15200
2025-05-15,82530.7421875,82718.140625,80762.15625,81354.4296875,12600
2025-05-16,82330.59375,82514.8125,82146.953125,82392.6328125,15300
2025-05-19,82059.421875,82424.1015625,81964.5703125,82354.921875,8100
2025-05-20,81186.4375,82250.421875,81153.703125,82116.171875,10500
2025-05-21,81596.6328125,82021.640625,81237.0625,81327.609375,5800
2025-05-22,80951.9921875,81323.2421875,80489.921875,81323.046875,10700
2025-05-23,81721.078125,81905.171875,80897.0,80897.0,12000
2025-05-26,82176.453125,82492.2421875,81867.2265625,81928.953125,10200
2025-05-27,81551.6328125,82410.5234375,81121.703125,82038.203125,20700
2025-05-28,81312.3203125,81613.359375,81244.0234375,81457.609375,24100
2025-05-29,81633.0234375,81816.890625,81106.9765625,81591.03125,6800
2025-05-30,81451.0078125,81698.2109375,81286.453125,81465.6875,12600
2025-06-02,81373.75,81474.2578125,80654.2578125,81214.421875,9900
2025-06-03,80737.5078125,81774.2265625,80575.09375,81492.5,32000
2025-06-04,80998.25,81087.2890625,80705.1796875,80777.6484375,7500
2025-06-05,81442.0390625,81911.1328125,80983.7265625,81196.078125,9800
2025-06-06,82188.9921875,82299.890625,81140.109375,81434.2421875,12400
2025-06-09,82445.2109375,82669.0,82369.2421875,82574.546875,11500
2025-06-10,82391.71875,82680.7890625,82240.3984375,82643.7265625,15100
2025-06-11,82515.140625,82783.5078125,82308.90625,82473.0234375,11300
2025-06-12,81691.9765625,82661.0390625,81523.15625,82571.671875,6000
2025-06-13,81118.6015625,81238.6796875,80354.59375,80427.8125,6600
2025-06-16,81796.1484375,81865.8203125,81012.3125,81034.453125,11400
2025-06-17,81583.296875,81890.1484375,81427.0078125,81869.46875,21500
2025-06-18,81444.65625,81858.96875,81237.0078125,81314.6171875,11300
2025-06-19,81361.8671875,81583.9375,81191.0390625,81403.9375,12500
2025-06-20,82408.171875,82494.4921875,81323.203125,81354.8515625,6700
2025-06-23,81896.7890625,82169.671875,81476.7578125,81704.0703125,8000
2025-06-24,82055.109375,83018.15625,81900.1171875,82534.609375,119300
2025-06-25,82755.5078125,82815.90625,82339.5703125,82448.796875,7500
2025-06-26,83755.8671875,83812.09375,82816.2578125,82882.921875,10500
2025-06-27,84058.8984375,84089.3515625,83645.40625,83774.453125,8600
2025-06-30,83606.4609375,84099.53125,83482.1328125,84027.328125,6200
2025-07-01,83697.2890625,83874.2890625,83572.5078125,83685.65625,19100
2025-07-02,83409.6875,83935.0078125,83150.7734375,83790.71875,10600
2025-07-03,83239.46875,83850.09375,83186.7421875,83540.7421875,9600
2025-07-04,83432.890625,83477.859375,83015.828125,83306.8125,8800
2025-07-07,83442.5,83516.8203125,83262.2265625,83398.078125,6200
2025-07-08,83712.5078125,83812.3125,83320.953125,83387.03125,15300
2025-07-09,83536.078125,83781.359375,83382.28125,83625.890625,7800
2025-07-10,83190.28125,83742.28125,83134.96875,83658.203125,7500
2025-07-11,82500.46875,83040.7421875,82442.25,82820.7578125,10700
2025-07-14,82253.4609375,82537.8671875,82010.3828125,82537.8671875,18100
2025-07-15,82570.90625,82743.6171875,82221.7421875,82233.15625,9900
2025-07-16,82634.4765625,82784.75,82342.9375,82534.65625,7600
2025-07-17,82259.2421875,82757.09375,82219.2734375,82753.53125,8800
2025-07-18,81757.7265625,82334.75,81608.1328125,82193.6171875,8300
2025-07-21,82200.34375,82274.03125,81518.65625,81918.53125,15300
