Date,Close,High,Low,Open,Volume
2025-02-12,2587.5,2587.5,2559.25,2559.25,1
2025-02-13,2571.75,2571.75,2571.75,2571.75,0
2025-02-14,2612.25,2633.0,2599.5,2633.0,12
2025-02-18,2638.25,2638.25,2638.25,2638.25,2
2025-02-19,2652.5,2663.75,2643.5,2663.75,6
2025-02-20,2692.25,2692.25,2677.75,2677.75,5
2025-02-21,2694.0,2694.0,2654.5,2654.5,17
2025-02-24,2620.25,2620.25,2620.25,2620.25,4
2025-02-25,2585.5,2585.5,2585.5,2585.5,1
2025-02-26,2597.25,2597.25,2597.25,2597.25,0
2025-02-27,2596.25,2596.25,2596.25,2596.25,5
2025-02-28,2561.5,2561.5,2561.5,2561.5,10
2025-03-03,2567.75,2567.75,2567.75,2567.75,2
2025-03-04,2575.75,2575.75,2575.75,2575.75,0
2025-03-05,2610.0,2610.0,2610.0,2610.0,0
2025-03-06,2656.75,2656.75,2656.75,2656.75,0
2025-03-07,2661.5,2661.5,2661.5,2661.5,0
2025-03-10,2651.0,2651.0,2651.0,2651.0,0
2025-03-11,2649.0,2649.0,2649.0,2649.0,0
2025-03-12,2648.75,2648.75,2648.75,2648.75,0
2025-03-13,2645.25,2645.25,2645.25,2645.25,0
2025-03-14,2624.5,2624.5,2624.5,2624.5,0
2025-03-17,2633.25,2633.25,2633.25,2633.25,0
2025-03-18,2596.75,2596.75,2596.75,2596.75,0
2025-03-19,2604.0,2604.0,2604.0,2604.0,0
2025-03-20,2597.5,2597.5,2597.5,2597.5,5
2025-03-21,2553.5,2553.5,2553.5,2553.5,0
2025-03-24,2538.5,2538.5,2538.5,2538.5,0
2025-03-25,2526.75,2526.75,2526.75,2526.75,0
2025-03-26,2533.5,2533.5,2533.5,2533.5,0
2025-03-27,2479.0,2479.0,2479.0,2479.0,7
2025-03-28,2459.5,2459.5,2459.5,2459.5,2
2025-03-31,2432.25,2432.25,2432.25,2432.25,1
2025-04-01,2400.5,2400.5,2400.5,2400.5,0
2025-04-02,2366.5,2366.5,2366.5,2366.5,0
2025-04-03,2296.25,2296.25,2296.25,2296.25,1
2025-04-04,2209.5,2209.5,2209.5,2209.5,0
2025-04-07,2199.25,2199.25,2199.25,2199.25,5
2025-04-08,2190.75,2230.5,2177.25,2197.0,26
2025-04-09,2166.25,2170.0,2155.0,2164.25,9
2025-04-10,2251.0,2264.5,2248.75,2248.75,29
2025-04-11,2300.0,2370.0,2300.0,2322.5,43
2025-04-14,2306.75,2328.75,2306.75,2322.5,57
2025-04-15,2317.5,2317.5,2317.5,2317.5,0
2025-04-16,2310.5,2310.5,2310.5,2310.5,0
2025-04-17,2307.5,2307.5,2307.5,2307.5,0
2025-04-21,2330.5,2330.5,2330.5,2330.5,0
2025-04-22,2303.25,2303.25,2303.25,2303.25,2
2025-04-23,2345.75,2345.75,2345.75,2345.75,4
2025-04-24,2390.0,2390.0,2390.0,2390.0,1
2025-04-25,2351.25,2351.25,2351.25,2351.25,0
2025-04-28,2347.5,2347.5,2347.5,2347.5,93
2025-04-29,2354.0,2354.0,2345.0,2345.0,3
2025-04-30,2292.75,2292.75,2292.75,2292.75,7
2025-05-01,2293.25,2293.25,2293.25,2293.25,0
2025-05-02,2307.75,2307.75,2307.75,2307.75,0
2025-05-05,2306.75,2306.75,2306.75,2306.75,0
2025-05-06,2310.25,2310.25,2310.25,2310.25,0
2025-05-07,2269.75,2278.5,2263.5,2263.5,9
2025-05-08,2294.25,2294.25,2294.25,2294.25,9
2025-05-09,2309.25,2309.25,2309.25,2309.25,9
2025-05-12,2382.0,2382.0,2382.0,2382.0,9
2025-05-13,2400.75,2400.75,2400.75,2400.75,9
2025-05-14,2457.25,2457.25,2457.25,2457.25,9
2025-05-15,2403.5,2403.5,2403.5,2403.5,9
2025-05-16,2389.75,2389.75,2389.75,2389.75,9
2025-05-19,2355.25,2355.25,2355.25,2355.25,9
2025-05-20,2372.25,2372.25,2372.25,2372.25,9
