Тикер,Название,Отрасль,Уровень риска,Риск (число),Среднее воздействие,Кол-во новостей,Основные риски,Цена,Изменение %,Рекомендация
SBER,Сбербанк,финансы,🔴 КРИТИЧЕСКИЙ,5,84.9,3,"санкции, валютные риски, торговые войны",306.91,0,КРИТИЧЕСКИЙ РИСК - избегать покупки
GAZP,Газпром,нефтегаз,🔴 КРИТИЧЕСКИЙ,5,85.3,3,"нефть и газ, регуляторные изменения",127.33,0.01,КРИТИЧЕСКИЙ РИСК - избегать покупки
LKOH,Лукойл,нефтегаз,🔴 КРИТИЧЕСКИЙ,5,78.2,2,"нефть и газ, регуляторные изменения",5375.0,-0.06,КРИТИЧЕСКИЙ РИСК - избегать покупки
GMKN,Норникель,металлургия,🔴 КРИТИЧЕСКИЙ,5,80.2,5,"нефть и газ, регуляторные изменения, торговые войны",166.34,-0.04,КРИТИЧЕСКИЙ РИСК - избегать покупки
ROSN,Роснефть,нефтегаз,🔴 КРИТИЧЕСКИЙ,5,78.7,3,"нефть и газ, регуляторные изменения",400.05,0.04,КРИТИЧЕСКИЙ РИСК - избегать покупки
MGNT,Магнит,ритейл,⚪ МИНИМАЛЬНЫЙ,1,0.0,0,,3241.0,-0.05,МИНИМАЛЬНЫЙ РИСК - стабильная ситуация
YNDX,Яндекс,технологии,🔴 КРИТИЧЕСКИЙ,5,79.7,8,"санкции, нефть и газ, валютные риски",N/A,N/A,КРИТИЧЕСКИЙ РИСК - избегать покупки
VTBR,Банк ВТБ,финансы,🔴 КРИТИЧЕСКИЙ,5,85.7,3,"санкции, валютные риски",73.06,0.01,КРИТИЧЕСКИЙ РИСК - избегать покупки
ALRS,АЛРОСА,металлургия,🔴 КРИТИЧЕСКИЙ,5,77.0,2,"регуляторные изменения, торговые войны",41.96,-0.07,КРИТИЧЕСКИЙ РИСК - избегать покупки
PLZL,Полюс,металлургия,🟠 ВЫСОКИЙ,4,65.0,0,,2719.4,0.01,ВЫСОКИЙ РИСК - ограничить экспозицию
NVTK,Новатэк,нефтегаз,🔴 КРИТИЧЕСКИЙ,5,80.3,3,"нефть и газ, неопределено",1212.4,-0.07,КРИТИЧЕСКИЙ РИСК - избегать покупки
TATN,Татнефть,нефтегаз,🔴 КРИТИЧЕСКИЙ,5,84.2,2,"нефть и газ, регуляторные изменения",567.1,-0.02,КРИТИЧЕСКИЙ РИСК - избегать покупки
MOEX,Московская Биржа,финансы,🔴 КРИТИЧЕСКИЙ,5,85.7,3,"санкции, валютные риски",181.67,-0.01,КРИТИЧЕСКИЙ РИСК - избегать покупки
AFKS,АФК Система,конгломерат,⚪ МИНИМАЛЬНЫЙ,1,0.0,0,,13.364,-0.01,МИНИМАЛЬНЫЙ РИСК - стабильная ситуация
PHOR,ФосАгро,химия,🔴 КРИТИЧЕСКИЙ,5,80.0,1,торговые войны,6512.0,-0.06,КРИТИЧЕСКИЙ РИСК - избегать покупки
RUAL,РУСАЛ,металлургия,🔴 КРИТИЧЕСКИЙ,5,75.0,1,торговые войны,40.65,-0.01,КРИТИЧЕСКИЙ РИСК - избегать покупки
MTSS,МТС,телеком,🟠 ВЫСОКИЙ,4,65.0,0,,226.85,-0.07,ВЫСОКИЙ РИСК - ограничить экспозицию
AFLT,Аэрофлот,транспорт,⚪ МИНИМАЛЬНЫЙ,1,0.0,0,,58.16,0.02,МИНИМАЛЬНЫЙ РИСК - стабильная ситуация
IRAO,Интер РАО,энергетика,⚪ МИНИМАЛЬНЫЙ,1,0.0,0,,3.5395,0.07,МИНИМАЛЬНЫЙ РИСК - стабильная ситуация
RTKM,Ростелеком,телеком,🟠 ВЫСОКИЙ,4,65.0,0,,64.79,-0.02,ВЫСОКИЙ РИСК - ограничить экспозицию
